@relation SelectedFeatures
@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute HALSTEAD_VOLUME numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
0.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,9.23,254.27,0.02,14.0,0.19,14.13,48.43,6.0,8.0,4.0,7.0,5.0,Y
4.0,3.0,0.0,1.0,2.0,1.0,1.0,9.0,25.28,1283.11,0.06,41.0,0.14,71.28,180.09,19.0,22.0,12.0,9.0,16.0,Y
0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,9.83,39.3,0.01,7.0,0.5,2.18,19.65,3.0,4.0,3.0,4.0,4.0,Y
4.0,11.0,0.0,0.0,6.0,2.0,6.0,18.0,22.04,9884.43,0.16,91.0,0.05,549.14,466.76,40.0,51.0,17.0,18.0,24.0,Y
30.0,95.0,0.0,2.0,48.0,44.0,7.0,333.0,120.77,454986.89,2.47,1091.0,0.02,25277.05,7412.71,445.0,646.0,87.0,24.0,367.0,Y
2.0,9.0,2.0,0.0,5.0,3.0,1.0,23.0,33.2,9416.28,0.19,109.0,0.06,523.13,559.09,40.0,69.0,19.0,16.0,29.0,Y
2.0,9.0,2.0,0.0,5.0,3.0,1.0,25.0,58.66,8599.93,0.24,124.0,0.08,477.77,710.26,56.0,68.0,37.0,16.0,29.0,Y
3.0,9.0,0.0,0.0,5.0,3.0,1.0,29.0,23.85,3703.65,0.1,64.0,0.08,205.76,297.21,27.0,37.0,13.0,12.0,34.0,Y
6.0,11.0,0.0,2.0,6.0,4.0,1.0,39.0,30.85,17885.11,0.25,146.0,0.04,993.62,742.77,61.0,85.0,19.0,15.0,49.0,Y
4.0,7.0,0.0,1.0,4.0,4.0,1.0,26.0,36.01,3829.39,0.12,79.0,0.1,212.74,371.33,33.0,46.0,16.0,10.0,33.0,Y
6.0,6.0,0.0,0.0,5.0,5.0,1.0,32.0,46.12,7702.88,0.2,112.0,0.08,427.94,596.06,48.0,64.0,26.0,14.0,41.0,Y
6.0,3.0,0.0,6.0,2.0,1.0,1.0,24.0,48.82,7483.2,0.2,122.0,0.08,415.73,604.41,52.0,70.0,21.0,10.0,40.0,Y
5.0,3.0,0.0,4.0,2.0,1.0,1.0,19.0,40.02,4346.47,0.14,85.0,0.1,241.47,417.09,36.0,49.0,19.0,11.0,31.0,Y
9.0,7.0,1.0,5.0,4.0,3.0,4.0,50.0,42.15,37244.54,0.42,222.0,0.03,2069.13,1252.94,97.0,125.0,31.0,19.0,68.0,Y
0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,7.75,31.02,0.01,6.0,0.5,1.72,15.51,2.0,4.0,2.0,4.0,7.0,Y
5.0,7.0,0.0,2.0,4.0,1.0,1.0,21.0,21.15,3045.88,0.08,54.0,0.08,169.22,253.82,24.0,30.0,13.0,13.0,30.0,Y
15.0,13.0,0.0,3.0,7.0,5.0,1.0,54.0,26.61,71965.24,0.46,252.0,0.02,3998.07,1383.95,91.0,161.0,21.0,24.0,74.0,N
7.0,95.0,0.0,23.0,48.0,9.0,44.0,82.0,43.98,128628.57,0.79,406.0,0.02,7146.03,2378.34,177.0,229.0,36.0,22.0,112.0,Y
0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,9.83,39.3,0.01,7.0,0.5,2.18,19.65,3.0,4.0,3.0,4.0,4.0,Y
4.0,3.0,0.0,0.0,2.0,1.0,1.0,7.0,43.37,360.86,0.04,30.0,0.35,20.05,125.1,15.0,15.0,13.0,5.0,13.0,Y
2.0,3.0,0.0,0.0,2.0,2.0,1.0,11.0,29.74,1405.66,0.07,43.0,0.15,78.09,204.46,20.0,23.0,16.0,11.0,15.0,Y
2.0,3.0,0.0,1.0,2.0,2.0,1.0,7.0,26.86,329.04,0.03,23.0,0.29,18.28,94.01,10.0,13.0,10.0,7.0,12.0,Y
8.0,27.0,4.0,4.0,14.0,7.0,1.0,97.0,70.2,42742.56,0.58,301.0,0.04,2374.59,1732.22,141.0,160.0,40.0,14.0,115.0,Y
2.0,1.0,0.0,1.0,1.0,1.0,1.0,5.0,28.44,576.0,0.04,32.0,0.22,32.0,128.0,15.0,17.0,10.0,6.0,10.0,Y
7.0,9.0,0.0,0.0,5.0,4.0,1.0,32.0,40.03,19030.75,0.29,164.0,0.05,1057.26,872.8,59.0,105.0,23.0,17.0,41.0,Y
24.0,37.0,1.0,2.0,21.0,13.0,1.0,139.0,67.59,172381.62,1.14,534.0,0.02,9576.76,3413.5,202.0,332.0,56.0,28.0,169.0,Y
12.0,35.0,0.0,1.0,18.0,2.0,3.0,95.0,35.48,84641.27,0.58,312.0,0.02,4702.29,1733.03,111.0,201.0,25.0,22.0,112.0,Y
6.0,3.0,0.0,0.0,2.0,1.0,1.0,35.0,39.09,20394.75,0.3,177.0,0.04,1133.04,892.86,62.0,115.0,19.0,14.0,44.0,Y
5.0,3.0,0.0,0.0,2.0,1.0,1.0,18.0,18.09,13609.37,0.17,127.0,0.04,756.08,496.18,48.0,79.0,7.0,8.0,26.0,Y
18.0,9.0,0.0,6.0,6.0,6.0,1.0,73.0,59.84,42509.17,0.53,270.0,0.04,2361.62,1594.86,99.0,171.0,39.0,21.0,100.0,Y
12.0,19.0,0.0,39.0,10.0,5.0,1.0,79.0,39.43,50886.21,0.47,255.0,0.03,2827.01,1416.42,97.0,158.0,27.0,20.0,133.0,Y
3.0,3.0,0.0,0.0,2.0,1.0,1.0,14.0,15.56,3702.86,0.08,60.0,0.06,205.71,240.0,24.0,36.0,7.0,9.0,19.0,Y
4.0,3.0,0.0,0.0,2.0,1.0,1.0,12.0,12.0,6533.33,0.09,70.0,0.04,362.96,280.0,28.0,42.0,6.0,10.0,19.0,Y
7.0,1.0,0.0,1.0,1.0,1.0,1.0,17.0,43.55,3751.16,0.13,85.0,0.11,208.4,404.17,27.0,58.0,16.0,11.0,28.0,Y
4.0,18.0,1.0,3.0,13.0,13.0,4.0,67.0,73.75,82494.47,0.82,396.0,0.03,4583.03,2466.61,172.0,224.0,54.0,21.0,78.0,Y
10.0,47.0,1.0,7.0,24.0,10.0,16.0,81.0,41.8,69867.73,0.57,287.0,0.02,3881.54,1708.85,106.0,181.0,35.0,27.0,103.0,N
9.0,7.0,1.0,1.0,4.0,2.0,1.0,24.0,19.72,5907.5,0.11,71.0,0.06,328.19,341.32,30.0,41.0,13.0,15.0,38.0,N
9.0,9.0,0.0,3.0,5.0,5.0,1.0,48.0,47.94,20985.24,0.33,186.0,0.05,1165.85,1002.97,68.0,118.0,26.0,16.0,63.0,Y
14.0,7.0,0.0,0.0,4.0,4.0,1.0,35.0,53.37,16814.49,0.32,167.0,0.06,934.14,947.3,71.0,96.0,34.0,17.0,52.0,Y
10.0,8.0,2.0,2.0,6.0,6.0,1.0,38.0,34.74,12294.54,0.22,119.0,0.05,683.03,653.53,43.0,76.0,24.0,21.0,54.0,Y
11.0,8.0,2.0,3.0,6.0,6.0,1.0,45.0,39.57,19841.98,0.3,157.0,0.04,1102.33,886.09,57.0,100.0,28.0,22.0,63.0,Y
6.0,13.0,1.0,29.0,7.0,3.0,4.0,58.0,31.59,39175.27,0.37,205.0,0.03,2176.4,1112.38,81.0,124.0,23.0,20.0,96.0,Y
20.0,46.0,0.0,0.0,28.0,3.0,9.0,101.0,38.5,77011.02,0.57,280.0,0.02,4278.39,1721.93,103.0,177.0,38.0,33.0,123.0,Y
22.0,11.0,0.0,0.0,6.0,6.0,1.0,69.0,18.33,97131.51,0.44,291.0,0.01,5396.2,1334.22,104.0,187.0,10.0,14.0,93.0,N
30.0,45.0,0.0,0.0,23.0,15.0,18.0,113.0,23.67,239472.44,0.79,457.0,0.01,13304.02,2380.72,171.0,286.0,17.0,20.0,145.0,N
29.0,67.0,0.0,16.0,34.0,1.0,26.0,114.0,14.38,180743.31,0.54,367.0,0.01,10041.3,1611.98,138.0,229.0,8.0,13.0,161.0,N
6.0,91.0,9.0,8.0,46.0,18.0,46.0,61.0,74.15,189170.61,1.25,609.0,0.02,10509.48,3745.2,225.0,384.0,49.0,22.0,86.0,Y
1.0,67.0,0.0,0.0,41.0,1.0,22.0,118.0,22.92,186362.34,0.69,391.0,0.01,10353.46,2066.59,101.0,290.0,14.0,25.0,122.0,Y
4.0,11.0,0.0,0.0,6.0,2.0,5.0,22.0,15.07,4411.98,0.09,57.0,0.06,245.11,257.83,22.0,35.0,9.0,14.0,26.0,N
8.0,17.0,0.0,0.0,9.0,1.0,8.0,39.0,13.3,20226.62,0.17,120.0,0.03,1123.7,518.63,42.0,78.0,7.0,13.0,49.0,N
3.0,3.0,0.0,0.0,2.0,2.0,1.0,8.0,13.88,969.43,0.04,29.0,0.12,53.86,116.0,13.0,16.0,7.0,9.0,14.0,Y
2.0,17.0,0.0,0.0,9.0,5.0,9.0,24.0,23.73,35284.28,0.31,177.0,0.03,1960.24,915.08,69.0,108.0,17.0,19.0,28.0,Y
2.0,5.0,0.0,0.0,3.0,1.0,3.0,11.0,11.15,1348.86,0.04,30.0,0.09,74.94,122.62,12.0,18.0,6.0,11.0,16.0,Y
1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,7.86,49.13,0.01,7.0,0.4,2.73,19.65,2.0,5.0,2.0,5.0,5.0,Y
3.0,3.0,0.0,0.0,2.0,2.0,1.0,13.0,14.31,1051.06,0.04,30.0,0.12,58.39,122.62,12.0,18.0,7.0,10.0,18.0,Y
3.0,19.0,0.0,0.0,10.0,4.0,7.0,15.0,11.21,9425.91,0.11,74.0,0.03,523.65,325.03,29.0,45.0,7.0,14.0,20.0,Y
1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,7.86,49.13,0.01,7.0,0.4,2.73,19.65,2.0,5.0,2.0,5.0,5.0,Y
3.0,7.0,0.0,3.0,4.0,4.0,1.0,10.0,21.13,2036.81,0.07,48.0,0.1,113.16,207.45,24.0,24.0,11.0,9.0,19.0,N
11.0,21.0,3.0,6.0,11.0,3.0,5.0,37.0,15.1,17770.86,0.17,113.0,0.03,987.27,518.1,49.0,64.0,10.0,14.0,60.0,Y
2.0,15.0,0.0,0.0,8.0,2.0,8.0,18.0,13.3,14482.46,0.15,87.0,0.03,804.58,438.86,33.0,54.0,11.0,22.0,23.0,Y
4.0,9.0,0.0,0.0,5.0,1.0,5.0,20.0,13.87,5096.95,0.09,58.0,0.05,283.16,265.93,23.0,35.0,9.0,15.0,27.0,Y
6.0,19.0,0.0,10.0,10.0,4.0,6.0,46.0,40.21,18974.56,0.29,160.0,0.05,1054.14,873.51,69.0,91.0,27.0,17.0,65.0,Y
1.0,22.0,0.0,0.0,14.0,1.0,1.0,48.0,23.9,16994.93,0.21,139.0,0.04,944.16,637.31,32.0,107.0,9.0,15.0,51.0,N
2.0,17.0,0.0,0.0,9.0,2.0,9.0,24.0,14.79,23958.35,0.2,118.0,0.02,1331.02,595.24,46.0,72.0,12.0,21.0,28.0,Y
2.0,19.0,1.0,0.0,10.0,2.0,10.0,9.0,18.92,8826.3,0.14,85.0,0.05,490.35,408.63,24.0,61.0,10.0,18.0,14.0,Y
3.0,19.0,1.0,0.0,10.0,2.0,10.0,9.0,18.32,9525.53,0.14,86.0,0.04,529.2,417.79,24.0,62.0,10.0,19.0,15.0,Y
1.0,3.0,0.0,0.0,2.0,1.0,1.0,11.0,14.81,1545.09,0.05,35.0,0.1,85.84,151.27,11.0,24.0,7.0,13.0,14.0,N
4.0,4.0,0.0,0.0,3.0,2.0,1.0,32.0,41.03,5683.8,0.16,89.0,0.08,315.77,482.94,36.0,53.0,26.0,17.0,40.0,Y
21.0,18.0,0.0,0.0,12.0,7.0,1.0,55.0,35.75,15645.96,0.25,147.0,0.05,869.22,747.86,53.0,94.0,19.0,15.0,78.0,Y
2.0,9.0,0.0,0.0,5.0,3.0,3.0,11.0,15.32,1456.05,0.05,34.0,0.1,80.89,149.34,12.0,22.0,8.0,13.0,19.0,N
4.0,3.0,1.0,4.0,2.0,2.0,1.0,13.0,19.61,3314.92,0.08,59.0,0.08,184.16,254.99,26.0,33.0,10.0,10.0,24.0,Y
3.0,9.0,0.0,0.0,5.0,5.0,1.0,22.0,36.86,6717.49,0.17,110.0,0.07,373.19,497.59,42.0,68.0,14.0,9.0,28.0,Y
3.0,19.0,0.0,0.0,10.0,10.0,10.0,19.0,24.97,5618.88,0.12,84.0,0.07,312.16,374.59,30.0,54.0,11.0,11.0,24.0,Y
2.0,6.0,0.0,0.0,5.0,2.0,1.0,20.0,30.75,2238.01,0.09,54.0,0.12,124.33,262.33,21.0,33.0,16.0,13.0,24.0,Y
30.0,21.0,4.0,1.0,15.0,3.0,1.0,106.0,65.95,29575.22,0.47,245.0,0.05,1643.07,1396.61,80.0,165.0,34.0,18.0,143.0,Y
0.0,6.0,0.0,0.0,5.0,1.0,1.0,19.0,34.34,1038.78,0.06,43.0,0.18,57.71,188.87,10.0,33.0,10.0,11.0,21.0,Y
3.0,25.0,0.0,0.0,13.0,13.0,13.0,23.0,28.38,9194.84,0.17,110.0,0.06,510.82,510.82,39.0,71.0,13.0,12.0,28.0,Y
2.0,6.0,0.0,0.0,5.0,2.0,1.0,20.0,30.75,2238.01,0.09,54.0,0.12,124.33,262.33,21.0,33.0,16.0,13.0,24.0,Y
3.0,5.0,0.0,1.0,3.0,2.0,1.0,18.0,20.53,1355.23,0.06,40.0,0.12,75.29,166.8,13.0,27.0,8.0,10.0,24.0,Y
1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,8.0,72.0,0.01,8.0,0.33,4.0,24.0,2.0,6.0,2.0,6.0,5.0,Y
13.0,52.0,0.0,0.0,31.0,2.0,1.0,92.0,42.71,64005.25,0.55,286.0,0.03,3555.85,1653.47,100.0,186.0,31.0,24.0,107.0,Y
1.0,3.0,0.0,0.0,2.0,2.0,1.0,27.0,30.84,12079.19,0.2,119.0,0.05,671.07,610.38,47.0,72.0,19.0,16.0,30.0,Y
1.0,3.0,0.0,0.0,2.0,2.0,1.0,28.0,31.05,14318.8,0.22,130.0,0.05,795.49,666.81,51.0,79.0,19.0,16.0,31.0,Y
2.0,3.0,0.0,0.0,2.0,2.0,1.0,7.0,17.97,220.18,0.02,17.0,0.29,12.23,62.91,6.0,11.0,6.0,7.0,11.0,Y
3.0,3.0,0.0,0.0,2.0,2.0,1.0,11.0,22.03,642.29,0.04,28.0,0.19,35.68,118.94,12.0,16.0,10.0,9.0,16.0,Y
3.0,5.0,0.0,0.0,3.0,3.0,1.0,17.0,21.09,2109.08,0.07,46.0,0.1,117.17,210.91,20.0,26.0,12.0,12.0,22.0,Y
15.0,24.0,7.0,25.0,13.0,8.0,1.0,81.0,44.74,57786.5,0.54,267.0,0.03,3210.36,1607.97,115.0,152.0,40.0,25.0,130.0,Y
15.0,23.0,2.0,16.0,13.0,8.0,1.0,86.0,42.7,69470.02,0.57,286.0,0.02,3859.45,1722.4,121.0,165.0,39.0,26.0,121.0,Y
4.0,5.0,0.0,0.0,3.0,3.0,1.0,22.0,36.67,2970.0,0.11,66.0,0.11,165.0,330.0,30.0,36.0,20.0,12.0,28.0,Y
27.0,1.0,0.0,12.0,1.0,1.0,1.0,30.0,53.57,2816.03,0.13,77.0,0.14,156.45,388.42,29.0,48.0,22.0,11.0,71.0,Y
25.0,9.0,0.0,19.0,5.0,5.0,1.0,51.0,63.13,12372.78,0.29,160.0,0.07,687.38,883.77,64.0,96.0,32.0,14.0,97.0,Y
5.0,15.0,0.0,7.0,9.0,2.0,9.0,44.0,36.31,15860.19,0.25,139.0,0.05,881.12,758.86,55.0,84.0,25.0,19.0,58.0,Y
3.0,5.0,0.0,0.0,3.0,2.0,1.0,15.0,18.15,5467.5,0.11,63.0,0.06,303.75,315.0,27.0,36.0,14.0,18.0,18.0,Y
2.0,3.0,0.0,0.0,2.0,2.0,1.0,12.0,30.39,3018.54,0.1,63.0,0.1,167.7,302.86,23.0,40.0,15.0,13.0,16.0,Y
0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,9.83,39.3,0.01,7.0,0.5,2.18,19.65,3.0,4.0,3.0,4.0,4.0,Y
9.0,43.0,0.0,4.0,22.0,11.0,15.0,79.0,83.81,85162.8,0.89,403.0,0.03,4731.27,2671.63,179.0,224.0,73.0,26.0,92.0,Y
3.0,9.0,0.0,0.0,5.0,3.0,3.0,22.0,18.17,2487.51,0.07,47.0,0.09,138.19,212.61,18.0,29.0,10.0,13.0,27.0,Y
11.0,59.0,2.0,107.0,30.0,18.0,25.0,223.0,90.41,210905.61,1.46,676.0,0.02,11716.98,4366.58,273.0,403.0,65.0,23.0,351.0,Y
1.0,16.0,1.0,1.0,11.0,11.0,1.0,43.0,38.48,15988.59,0.26,142.0,0.05,888.25,784.35,53.0,89.0,26.0,20.0,48.0,Y
0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,7.86,49.13,0.01,7.0,0.4,2.73,19.65,2.0,5.0,2.0,5.0,4.0,Y
0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,7.86,49.13,0.01,7.0,0.4,2.73,19.65,2.0,5.0,2.0,5.0,4.0,Y
0.0,3.0,0.0,0.0,2.0,1.0,1.0,4.0,13.33,580.8,0.03,22.0,0.15,32.27,88.0,6.0,16.0,5.0,11.0,6.0,Y
0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,7.86,49.13,0.01,7.0,0.4,2.73,19.65,2.0,5.0,2.0,5.0,4.0,Y
0.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,17.64,700.14,0.04,31.0,0.16,38.9,111.13,9.0,22.0,5.0,7.0,6.0,Y
0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,8.0,72.0,0.01,8.0,0.33,4.0,24.0,2.0,6.0,2.0,6.0,4.0,N
3.0,7.0,0.0,0.0,4.0,2.0,3.0,11.0,10.25,1987.63,0.05,32.0,0.07,110.42,142.7,13.0,19.0,7.0,15.0,16.0,Y
0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,11.07,99.66,0.01,10.0,0.33,5.54,33.22,4.0,6.0,4.0,6.0,4.0,Y
4.0,11.0,0.0,0.0,6.0,4.0,4.0,21.0,20.98,6063.94,0.12,72.0,0.06,336.89,356.7,28.0,44.0,14.0,17.0,27.0,Y
5.0,11.0,0.0,0.0,6.0,3.0,6.0,25.0,16.76,18255.01,0.18,107.0,0.03,1014.17,553.18,42.0,65.0,14.0,22.0,32.0,Y
0.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,17.64,700.14,0.04,31.0,0.16,38.9,111.13,9.0,22.0,5.0,7.0,7.0,Y
5.0,7.0,3.0,0.0,4.0,2.0,3.0,16.0,23.5,2350.22,0.08,50.0,0.1,130.57,235.02,20.0,30.0,13.0,13.0,26.0,Y
2.0,5.0,0.0,0.0,3.0,2.0,3.0,9.0,19.35,1295.38,0.05,35.0,0.12,71.97,158.32,15.0,20.0,11.0,12.0,13.0,Y
4.0,5.0,0.0,0.0,3.0,2.0,3.0,9.0,18.62,1463.02,0.06,36.0,0.11,81.28,165.06,15.0,21.0,11.0,13.0,15.0,N
3.0,7.0,2.0,0.0,4.0,2.0,3.0,16.0,18.06,3817.4,0.09,53.0,0.07,212.08,262.57,21.0,32.0,13.0,18.0,23.0,Y
0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,7.86,49.13,0.01,7.0,0.4,2.73,19.65,2.0,5.0,2.0,5.0,4.0,Y
3.0,13.0,0.0,1.0,7.0,3.0,7.0,24.0,20.34,10879.46,0.16,91.0,0.04,604.41,470.46,37.0,54.0,16.0,20.0,28.0,Y
0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,7.86,49.13,0.01,7.0,0.4,2.73,19.65,2.0,5.0,2.0,5.0,4.0,Y
3.0,7.0,0.0,4.0,4.0,3.0,4.0,19.0,25.97,3607.05,0.1,63.0,0.08,200.39,306.05,22.0,41.0,14.0,15.0,29.0,Y
1.0,9.0,0.0,0.0,5.0,5.0,1.0,21.0,32.7,1921.82,0.08,58.0,0.13,106.77,250.67,23.0,35.0,12.0,8.0,24.0,Y
22.0,37.0,8.0,55.0,19.0,10.0,14.0,70.0,22.11,77932.83,0.44,239.0,0.02,4329.6,1312.55,95.0,144.0,20.0,25.0,157.0,Y
22.0,37.0,8.0,55.0,19.0,10.0,14.0,70.0,23.1,75436.07,0.44,239.0,0.02,4190.89,1320.13,96.0,143.0,21.0,25.0,157.0,Y
0.0,6.0,0.0,0.0,5.0,2.0,1.0,21.0,40.09,1912.37,0.09,57.0,0.14,106.24,276.9,17.0,40.0,16.0,13.0,23.0,Y
3.0,11.0,3.0,0.0,6.0,1.0,1.0,24.0,43.22,1217.52,0.08,54.0,0.19,67.64,229.39,23.0,31.0,13.0,6.0,32.0,Y
0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,Y
4.0,11.0,0.0,0.0,6.0,2.0,6.0,17.0,13.62,8437.37,0.11,73.0,0.04,468.74,339.0,28.0,45.0,9.0,16.0,24.0,Y
3.0,5.0,0.0,0.0,3.0,1.0,1.0,16.0,9.16,3035.71,0.06,40.0,0.05,168.65,166.8,14.0,26.0,5.0,13.0,21.0,Y
4.0,5.0,0.0,0.0,3.0,2.0,1.0,17.0,11.51,3817.59,0.07,47.0,0.05,212.09,209.59,17.0,30.0,7.0,15.0,23.0,Y
7.0,53.0,0.0,3.0,27.0,6.0,25.0,85.0,43.7,102258.81,0.7,364.0,0.02,5681.04,2113.88,129.0,235.0,32.0,24.0,97.0,Y
4.0,13.0,0.0,0.0,7.0,5.0,1.0,46.0,28.6,25007.5,0.28,160.0,0.03,1389.31,845.66,69.0,91.0,21.0,18.0,52.0,Y
30.0,19.0,1.0,21.0,10.0,5.0,6.0,67.0,23.58,81940.43,0.46,263.0,0.02,4552.25,1390.06,112.0,151.0,19.0,20.0,126.0,Y
6.0,19.0,1.0,7.0,11.0,3.0,3.0,29.0,24.27,13211.18,0.19,105.0,0.04,733.95,566.19,35.0,70.0,18.0,24.0,45.0,Y
0.0,3.0,0.0,0.0,2.0,2.0,1.0,9.0,10.73,402.59,0.02,19.0,0.16,22.37,65.73,7.0,12.0,4.0,7.0,11.0,Y
0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,Y
0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,7.86,49.13,0.01,7.0,0.4,2.73,19.65,2.0,5.0,2.0,5.0,4.0,Y
5.0,15.0,1.0,9.0,8.0,2.0,8.0,18.0,13.66,8053.12,0.11,69.0,0.04,447.4,331.71,23.0,46.0,9.0,19.0,35.0,Y
0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,Y
0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,Y
0.0,6.0,0.0,0.0,5.0,2.0,1.0,24.0,34.44,2743.17,0.1,59.0,0.11,152.4,307.36,21.0,38.0,20.0,17.0,26.0,Y
0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,Y
6.0,9.0,0.0,0.0,5.0,2.0,1.0,25.0,27.24,10748.47,0.18,101.0,0.05,597.14,541.11,46.0,55.0,22.0,19.0,33.0,Y
3.0,5.0,0.0,0.0,3.0,3.0,1.0,16.0,20.15,3085.52,0.08,61.0,0.08,171.42,249.34,22.0,39.0,8.0,9.0,21.0,Y
2.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0,19.58,959.45,0.05,36.0,0.14,53.3,137.06,14.0,22.0,7.0,7.0,11.0,Y
2.0,3.0,0.0,0.0,2.0,2.0,1.0,10.0,16.59,555.43,0.03,24.0,0.17,30.86,96.0,9.0,15.0,7.0,9.0,15.0,Y
5.0,57.0,1.0,2.0,29.0,14.0,17.0,28.0,36.86,42113.63,0.42,247.0,0.03,2339.65,1245.97,104.0,143.0,20.0,13.0,38.0,Y
5.0,57.0,1.0,2.0,29.0,14.0,17.0,28.0,36.86,42113.63,0.42,247.0,0.03,2339.65,1245.97,104.0,143.0,20.0,13.0,38.0,Y
17.0,47.0,3.0,14.0,32.0,30.0,1.0,314.0,78.81,2129684.27,4.32,1896.0,0.01,118315.79,12955.16,807.0,1089.0,81.0,33.0,352.0,Y
79.0,33.0,1.0,24.0,17.0,7.0,15.0,81.0,30.36,76327.25,0.51,288.0,0.02,4240.4,1522.2,117.0,171.0,21.0,18.0,187.0,Y
5.0,7.0,0.0,0.0,4.0,4.0,1.0,27.0,42.78,4066.59,0.14,85.0,0.1,225.92,417.09,39.0,46.0,20.0,10.0,34.0,Y
10.0,7.0,0.0,6.0,4.0,4.0,1.0,37.0,99.13,5485.65,0.25,130.0,0.13,304.76,737.42,61.0,69.0,41.0,10.0,55.0,Y
4.0,5.0,1.0,0.0,3.0,3.0,1.0,16.0,51.28,4153.55,0.15,96.0,0.11,230.75,461.51,45.0,51.0,20.0,8.0,23.0,Y
4.0,5.0,0.0,0.0,3.0,3.0,1.0,17.0,51.28,4153.55,0.15,96.0,0.11,230.75,461.51,45.0,51.0,20.0,8.0,23.0,Y
12.0,3.0,0.0,0.0,2.0,1.0,1.0,64.0,119.03,30721.35,0.64,307.0,0.06,1706.74,1912.25,140.0,167.0,61.0,14.0,78.0,Y
5.0,13.0,3.0,1.0,7.0,5.0,1.0,20.0,36.0,9480.0,0.19,113.0,0.06,526.67,584.2,51.0,62.0,22.0,14.0,31.0,Y
1.0,3.0,0.0,0.0,2.0,2.0,1.0,6.0,17.45,528.0,0.03,24.0,0.18,29.33,96.0,11.0,13.0,8.0,8.0,9.0,Y
15.0,41.0,5.0,13.0,21.0,17.0,21.0,67.0,71.45,70891.35,0.75,371.0,0.03,3938.41,2250.52,138.0,233.0,46.0,21.0,102.0,Y
4.0,5.0,0.0,1.0,3.0,3.0,3.0,29.0,45.47,9126.35,0.21,118.0,0.07,507.02,644.21,45.0,73.0,27.0,17.0,37.0,Y
6.0,13.0,0.0,5.0,7.0,5.0,5.0,25.0,33.02,14320.27,0.23,132.0,0.05,795.57,687.65,49.0,83.0,20.0,17.0,39.0,Y
2.0,5.0,0.0,0.0,3.0,3.0,1.0,22.0,28.84,2434.43,0.09,54.0,0.11,135.25,264.97,21.0,33.0,16.0,14.0,27.0,Y
17.0,17.0,0.0,13.0,9.0,9.0,1.0,94.0,52.47,83764.27,0.7,366.0,0.03,4653.57,2096.42,143.0,223.0,34.0,19.0,126.0,Y
0.0,65.0,0.0,13.0,33.0,33.0,31.0,73.0,93.46,11090.0,0.34,194.0,0.09,616.11,1018.1,61.0,133.0,28.0,10.0,88.0,N
