@relation SelectedFeatures
@attribute BRANCH_COUNT numeric
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute CONDITION_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute DECISION_DENSITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute DESIGN_DENSITY numeric
@attribute EDGE_COUNT numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute PARAMETER_COUNT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute MODIFIED_CONDITION_COUNT numeric
@attribute MULTIPLE_CONDITION_COUNT numeric
@attribute NODE_COUNT numeric
@attribute Defective {Y,N}

@data
13.0,6.0,0.0,20.0,7.0,2.5,6.0,0.86,27.0,1.0,0.0,0.0,11.0,4288.91,0.09,238.27,0.14,6.0,10.0,22.0,N
9.0,2.0,0.0,14.0,5.0,2.33,3.0,0.6,16.0,1.0,0.0,0.0,8.8,2092.15,0.11,116.23,0.2,4.0,7.0,13.0,N
7.0,1.0,0.0,12.0,4.0,2.0,2.0,0.5,14.0,1.0,0.0,0.0,5.45,949.99,0.18,52.78,0.25,3.0,6.0,12.0,Y
7.0,4.0,0.0,10.0,4.0,2.5,4.0,1.0,14.0,1.0,0.0,0.0,5.73,1674.07,0.17,93.0,0.25,3.0,5.0,12.0,N
3.0,5.0,0.0,4.0,2.0,2.0,2.0,1.0,11.0,1.0,0.0,1.0,3.0,301.14,0.33,16.73,0.5,1.0,2.0,11.0,N
3.0,6.0,0.0,4.0,2.0,2.0,2.0,1.0,12.0,1.0,0.0,1.0,4.07,774.24,0.25,43.01,0.5,1.0,2.0,12.0,N
13.0,8.0,0.0,20.0,7.0,2.5,7.0,1.0,34.0,1.0,0.0,0.0,6.67,2461.38,0.15,136.74,0.14,6.0,10.0,29.0,N
11.0,9.0,0.0,14.0,6.0,3.5,6.0,1.0,23.0,1.0,0.0,0.0,4.32,971.34,0.23,53.96,0.17,5.0,7.0,19.0,N
11.0,4.0,0.0,16.0,6.0,2.67,4.0,0.67,20.0,5.0,0.0,0.0,11.28,3778.06,0.09,209.89,0.83,5.0,8.0,16.0,N
7.0,4.0,0.0,12.0,4.0,2.0,3.0,0.75,15.0,1.0,0.0,0.0,5.5,784.43,0.18,43.58,0.25,3.0,6.0,13.0,N
7.0,4.0,0.0,12.0,4.0,2.0,3.0,0.75,15.0,1.0,0.0,0.0,6.42,1132.02,0.16,62.89,0.25,3.0,6.0,13.0,N
5.0,6.0,0.0,8.0,3.0,2.0,3.0,1.0,19.0,1.0,0.0,1.0,14.4,9306.1,0.07,517.01,0.33,2.0,4.0,18.0,N
7.0,5.0,0.0,8.0,4.0,4.0,2.0,0.5,16.0,4.0,1.0,0.0,7.6,1698.45,0.13,94.36,1.0,3.0,4.0,14.0,N
7.0,5.0,0.0,8.0,4.0,4.0,2.0,0.5,16.0,4.0,1.0,0.0,6.77,1272.5,0.15,70.69,1.0,3.0,4.0,14.0,N
7.0,5.0,0.0,8.0,4.0,4.0,2.0,0.5,16.0,4.0,1.0,0.0,7.6,1698.45,0.13,94.36,1.0,3.0,4.0,14.0,Y
7.0,5.0,0.0,8.0,4.0,4.0,2.0,0.5,16.0,4.0,1.0,0.0,7.6,1698.45,0.13,94.36,1.0,3.0,4.0,14.0,N
5.0,2.0,0.0,8.0,3.0,2.0,2.0,0.67,12.0,3.0,1.0,2.0,21.24,15905.03,0.05,883.61,1.0,2.0,4.0,11.0,N
3.0,2.0,0.0,4.0,2.0,2.0,2.0,1.0,8.0,1.0,0.0,0.0,6.92,1285.99,0.14,71.44,0.5,1.0,2.0,8.0,N
11.0,7.0,8.0,20.0,6.0,2.0,5.0,0.83,29.0,1.0,0.0,1.0,18.53,15888.57,0.05,882.7,0.17,5.0,10.0,25.0,N
5.0,10.0,0.0,8.0,3.0,2.0,3.0,1.0,21.0,1.0,0.0,1.0,13.77,12025.31,0.07,668.07,0.33,2.0,4.0,20.0,N
9.0,2.0,0.0,10.0,5.0,5.0,3.0,0.6,14.0,5.0,1.0,1.0,4.57,392.92,0.22,21.83,1.0,4.0,5.0,11.0,N
17.0,4.0,0.0,28.0,9.0,2.33,3.0,0.33,39.0,5.0,0.0,0.0,20.54,22355.6,0.05,1241.98,0.56,8.0,15.0,32.0,N
20.0,7.0,0.0,12.0,16.0,2.0,5.0,0.31,46.0,1.0,0.0,1.0,25.55,39787.9,0.04,2210.44,0.06,3.0,6.0,32.0,N
3.0,2.0,0.0,4.0,2.0,2.0,2.0,1.0,7.0,1.0,0.0,3.0,5.73,742.59,0.17,41.25,0.5,1.0,2.0,7.0,N
5.0,7.0,3.0,8.0,3.0,2.0,3.0,1.0,20.0,1.0,0.0,2.0,15.28,13683.04,0.07,760.17,0.33,2.0,4.0,19.0,N
35.0,10.0,0.0,62.0,18.0,2.07,3.0,0.17,81.0,4.0,0.0,0.0,17.87,22020.91,0.06,1223.38,0.22,16.0,31.0,65.0,N
3.0,3.0,0.0,4.0,2.0,2.0,2.0,1.0,9.0,1.0,0.0,0.0,8.6,4341.04,0.12,241.17,0.5,1.0,2.0,9.0,N
17.0,5.0,0.0,32.0,9.0,2.0,5.0,0.56,40.0,1.0,0.0,6.0,13.19,9577.07,0.08,532.06,0.11,8.0,16.0,33.0,N
3.0,1.0,0.0,4.0,2.0,2.0,2.0,1.0,6.0,1.0,0.0,3.0,7.33,659.44,0.14,36.64,0.5,1.0,2.0,6.0,N
24.0,2.0,0.0,16.0,19.0,2.0,3.0,0.16,51.0,4.0,0.0,1.0,27.19,36801.7,0.04,2044.54,0.21,4.0,8.0,34.0,N
16.0,3.0,0.0,24.0,9.0,2.0,1.0,0.11,43.0,1.0,0.0,2.0,25.41,35137.98,0.04,1952.11,0.11,6.0,12.0,36.0,N
3.0,4.0,0.0,4.0,2.0,2.0,2.0,1.0,8.0,1.0,0.0,0.0,4.76,1007.83,0.21,55.99,0.5,1.0,2.0,8.0,N
3.0,0.0,0.0,4.0,2.0,2.0,1.0,0.5,5.0,1.0,0.0,1.0,5.33,239.85,0.19,13.33,0.5,1.0,2.0,5.0,N
17.0,12.0,0.0,26.0,9.0,2.17,7.0,0.78,55.0,3.0,0.0,2.0,20.93,29266.83,0.05,1625.93,0.33,7.0,13.0,48.0,N
9.0,3.0,0.0,12.0,5.0,3.0,3.0,0.6,16.0,4.0,0.0,2.0,18.0,7016.86,0.06,389.83,0.8,4.0,6.0,13.0,N
3.0,1.0,0.0,4.0,2.0,2.0,2.0,1.0,7.0,1.0,0.0,2.0,7.2,479.58,0.14,26.64,0.5,1.0,2.0,7.0,N
3.0,1.0,0.0,4.0,2.0,2.0,2.0,1.0,8.0,1.0,0.0,1.0,7.22,797.67,0.14,44.31,0.5,1.0,2.0,8.0,N
23.0,11.0,0.0,38.0,12.0,2.11,9.0,0.75,58.0,4.0,0.0,2.0,23.52,28823.57,0.04,1601.31,0.33,10.0,19.0,48.0,N
5.0,1.0,0.0,8.0,3.0,2.0,2.0,0.67,11.0,1.0,0.0,3.0,17.0,3360.12,0.06,186.67,0.33,2.0,4.0,10.0,N
11.0,14.0,0.0,16.0,6.0,2.0,6.0,1.0,38.0,1.0,0.0,2.0,16.75,14362.03,0.06,797.89,0.17,4.0,8.0,34.0,N
19.0,8.0,0.0,28.0,10.0,2.33,7.0,0.7,43.0,7.0,0.0,2.0,21.11,20115.78,0.05,1117.54,0.7,8.0,14.0,35.0,N
5.0,6.0,0.0,8.0,3.0,2.0,3.0,1.0,19.0,1.0,0.0,2.0,11.19,4270.38,0.09,237.24,0.33,2.0,4.0,18.0,N
3.0,0.0,0.0,4.0,2.0,2.0,1.0,0.5,7.0,1.0,0.0,0.0,10.5,1806.0,0.1,100.33,0.5,1.0,2.0,7.0,N
3.0,3.0,0.0,4.0,2.0,2.0,2.0,1.0,18.0,1.0,0.0,0.0,17.18,13960.02,0.06,775.56,0.5,1.0,2.0,18.0,N
3.0,1.0,0.0,4.0,2.0,2.0,2.0,1.0,17.0,1.0,0.0,1.0,15.24,11992.27,0.07,666.24,0.5,1.0,2.0,17.0,N
3.0,3.0,0.0,4.0,2.0,2.0,2.0,1.0,7.0,1.0,0.0,2.0,10.17,3679.85,0.1,204.44,0.5,1.0,2.0,7.0,N
5.0,0.0,0.0,8.0,3.0,2.0,1.0,0.33,9.0,1.0,0.0,2.0,11.92,1509.98,0.08,83.89,0.33,2.0,4.0,8.0,N
7.0,6.0,0.0,12.0,4.0,2.0,4.0,1.0,19.0,1.0,0.0,2.0,5.0,1912.87,0.2,106.27,0.25,3.0,6.0,17.0,N
5.0,5.0,0.0,8.0,3.0,2.0,3.0,1.0,13.0,1.0,0.0,0.0,4.96,758.26,0.2,42.13,0.33,2.0,4.0,12.0,N
17.0,7.0,0.0,24.0,9.0,3.0,4.0,0.44,41.0,7.0,0.0,0.0,12.24,7077.77,0.08,393.21,0.78,8.0,12.0,34.0,N
29.0,5.0,0.0,56.0,15.0,2.0,15.0,1.0,75.0,15.0,1.0,0.0,14.08,23049.99,0.07,1280.56,1.0,14.0,28.0,62.0,N
7.0,7.0,0.0,12.0,4.0,2.0,2.0,0.5,23.0,3.0,0.0,0.0,10.02,4437.26,0.1,246.51,0.75,3.0,6.0,21.0,N
5.0,4.0,0.0,8.0,3.0,2.0,3.0,1.0,12.0,1.0,0.0,0.0,3.5,423.25,0.29,23.51,0.33,2.0,4.0,11.0,N
3.0,6.0,0.0,4.0,2.0,2.0,2.0,1.0,12.0,1.0,0.0,0.0,3.0,505.67,0.33,28.09,0.5,1.0,2.0,12.0,N
3.0,5.0,0.0,4.0,2.0,2.0,2.0,1.0,10.0,1.0,0.0,0.0,4.17,1021.56,0.24,56.75,0.5,1.0,2.0,10.0,N
3.0,2.0,0.0,4.0,2.0,2.0,2.0,1.0,6.0,1.0,0.0,0.0,2.5,91.35,0.4,5.08,0.5,1.0,2.0,6.0,N
50.0,17.0,0.0,82.0,26.0,2.28,20.0,0.77,134.0,9.0,0.0,0.0,34.67,114633.41,0.03,6368.52,0.35,23.0,41.0,110.0,Y
5.0,4.0,0.0,8.0,3.0,2.0,3.0,1.0,13.0,1.0,0.0,0.0,4.5,731.32,0.22,40.63,0.33,2.0,4.0,12.0,N
3.0,4.0,0.0,4.0,2.0,2.0,2.0,1.0,9.0,1.0,0.0,1.0,5.33,760.66,0.19,42.26,0.5,1.0,2.0,9.0,N
5.0,4.0,0.0,8.0,3.0,2.0,3.0,1.0,13.0,1.0,0.0,1.0,5.59,1248.86,0.18,69.38,0.33,2.0,4.0,12.0,N
3.0,2.0,0.0,4.0,2.0,2.0,2.0,1.0,7.0,1.0,0.0,2.0,3.0,193.59,0.33,10.75,0.5,1.0,2.0,7.0,N
5.0,5.0,0.0,8.0,3.0,2.0,3.0,1.0,15.0,1.0,0.0,0.0,5.5,1307.59,0.18,72.64,0.33,2.0,4.0,14.0,N
5.0,3.0,0.0,8.0,3.0,2.0,3.0,1.0,13.0,1.0,0.0,0.0,5.83,1458.23,0.17,81.01,0.33,2.0,4.0,12.0,N
3.0,1.0,0.0,4.0,2.0,2.0,2.0,1.0,5.0,1.0,0.0,0.0,4.17,150.0,0.24,8.33,0.5,1.0,2.0,5.0,N
9.0,14.0,0.0,12.0,5.0,2.0,5.0,1.0,32.0,1.0,0.0,2.0,5.25,2598.43,0.19,144.36,0.2,3.0,6.0,29.0,N
15.0,11.0,0.0,26.0,8.0,2.17,7.0,0.88,37.0,7.0,0.0,0.0,16.05,12318.72,0.06,684.37,0.88,7.0,13.0,31.0,N
6.0,5.0,0.0,4.0,4.0,2.0,4.0,1.0,15.0,1.0,0.0,0.0,7.46,1767.82,0.13,98.21,0.25,1.0,2.0,13.0,N
3.0,1.0,0.0,4.0,2.0,2.0,2.0,1.0,5.0,1.0,0.0,0.0,4.17,150.0,0.24,8.33,0.5,1.0,2.0,5.0,N
7.0,14.0,0.0,8.0,4.0,2.0,4.0,1.0,30.0,1.0,0.0,2.0,5.37,2972.97,0.19,165.17,0.25,2.0,4.0,28.0,N
3.0,3.0,0.0,4.0,2.0,2.0,2.0,1.0,8.0,1.0,0.0,0.0,4.45,538.68,0.22,29.93,0.5,1.0,2.0,8.0,N
6.0,5.0,0.0,4.0,4.0,2.0,4.0,1.0,15.0,1.0,0.0,0.0,7.46,1767.82,0.13,98.21,0.25,1.0,2.0,13.0,N
39.0,3.0,1.0,40.0,20.0,10.0,20.0,1.0,63.0,20.0,1.0,0.0,6.18,3709.37,0.16,206.08,1.0,18.0,20.0,45.0,N
45.0,3.0,1.0,46.0,23.0,11.5,23.0,1.0,72.0,23.0,1.0,0.0,6.4,4271.56,0.16,237.31,1.0,21.0,23.0,51.0,N
3.0,3.0,0.0,4.0,2.0,2.0,2.0,1.0,7.0,1.0,0.0,0.0,3.5,294.0,0.29,16.32,0.5,1.0,2.0,7.0,N
5.0,13.0,0.0,4.0,3.0,2.0,3.0,1.0,24.0,1.0,0.0,2.0,6.22,3442.96,0.16,191.28,0.33,1.0,2.0,23.0,N
9.0,3.0,0.0,16.0,5.0,2.67,4.0,0.8,18.0,1.0,0.0,1.0,10.77,2201.88,0.09,122.33,0.2,5.0,8.0,15.0,N
15.0,7.0,0.0,14.0,9.0,2.33,6.0,0.67,32.0,1.0,0.0,0.0,13.91,6910.42,0.07,383.91,0.11,4.0,7.0,25.0,N
3.0,5.0,1.0,4.0,2.0,2.0,2.0,1.0,11.0,1.0,0.0,2.0,7.06,1946.71,0.14,108.15,0.5,1.0,2.0,11.0,N
11.0,8.0,0.0,22.0,6.0,2.2,5.0,0.83,27.0,3.0,0.0,1.0,17.52,13214.36,0.06,734.13,0.5,6.0,11.0,23.0,N
7.0,3.0,0.0,12.0,4.0,2.0,3.0,0.75,16.0,1.0,0.0,1.0,6.75,1312.96,0.15,72.94,0.25,3.0,6.0,14.0,N
7.0,4.0,0.0,12.0,4.0,2.0,4.0,1.0,19.0,4.0,1.0,0.0,4.15,741.1,0.24,41.17,1.0,3.0,6.0,17.0,N
13.0,4.0,0.0,22.0,7.0,2.2,6.0,0.86,32.0,4.0,0.0,0.0,10.4,3882.17,0.1,215.68,0.57,6.0,11.0,27.0,N
7.0,6.0,0.0,12.0,4.0,2.0,3.0,0.75,22.0,1.0,0.0,0.0,11.15,6010.8,0.09,333.93,0.25,3.0,6.0,20.0,Y
3.0,4.0,0.0,4.0,2.0,2.0,2.0,1.0,10.0,1.0,0.0,1.0,10.97,2930.73,0.09,162.82,0.5,1.0,2.0,10.0,N
9.0,17.0,0.0,12.0,5.0,2.0,5.0,1.0,34.0,1.0,0.0,2.0,6.59,4519.95,0.15,251.11,0.2,3.0,6.0,31.0,Y
3.0,3.0,0.0,4.0,2.0,2.0,2.0,1.0,8.0,1.0,0.0,1.0,7.26,2552.29,0.14,141.79,0.5,1.0,2.0,8.0,Y
7.0,6.0,0.0,4.0,5.0,2.0,5.0,1.0,17.0,1.0,0.0,0.0,9.03,2951.88,0.11,163.99,0.2,1.0,2.0,14.0,N
13.0,7.0,0.0,22.0,7.0,2.2,7.0,1.0,31.0,5.0,0.0,1.0,6.44,3890.76,0.16,216.15,0.71,6.0,11.0,26.0,N
5.0,2.0,0.0,8.0,3.0,2.0,3.0,1.0,10.0,1.0,0.0,0.0,8.33,1560.8,0.12,86.71,0.33,2.0,4.0,9.0,N
19.0,2.0,0.0,24.0,11.0,2.4,6.0,0.55,35.0,8.0,0.0,0.0,32.25,38746.22,0.03,2152.57,0.73,7.0,12.0,26.0,N
7.0,5.0,0.0,4.0,5.0,2.0,5.0,1.0,20.0,1.0,0.0,1.0,13.84,10117.34,0.07,562.07,0.2,1.0,2.0,17.0,N
3.0,1.0,0.0,4.0,2.0,2.0,2.0,1.0,7.0,1.0,0.0,1.0,12.07,1512.98,0.08,84.05,0.5,1.0,2.0,7.0,N
27.0,4.0,1.0,52.0,14.0,2.0,8.0,0.57,71.0,14.0,1.0,1.0,36.56,79271.67,0.03,4403.98,1.0,13.0,26.0,59.0,N
5.0,0.0,0.0,8.0,3.0,2.0,1.0,0.33,10.0,1.0,0.0,2.0,4.67,605.07,0.21,33.61,0.33,2.0,4.0,9.0,N
5.0,0.0,0.0,8.0,3.0,2.0,1.0,0.33,10.0,1.0,0.0,2.0,4.67,605.07,0.21,33.61,0.33,2.0,4.0,9.0,N
7.0,0.0,0.0,10.0,4.0,2.5,1.0,0.25,12.0,3.0,0.0,1.0,10.77,2355.5,0.09,130.86,0.75,3.0,5.0,10.0,N
3.0,2.0,0.0,4.0,2.0,2.0,2.0,1.0,8.0,1.0,0.0,3.0,10.67,1546.1,0.09,85.89,0.5,1.0,2.0,8.0,N
3.0,1.0,0.0,4.0,2.0,2.0,2.0,1.0,7.0,1.0,0.0,1.0,4.9,245.93,0.2,13.66,0.5,1.0,2.0,7.0,N
8.0,3.0,0.0,4.0,6.0,2.0,2.0,0.33,20.0,1.0,0.0,0.0,21.86,13420.45,0.05,745.58,0.17,1.0,2.0,16.0,N
13.0,14.0,0.0,20.0,7.0,2.0,7.0,1.0,53.0,1.0,0.0,2.0,8.18,9298.52,0.12,516.58,0.14,5.0,10.0,48.0,N
6.0,6.0,0.0,4.0,4.0,2.0,4.0,1.0,17.0,1.0,0.0,0.0,12.24,5313.4,0.08,295.19,0.25,1.0,2.0,15.0,N
11.0,4.0,0.0,20.0,6.0,2.0,5.0,0.83,28.0,4.0,0.0,1.0,26.33,28263.16,0.04,1570.18,0.67,5.0,10.0,24.0,N
11.0,2.0,0.0,20.0,6.0,2.0,6.0,1.0,21.0,1.0,0.0,2.0,6.59,1743.9,0.15,96.88,0.17,5.0,10.0,17.0,N
3.0,0.0,0.0,4.0,2.0,2.0,1.0,0.5,6.0,1.0,0.0,1.0,9.29,1214.56,0.11,67.48,0.5,1.0,2.0,6.0,N
3.0,0.0,0.0,4.0,2.0,2.0,1.0,0.5,6.0,1.0,0.0,3.0,7.5,732.54,0.13,40.7,0.5,1.0,2.0,6.0,N
3.0,4.0,0.0,4.0,2.0,2.0,2.0,1.0,11.0,1.0,0.0,3.0,7.09,1536.14,0.14,85.34,0.5,1.0,2.0,11.0,N
