@relation CustomJM1
@attribute LOC_TOTAL numeric
@attribute LOC_COMMENTS numeric
@attribute LOC_BLANK numeric
@attribute HALSTEAD_CONTENT numeric
@attribute LOC_EXECUTABLE numeric
@attribute NUM_OPERATORS numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute BRANCH_COUNT numeric
@attribute HALSTEAD_EFFORT numeric
@attribute label {Y,N}

@data
12.0,0.0,0.0,14.32,9.0,17.0,4.0,0.04,7.0,852.01,N
113.0,6.0,9.0,50.48,96.0,210.0,16.0,0.69,31.0,86030.5,Y
9.0,0.0,0.0,17.27,7.0,13.0,2.0,0.03,3.0,536.04,N
23.0,0.0,3.0,21.59,18.0,29.0,4.0,0.08,7.0,2732.61,N
69.0,0.0,7.0,53.73,53.0,112.0,22.0,0.35,43.0,21095.36,Y
30.0,0.0,4.0,29.89,24.0,45.0,3.0,0.11,5.0,3534.72,N
17.0,0.0,4.0,41.51,10.0,40.0,1.0,0.09,1.0,1611.57,N
4.0,0.0,0.0,5.33,2.0,3.0,1.0,0.0,1.0,12.0,N
7.0,0.0,0.0,8.54,5.0,8.0,2.0,0.01,3.0,186.03,Y
4.0,0.0,0.0,6.2,2.0,5.0,1.0,0.01,1.0,38.77,N
120.0,15.0,10.0,42.11,82.0,200.0,16.0,0.64,31.0,86694.5,N
69.0,7.0,1.0,58.93,48.0,126.0,14.0,0.45,27.0,31033.99,N
4.0,0.0,0.0,13.5,2.0,5.0,1.0,0.01,1.0,54.0,N
11.0,0.0,3.0,19.12,6.0,15.0,1.0,0.04,1.0,589.99,N
27.0,0.0,2.0,18.23,23.0,73.0,11.0,0.19,21.0,18136.54,N
60.0,25.0,1.0,24.27,32.0,138.0,18.0,0.38,35.0,54762.43,Y
95.0,19.0,21.0,64.26,52.0,146.0,4.0,0.47,7.0,30737.51,N
74.0,8.0,10.0,36.25,54.0,96.0,10.0,0.3,19.0,22378.03,N
18.0,0.0,2.0,19.46,14.0,16.0,5.0,0.04,9.0,700.55,N
33.0,3.0,3.0,17.54,25.0,44.0,9.0,0.13,17.0,8609.84,N
34.0,6.0,4.0,23.78,20.0,30.0,5.0,0.08,9.0,2451.96,N
13.0,0.0,1.0,17.36,9.0,14.0,2.0,0.03,3.0,351.62,N
34.0,1.0,8.0,34.92,22.0,53.0,4.0,0.14,7.0,5229.38,N
67.0,0.0,3.0,61.19,51.0,170.0,22.0,0.6,43.0,52596.82,Y
40.0,0.0,3.0,55.75,34.0,71.0,10.0,0.23,19.0,8607.77,N
19.0,0.0,1.0,24.23,16.0,33.0,5.0,0.1,9.0,3966.18,N
8.0,0.0,1.0,29.17,5.0,15.0,1.0,0.04,1.0,466.77,N
51.0,10.0,7.0,45.45,32.0,86.0,7.0,0.26,13.0,13788.32,Y
4.0,0.0,0.0,9.6,2.0,5.0,1.0,0.01,1.0,60.0,N
5.0,0.0,0.0,6.74,3.0,8.0,1.0,0.01,1.0,168.44,N
104.0,1.0,12.0,39.57,88.0,251.0,13.0,0.75,22.0,127998.63,Y
22.0,0.0,2.0,21.35,20.0,61.0,4.0,0.18,7.0,13412.0,N
7.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,N
22.0,3.0,2.0,27.58,14.0,33.0,3.0,0.09,5.0,2757.83,N
127.0,14.0,16.0,93.34,94.0,227.0,3.0,0.88,5.0,73984.09,N
18.0,0.0,2.0,21.02,13.0,19.0,2.0,0.05,3.0,1030.13,N
19.0,1.0,4.0,34.73,12.0,22.0,2.0,0.06,3.0,1089.27,Y
26.0,0.0,5.0,29.65,19.0,36.0,3.0,0.11,5.0,3715.78,N
4.0,0.0,0.0,5.33,2.0,3.0,1.0,0.0,1.0,12.0,N
26.0,0.0,5.0,25.7,19.0,80.0,4.0,0.22,7.0,16251.05,N
33.0,0.0,5.0,15.28,26.0,40.0,5.0,0.1,9.0,6110.57,N
8.0,0.0,0.0,12.6,6.0,13.0,3.0,0.03,5.0,560.0,N
15.0,0.0,2.0,32.09,10.0,148.0,6.0,0.34,11.0,32092.96,N
123.0,0.0,7.0,85.53,113.0,357.0,27.0,1.44,53.0,219701.17,N
4.0,0.0,0.0,5.33,2.0,3.0,1.0,0.0,1.0,12.0,N
37.0,6.0,5.0,26.36,26.0,78.0,10.0,0.22,19.0,16824.27,N
57.0,2.0,12.0,65.37,41.0,140.0,4.0,0.5,7.0,34375.83,N
4.0,0.0,0.0,5.33,2.0,3.0,1.0,0.0,1.0,12.0,N
27.0,0.0,7.0,23.08,18.0,49.0,4.0,0.14,7.0,7149.9,Y
13.0,0.0,1.0,9.66,10.0,28.0,5.0,0.06,9.0,3488.85,N
20.0,0.0,5.0,30.52,12.0,66.0,3.0,0.17,5.0,8310.37,N
4.0,0.0,0.0,12.68,2.0,6.0,1.0,0.01,1.0,79.25,N
82.0,12.0,11.0,55.41,51.0,160.0,11.0,0.5,21.0,40271.64,Y
22.0,1.0,0.0,57.3,19.0,54.0,1.0,0.16,1.0,3782.88,N
87.0,0.0,15.0,27.04,70.0,94.0,13.0,0.26,14.0,22328.57,N
38.0,0.0,4.0,37.43,32.0,64.0,5.0,0.21,9.0,10404.34,N
4.0,0.0,0.0,5.33,2.0,3.0,1.0,0.0,1.0,12.0,N
36.0,6.0,6.0,23.28,20.0,46.0,7.0,0.12,13.0,5665.86,Y
52.0,16.0,8.0,44.41,24.0,35.0,4.0,0.1,7.0,1927.47,N
4.0,0.0,0.0,11.86,2.0,8.0,1.0,0.01,1.0,145.3,N
26.0,2.0,2.0,21.35,20.0,33.0,4.0,0.08,7.0,2906.44,N
50.0,12.0,9.0,45.63,27.0,58.0,2.0,0.18,3.0,6527.58,Y
17.0,0.0,3.0,26.86,11.0,23.0,2.0,0.07,3.0,1592.51,N
79.0,0.0,6.0,67.75,71.0,87.0,3.0,0.33,5.0,14173.92,Y
20.0,0.0,0.0,26.67,18.0,30.0,3.0,0.08,4.0,2160.0,N
12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,N
24.0,0.0,1.0,8.11,21.0,77.0,3.0,0.15,5.0,25453.22,Y
15.0,0.0,2.0,14.59,11.0,18.0,2.0,0.04,3.0,820.45,N
23.0,0.0,3.0,72.62,16.0,51.0,1.0,0.18,1.0,4137.71,N
25.0,0.0,5.0,27.67,18.0,49.0,5.0,0.14,9.0,6225.0,Y
32.0,0.0,6.0,27.6,24.0,47.0,4.0,0.11,7.0,4190.01,N
24.0,0.0,4.0,22.4,18.0,98.0,12.0,0.3,23.0,35741.36,N
116.0,15.0,13.0,56.03,79.0,214.0,23.0,0.8,45.0,103283.38,N
17.0,0.0,3.0,8.22,12.0,17.0,3.0,0.03,5.0,1284.98,N
14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,N
19.0,0.0,3.0,19.38,14.0,30.0,2.0,0.07,3.0,1986.51,N
41.0,6.0,9.0,12.9,24.0,35.0,5.0,0.12,9.0,9406.51,Y
15.0,0.0,3.0,20.76,10.0,27.0,3.0,0.07,5.0,2198.48,N
23.0,0.0,1.0,19.21,19.0,36.0,6.0,0.1,11.0,4419.98,N
21.0,0.0,5.0,32.1,14.0,53.0,1.0,0.11,1.0,3631.6,N
72.0,6.0,7.0,32.49,57.0,84.0,11.0,0.26,21.0,18404.41,N
26.0,4.0,3.0,21.06,17.0,48.0,3.0,0.12,5.0,5848.95,N
11.0,0.0,3.0,10.64,6.0,17.0,1.0,0.03,1.0,980.99,Y
4.0,0.0,0.0,11.86,2.0,8.0,1.0,0.01,1.0,145.3,N
31.0,1.0,4.0,22.76,24.0,41.0,4.0,0.11,7.0,4460.08,N
36.0,0.0,4.0,44.98,30.0,60.0,5.0,0.17,9.0,6122.58,Y
155.0,59.0,23.0,37.97,71.0,162.0,11.0,0.52,21.0,63876.98,N
40.0,0.0,0.0,53.55,38.0,63.0,11.0,0.17,12.0,4664.41,N
40.0,0.0,6.0,27.28,32.0,62.0,7.0,0.19,13.0,12333.82,N
15.0,0.0,3.0,17.59,10.0,36.0,4.0,0.1,7.0,4887.48,N
8.0,0.0,1.0,19.72,5.0,11.0,1.0,0.02,1.0,219.1,N
24.0,2.0,3.0,21.07,16.0,40.0,7.0,0.09,13.0,3610.26,N
32.0,4.0,3.0,24.16,23.0,57.0,5.0,0.16,9.0,9185.7,N
29.0,9.0,2.0,15.45,16.0,33.0,4.0,0.08,5.0,3533.74,N
104.0,4.0,13.0,139.76,85.0,214.0,24.0,0.73,47.0,34316.89,N
212.0,55.0,34.0,144.02,103.0,384.0,9.0,1.46,17.0,134112.42,N
35.0,0.0,5.0,32.36,28.0,102.0,5.0,0.3,7.0,25064.62,Y
23.0,0.0,0.0,32.38,21.0,40.0,6.0,0.09,7.0,2112.27,N
7.0,0.0,0.0,9.73,5.0,11.0,2.0,0.02,3.0,276.75,N
11.0,0.0,1.0,10.26,6.0,13.0,3.0,0.03,5.0,861.77,N
9.0,0.0,1.0,13.18,6.0,9.0,2.0,0.02,3.0,232.47,N
5.0,0.0,0.0,10.84,3.0,5.0,1.0,0.01,1.0,24.38,N
4.0,0.0,0.0,5.33,2.0,3.0,1.0,0.0,1.0,12.0,N
83.0,6.0,9.0,51.3,66.0,136.0,14.0,0.48,27.0,39951.55,N
19.0,0.0,2.0,16.6,11.0,29.0,2.0,0.06,3.0,2148.39,N
4.0,0.0,0.0,7.75,2.0,4.0,1.0,0.01,1.0,31.02,N
4.0,0.0,0.0,7.74,2.0,3.0,1.0,0.0,1.0,17.41,N
283.0,37.0,33.0,32.84,211.0,385.0,37.0,1.22,71.0,409132.47,N
4.0,0.0,0.0,15.0,2.0,6.0,1.0,0.01,1.0,60.0,Y
17.0,0.0,2.0,20.88,13.0,26.0,2.0,0.06,3.0,1490.74,N
367.0,2.0,30.0,120.77,333.0,646.0,48.0,2.47,95.0,454986.89,Y
12.0,0.0,0.0,17.85,10.0,17.0,4.0,0.03,7.0,507.65,N
100.0,9.0,12.0,90.79,79.0,166.0,15.0,0.64,29.0,41183.72,N
29.0,0.0,2.0,33.2,23.0,69.0,5.0,0.19,9.0,9416.28,Y
6.0,0.0,0.0,35.2,4.0,12.0,1.0,0.03,1.0,261.82,N
17.0,4.0,2.0,22.92,9.0,24.0,4.0,0.06,7.0,1467.19,N
119.0,7.0,18.0,115.83,94.0,265.0,18.0,1.09,35.0,92277.37,N
24.0,0.0,4.0,39.53,18.0,25.0,3.0,0.07,5.0,988.27,N
32.0,0.0,1.0,18.99,29.0,55.0,6.0,0.15,9.0,10552.85,N
26.0,1.0,1.0,36.37,22.0,58.0,5.0,0.18,9.0,7912.5,N
15.0,0.0,2.0,11.06,11.0,16.0,4.0,0.04,7.0,1372.69,N
62.0,9.0,3.0,87.84,48.0,67.0,9.0,0.2,17.0,4264.41,N
35.0,3.0,4.0,32.43,25.0,39.0,4.0,0.12,7.0,3886.32,N
15.0,0.0,0.0,14.0,12.0,46.0,1.0,0.09,1.0,5600.0,N
10.0,0.0,1.0,13.71,6.0,13.0,3.0,0.03,5.0,466.67,N
58.0,2.0,3.0,44.1,49.0,95.0,11.0,0.3,19.0,18774.01,Y
29.0,6.0,2.0,18.55,19.0,29.0,2.0,0.07,3.0,2244.0,Y
123.0,1.0,15.0,134.61,105.0,373.0,2.0,1.49,3.0,147512.6,Y
38.0,3.0,7.0,15.48,22.0,49.0,8.0,0.14,15.0,11809.75,N
4.0,0.0,0.0,7.74,2.0,3.0,1.0,0.0,1.0,17.41,N
22.0,0.0,4.0,11.25,15.0,26.0,4.0,0.05,7.0,2419.98,Y
4.0,0.0,0.0,5.33,2.0,3.0,1.0,0.0,1.0,12.0,N
17.0,0.0,2.0,15.58,13.0,19.0,4.0,0.04,7.0,837.62,N
44.0,2.0,5.0,40.04,34.0,89.0,8.0,0.29,15.0,18716.36,N
4.0,0.0,0.0,5.33,2.0,3.0,1.0,0.0,1.0,12.0,N
20.0,2.0,4.0,18.1,12.0,50.0,7.0,0.12,13.0,6882.19,N
21.0,0.0,3.0,22.71,15.0,23.0,4.0,0.06,7.0,1520.53,N
10.0,0.0,2.0,34.38,6.0,18.0,1.0,0.04,1.0,483.48,N
33.0,0.0,2.0,31.91,28.0,47.0,5.0,0.14,6.0,5227.83,N
4.0,0.0,0.0,5.33,2.0,3.0,1.0,0.0,1.0,12.0,N
4.0,0.0,0.0,7.86,2.0,5.0,1.0,0.01,1.0,49.13,N
61.0,0.0,5.0,38.15,54.0,125.0,14.0,0.42,27.0,41761.46,Y
13.0,2.0,3.0,44.63,6.0,14.0,1.0,0.04,1.0,249.33,Y
7.0,1.0,0.0,5.65,4.0,12.0,1.0,0.02,1.0,564.73,N
25.0,7.0,3.0,12.0,13.0,18.0,2.0,0.04,3.0,1200.0,N
85.0,3.0,10.0,193.93,70.0,172.0,1.0,0.67,1.0,21081.02,N
22.0,0.0,2.0,23.88,18.0,56.0,3.0,0.15,5.0,9000.1,N
18.0,0.0,4.0,25.27,12.0,47.0,2.0,0.11,3.0,4162.24,N
4.0,0.0,0.0,5.8,2.0,4.0,1.0,0.0,1.0,23.22,N
10.0,0.0,1.0,27.38,7.0,19.0,2.0,0.04,3.0,554.35,N
129.0,38.0,20.0,72.07,69.0,126.0,17.0,0.39,33.0,18937.82,Y
4.0,0.0,0.0,7.74,2.0,3.0,1.0,0.0,1.0,17.41,N
139.0,12.0,25.0,56.53,100.0,187.0,15.0,0.63,27.0,62586.87,Y
22.0,0.0,4.0,42.19,16.0,66.0,1.0,0.17,1.0,6135.2,Y
27.0,3.0,2.0,21.25,19.0,46.0,3.0,0.13,5.0,7672.54,N
96.0,9.0,14.0,42.37,70.0,200.0,15.0,0.72,27.0,109857.36,Y
95.0,0.0,10.0,62.1,83.0,160.0,16.0,0.56,31.0,45771.82,N
146.0,23.0,13.0,61.62,93.0,260.0,15.0,0.89,29.0,114716.17,Y
22.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,N
7.0,0.0,0.0,16.73,5.0,12.0,1.0,0.03,1.0,338.78,N
8.0,0.0,0.0,38.84,6.0,23.0,1.0,0.06,1.0,876.27,N
11.0,0.0,0.0,15.5,9.0,10.0,2.0,0.02,3.0,139.52,N
62.0,4.0,8.0,37.63,46.0,97.0,10.0,0.32,19.0,24499.5,N
11.0,0.0,2.0,19.66,7.0,19.0,3.0,0.05,5.0,1004.96,N
4.0,0.0,0.0,4.14,2.0,6.0,1.0,0.01,1.0,103.4,N
7.0,0.0,1.0,12.85,4.0,9.0,1.0,0.01,1.0,157.4,Y
34.0,1.0,8.0,17.59,23.0,72.0,2.0,0.19,3.0,18678.13,Y
25.0,2.0,4.0,61.04,15.0,62.0,3.0,0.2,5.0,5879.93,N
4.0,0.0,0.0,9.6,2.0,5.0,1.0,0.01,1.0,60.0,N
15.0,0.0,1.0,19.59,12.0,35.0,6.0,0.09,11.0,3997.29,N
13.0,0.0,1.0,15.22,10.0,35.0,5.0,0.09,9.0,4715.48,N
25.0,0.0,3.0,23.43,20.0,60.0,6.0,0.16,11.0,9312.12,N
4.0,0.0,0.0,5.33,2.0,3.0,1.0,0.0,1.0,12.0,N
29.0,0.0,2.0,58.66,25.0,68.0,5.0,0.24,9.0,8599.93,Y
31.0,1.0,3.0,27.8,25.0,35.0,4.0,0.1,6.0,3518.46,N
4.0,0.0,0.0,7.74,2.0,3.0,1.0,0.0,1.0,17.41,N
18.0,0.0,3.0,18.25,13.0,18.0,4.0,0.05,7.0,1082.27,N
25.0,0.0,6.0,14.25,17.0,42.0,7.0,0.11,13.0,7962.74,N
21.0,0.0,3.0,26.7,16.0,27.0,3.0,0.08,5.0,2128.73,N
4.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,N
7.0,0.0,1.0,13.45,4.0,8.0,1.0,0.02,1.0,174.36,N
12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,N
46.0,6.0,3.0,25.22,35.0,68.0,11.0,0.2,21.0,14145.41,N
29.0,0.0,5.0,77.33,22.0,66.0,1.0,0.22,1.0,5776.46,N
134.0,35.0,11.0,56.29,85.0,246.0,13.0,0.71,25.0,81406.65,Y
21.0,0.0,4.0,28.52,15.0,33.0,4.0,0.1,7.0,3039.39,N
20.0,4.0,3.0,34.68,9.0,29.0,1.0,0.07,1.0,1300.93,N
20.0,0.0,3.0,21.62,15.0,39.0,5.0,0.11,9.0,4864.96,N
87.0,25.0,8.0,23.26,52.0,104.0,13.0,0.33,25.0,42441.62,N
16.0,1.0,4.0,27.8,8.0,31.0,1.0,0.07,1.0,1679.66,Y
19.0,0.0,2.0,49.11,15.0,33.0,2.0,0.08,3.0,1192.85,Y
29.0,2.0,5.0,31.06,20.0,45.0,6.0,0.14,11.0,5815.79,Y
37.0,6.0,1.0,30.83,28.0,68.0,12.0,0.19,21.0,10526.44,N
11.0,0.0,1.0,22.07,8.0,14.0,2.0,0.03,3.0,328.28,N
23.0,0.0,2.0,21.03,18.0,32.0,4.0,0.08,7.0,3086.88,Y
31.0,0.0,5.0,23.99,21.0,39.0,4.0,0.11,6.0,4372.04,N
16.0,0.0,3.0,14.89,11.0,18.0,3.0,0.03,5.0,729.74,N
62.0,12.0,6.0,46.44,36.0,78.0,7.0,0.26,13.0,13123.81,N
490.0,51.0,64.0,239.78,374.0,965.0,77.0,4.79,153.0,861706.49,Y
17.0,0.0,2.0,20.49,13.0,25.0,3.0,0.06,5.0,1761.72,Y
13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,N
46.0,3.0,9.0,21.78,32.0,86.0,9.0,0.24,17.0,22963.1,N
7.0,0.0,1.0,25.32,4.0,20.0,2.0,0.05,3.0,793.95,N
11.0,3.0,2.0,7.11,4.0,13.0,1.0,0.02,1.0,400.05,N
96.0,30.0,12.0,45.3,52.0,128.0,10.0,0.41,19.0,33458.55,Y
84.0,12.0,9.0,33.18,58.0,189.0,18.0,0.68,35.0,125808.34,N
381.0,68.0,59.0,117.86,247.0,681.0,23.0,2.45,43.0,458427.08,Y
55.0,0.0,8.0,48.7,44.0,96.0,6.0,0.28,11.0,14002.94,N
14.0,0.0,1.0,7.83,11.0,21.0,3.0,0.04,5.0,1534.73,N
32.0,0.0,2.0,43.31,28.0,95.0,12.0,0.32,23.0,21471.02,N
38.0,0.0,5.0,37.46,31.0,102.0,5.0,0.27,9.0,17893.93,N
15.0,0.0,4.0,27.09,9.0,43.0,1.0,0.1,1.0,3278.25,N
10.0,0.0,0.0,15.49,6.0,19.0,2.0,0.04,3.0,758.93,N
11.0,0.0,0.0,16.14,9.0,10.0,2.0,0.02,3.0,197.65,Y
38.0,1.0,10.0,59.97,25.0,80.0,3.0,0.26,5.0,10157.26,Y
706.0,6.0,39.0,114.78,656.0,1918.0,94.0,6.67,163.0,3483952.81,N
89.0,2.0,12.0,25.97,69.0,139.0,14.0,0.43,23.0,65286.0,Y
6.0,0.0,1.0,17.43,3.0,6.0,1.0,0.01,1.0,69.74,N
60.0,5.0,5.0,44.4,36.0,77.0,14.0,0.24,16.0,11252.67,Y
4.0,0.0,0.0,12.68,2.0,6.0,1.0,0.01,1.0,79.25,N
14.0,0.0,2.0,24.72,10.0,41.0,3.0,0.11,5.0,4504.53,N
4.0,0.0,0.0,7.75,2.0,4.0,1.0,0.01,1.0,31.02,N
11.0,0.0,2.0,10.15,7.0,14.0,2.0,0.03,3.0,571.1,N
29.0,1.0,3.0,14.75,22.0,37.0,3.0,0.09,5.0,5269.82,N
572.0,13.0,5.0,113.44,552.0,1093.0,273.0,5.31,274.0,2239582.39,Y
47.0,5.0,6.0,32.65,31.0,76.0,7.0,0.24,13.0,15475.59,N
53.0,4.0,8.0,39.15,34.0,81.0,8.0,0.24,15.0,12773.74,N
15.0,0.0,2.0,31.23,13.0,19.0,2.0,0.05,3.0,756.83,N
4.0,0.0,0.0,7.75,2.0,4.0,1.0,0.01,1.0,31.02,N
13.0,0.0,1.0,26.63,10.0,35.0,1.0,0.1,1.0,3124.78,N
19.0,6.0,5.0,29.24,6.0,17.0,1.0,0.04,1.0,507.65,N
41.0,0.0,7.0,30.81,32.0,70.0,5.0,0.21,9.0,13113.3,Y
25.0,0.0,4.0,29.87,19.0,72.0,4.0,0.19,7.0,11359.14,Y
5.0,0.0,0.0,20.77,3.0,12.0,2.0,0.03,3.0,420.54,N
60.0,10.0,8.0,54.75,39.0,118.0,4.0,0.4,7.0,25656.31,N
41.0,0.0,11.0,22.69,27.0,73.0,3.0,0.17,5.0,11659.44,N
94.0,0.0,16.0,56.62,70.0,196.0,25.0,0.63,49.0,63103.77,N
6.0,0.0,0.0,18.23,4.0,10.0,2.0,0.02,3.0,271.19,N
22.0,0.0,3.0,22.3,17.0,30.0,3.0,0.07,5.0,2229.72,N
25.0,3.0,2.0,13.16,17.0,46.0,6.0,0.12,11.0,9206.27,N
27.0,0.0,1.0,35.33,24.0,50.0,6.0,0.16,11.0,6281.61,N
15.0,0.0,1.0,36.45,12.0,46.0,2.0,0.12,3.0,3330.19,N
16.0,0.0,1.0,30.47,13.0,35.0,4.0,0.09,7.0,2181.75,N
22.0,1.0,2.0,16.32,15.0,26.0,5.0,0.07,9.0,2916.76,N
176.0,22.0,10.0,66.89,139.0,410.0,50.0,1.29,99.0,224338.15,N
133.0,10.0,19.0,163.88,104.0,373.0,17.0,1.48,33.0,120498.47,N
53.0,0.0,5.0,49.37,44.0,116.0,13.0,0.34,25.0,20918.07,N
531.0,162.0,92.0,86.75,275.0,836.0,35.0,2.88,60.0,861278.67,N
4.0,0.0,0.0,12.68,2.0,6.0,1.0,0.01,1.0,79.25,N
61.0,0.0,12.0,62.81,47.0,77.0,11.0,0.24,21.0,8076.86,N
26.0,2.0,3.0,13.51,17.0,34.0,7.0,0.1,13.0,6778.41,N
11.0,4.0,1.0,11.95,4.0,8.0,1.0,0.02,1.0,210.8,N
28.0,1.0,6.0,24.82,16.0,58.0,3.0,0.15,5.0,8160.0,N
4.0,0.0,0.0,19.74,2.0,9.0,1.0,0.02,1.0,177.62,N
4.0,0.0,0.0,13.5,2.0,5.0,1.0,0.01,1.0,54.0,N
32.0,5.0,2.0,20.57,22.0,45.0,10.0,0.11,19.0,5679.8,N
4.0,0.0,0.0,7.74,2.0,3.0,1.0,0.0,1.0,17.41,N
12.0,0.0,2.0,12.69,8.0,13.0,2.0,0.03,3.0,729.6,N
70.0,15.0,9.0,20.9,44.0,86.0,6.0,0.23,11.0,22606.59,N
63.0,5.0,5.0,46.68,50.0,98.0,12.0,0.31,19.0,18164.52,Y
21.0,0.0,0.0,26.57,19.0,33.0,5.0,0.06,6.0,1255.79,N
37.0,1.0,5.0,38.47,29.0,72.0,5.0,0.22,8.0,11166.78,N
19.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,N
15.0,2.0,3.0,13.56,8.0,28.0,3.0,0.06,5.0,2712.83,N
70.0,1.0,11.0,33.64,56.0,102.0,17.0,0.33,33.0,29381.87,N
34.0,0.0,3.0,56.37,29.0,213.0,9.0,0.69,17.0,75426.13,Y
5.0,0.0,0.0,5.33,1.0,3.0,1.0,0.0,1.0,12.0,N
43.0,0.0,7.0,41.96,34.0,71.0,6.0,0.22,11.0,10211.72,N
26.0,7.0,3.0,71.43,13.0,34.0,1.0,0.11,1.0,1618.4,N
19.0,0.0,3.0,15.93,14.0,31.0,4.0,0.06,7.0,2293.88,N
62.0,0.0,14.0,33.77,46.0,143.0,4.0,0.46,7.0,55924.15,N
5.0,0.0,0.0,8.24,3.0,8.0,1.0,0.01,1.0,206.05,N
9.0,0.0,1.0,20.76,5.0,13.0,1.0,0.03,1.0,332.19,N
57.0,3.0,10.0,31.12,42.0,125.0,9.0,0.35,17.0,35790.87,N
62.0,4.0,6.0,55.98,49.0,147.0,16.0,0.43,31.0,30219.93,N
15.0,0.0,3.0,15.08,10.0,21.0,3.0,0.06,5.0,2064.1,N
65.0,19.0,11.0,45.95,33.0,93.0,7.0,0.3,13.0,17840.25,N
11.0,0.0,1.0,11.18,8.0,23.0,2.0,0.05,3.0,1774.99,N
6.0,0.0,0.0,16.98,4.0,8.0,1.0,0.02,1.0,133.14,N
591.0,4.0,129.0,152.95,441.0,1361.0,165.0,4.76,329.0,1334647.45,N
11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,N
8.0,0.0,2.0,11.16,4.0,6.0,1.0,0.01,1.0,108.97,Y
74.0,13.0,14.0,86.3,45.0,124.0,2.0,0.46,3.0,22518.93,Y
11.0,0.0,1.0,11.46,8.0,18.0,2.0,0.03,3.0,948.66,N
36.0,8.0,4.0,45.4,22.0,50.0,4.0,0.16,7.0,5180.68,N
197.0,82.0,25.0,75.07,89.0,339.0,8.0,1.36,15.0,222848.31,Y
12.0,0.0,1.0,17.97,8.0,11.0,3.0,0.02,5.0,220.18,N
23.0,0.0,2.0,21.41,18.0,58.0,4.0,0.15,7.0,8924.96,N
193.0,27.0,9.0,182.84,157.0,620.0,36.0,2.82,71.0,391984.7,Y
16.0,0.0,2.0,25.3,12.0,29.0,3.0,0.09,5.0,2822.18,N
153.0,43.0,15.0,52.17,93.0,223.0,11.0,0.72,21.0,89560.14,Y
4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,N
519.0,7.0,40.0,214.88,470.0,1269.0,29.0,5.99,57.0,1500388.97,N
24.0,0.0,1.0,32.99,21.0,43.0,2.0,0.14,3.0,5003.22,N
5.0,0.0,0.0,17.43,5.0,6.0,1.0,0.01,1.0,69.74,N
28.0,1.0,2.0,38.91,22.0,53.0,5.0,0.16,9.0,5688.33,N
73.0,9.0,23.0,52.0,39.0,114.0,6.0,0.4,11.0,27693.67,N
4.0,0.0,0.0,5.33,2.0,3.0,1.0,0.0,1.0,12.0,N
8.0,0.0,2.0,12.8,4.0,9.0,1.0,0.02,1.0,225.85,N
4.0,0.0,0.0,13.5,2.0,5.0,1.0,0.01,1.0,54.0,N
38.0,3.0,7.0,40.04,26.0,98.0,2.0,0.29,3.0,18795.28,N
61.0,3.0,9.0,74.74,49.0,127.0,12.0,0.44,23.0,23779.12,N
20.0,5.0,5.0,58.0,8.0,17.0,1.0,0.04,1.0,232.0,N
5.0,0.0,1.0,7.75,2.0,4.0,1.0,0.01,1.0,31.02,N
136.0,18.0,20.0,63.32,95.0,226.0,16.0,0.81,31.0,92199.99,N
22.0,1.0,1.0,14.25,17.0,38.0,4.0,0.09,7.0,5448.79,N
18.0,4.0,1.0,15.53,11.0,31.0,3.0,0.07,5.0,3117.77,N
19.0,1.0,3.0,29.14,13.0,25.0,2.0,0.07,3.0,1589.34,N
56.0,8.0,7.0,62.29,39.0,247.0,3.0,0.73,5.0,77889.85,Y
26.0,0.0,5.0,14.67,19.0,37.0,6.0,0.09,11.0,4723.42,N
4.0,0.0,0.0,9.6,2.0,5.0,1.0,0.01,1.0,60.0,N
85.0,16.0,40.0,17.14,25.0,52.0,7.0,0.14,13.0,9758.75,N
9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,N
5.0,0.0,1.0,9.83,2.0,4.0,1.0,0.01,1.0,39.3,N
129.0,11.0,16.0,70.14,85.0,319.0,32.0,1.13,63.0,165213.31,N
4.0,0.0,0.0,5.33,2.0,3.0,1.0,0.0,1.0,12.0,N
8.0,0.0,1.0,10.33,5.0,8.0,2.0,0.02,3.0,209.28,N
84.0,0.0,5.0,44.43,77.0,142.0,16.0,0.5,31.0,51039.72,N
33.0,0.0,1.0,50.48,29.0,68.0,5.0,0.21,9.0,7575.3,N
34.0,2.0,6.0,35.07,24.0,47.0,4.0,0.13,7.0,4504.53,N
39.0,0.0,7.0,14.74,30.0,57.0,5.0,0.13,7.0,10599.21,N
