@relation CustomCM1
@attribute DECISION_COUNT numeric
@attribute CALL_PAIRS numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute PARAMETER_COUNT numeric
@attribute LOC_EXECUTABLE numeric
@attribute DECISION_DENSITY numeric
@attribute HALSTEAD_VOLUME numeric
@attribute LOC_COMMENTS numeric
@attribute HALSTEAD_LEVEL numeric
@attribute NUM_OPERATORS numeric
@attribute Defective {Y,N}

@data
6.0,9.0,11.33,1.0,2.0,2.0,315.0,2.0,0.09,43.0,N
2.0,0.0,6.0,1.0,1.0,2.0,30.0,0.0,0.17,6.0,N
2.0,4.0,12.5,4.0,6.0,2.0,282.03,1.0,0.08,35.0,N
24.0,15.0,42.73,4.0,5.0,2.25,1351.42,10.0,0.02,120.0,N
10.0,13.0,20.43,3.0,3.0,2.2,565.54,0.0,0.05,64.0,N
2.0,2.0,4.67,0.0,1.0,2.0,64.73,0.0,0.21,10.0,N
2.0,3.0,5.79,2.0,1.0,3.0,92.0,0.0,0.17,14.0,N
12.0,6.0,56.37,0.0,7.0,2.0,2218.29,13.0,0.02,214.0,N
2.0,1.0,4.0,2.0,1.0,2.0,44.97,4.0,0.25,10.0,N
8.0,2.0,20.67,1.0,4.0,2.0,346.13,21.0,0.05,41.0,N
2.0,2.0,4.5,3.0,1.0,2.0,76.0,0.0,0.22,12.0,N
10.0,2.0,25.0,2.0,4.0,2.0,348.46,1.0,0.04,46.0,N
2.0,0.0,6.67,3.0,1.0,2.0,55.35,0.0,0.15,11.0,N
2.0,0.0,5.0,2.0,1.0,2.0,30.88,0.0,0.2,7.0,N
2.0,1.0,3.75,1.0,1.0,2.0,43.19,1.0,0.27,8.0,N
2.0,0.0,5.0,2.0,1.0,2.0,25.27,0.0,0.2,5.0,N
2.0,0.0,5.4,3.0,1.0,2.0,58.81,1.0,0.19,8.0,N
2.0,0.0,5.33,1.0,1.0,3.0,48.43,0.0,0.19,10.0,N
2.0,1.0,4.38,1.0,1.0,3.0,48.43,0.0,0.23,9.0,N
2.0,2.0,9.0,0.0,1.0,2.0,183.32,2.0,0.11,21.0,N
2.0,2.0,13.5,1.0,2.0,2.0,83.03,1.0,0.07,18.0,N
8.0,4.0,9.63,2.0,1.0,2.0,179.72,0.0,0.1,24.0,N
2.0,2.0,4.8,1.0,1.0,2.0,59.21,0.0,0.21,10.0,N
4.0,1.0,8.33,1.0,3.0,2.0,100.0,1.0,0.12,15.0,N
2.0,0.0,4.8,0.0,1.0,2.0,66.61,0.0,0.21,12.0,N
4.0,1.0,12.44,4.0,2.0,2.0,171.9,0.0,0.08,22.0,N
6.0,2.0,27.19,2.0,3.0,2.0,284.98,0.0,0.04,34.0,N
4.0,5.0,16.5,2.0,2.0,3.5,254.88,3.0,0.06,36.0,N
2.0,1.0,3.0,0.0,1.0,2.0,28.53,0.0,0.33,6.0,N
4.0,3.0,19.12,1.0,5.0,2.0,569.2,56.0,0.05,66.0,N
2.0,1.0,3.0,1.0,1.0,2.0,28.53,0.0,0.33,6.0,N
6.0,4.0,20.0,1.0,1.0,2.0,247.59,0.0,0.05,30.0,N
20.0,3.0,4.13,2.0,2.0,2.0,421.99,13.0,0.24,53.0,N
2.0,0.0,3.0,2.0,1.0,2.0,24.0,0.0,0.33,6.0,N
4.0,3.0,7.14,1.0,1.0,2.0,102.19,0.0,0.14,15.0,N
6.0,4.0,15.17,0.0,2.0,2.0,214.05,0.0,0.07,27.0,N
2.0,0.0,5.0,2.0,1.0,2.0,30.88,0.0,0.2,7.0,N
4.0,20.0,18.7,0.0,3.0,2.0,1596.12,100.0,0.05,203.0,N
2.0,4.0,4.78,11.0,2.0,2.0,167.18,2.0,0.21,19.0,N
2.0,0.0,6.0,2.0,1.0,3.0,42.0,0.0,0.17,10.0,N
2.0,0.0,3.75,0.0,1.0,2.0,22.46,0.0,0.27,5.0,N
4.0,3.0,16.14,4.0,3.0,2.0,313.82,1.0,0.06,36.0,N
6.0,4.0,10.29,2.0,4.0,2.0,257.62,6.0,0.1,27.0,N
8.0,4.0,20.42,7.0,2.0,2.25,380.74,0.0,0.05,46.0,N
6.0,1.0,8.67,1.0,1.0,2.0,153.73,0.0,0.12,22.0,N
6.0,9.0,11.33,1.0,2.0,2.0,315.0,2.0,0.09,43.0,N
2.0,2.0,4.2,1.0,1.0,2.0,57.36,0.0,0.24,10.0,N
2.0,3.0,5.79,2.0,1.0,3.0,92.0,0.0,0.17,14.0,N
2.0,0.0,6.0,2.0,1.0,3.0,42.0,0.0,0.17,10.0,N
4.0,3.0,5.09,3.0,3.0,2.0,133.44,0.0,0.2,16.0,N
2.0,0.0,3.0,2.0,1.0,2.0,24.0,0.0,0.33,6.0,N
2.0,6.0,5.46,2.0,2.0,2.0,149.28,3.0,0.18,16.0,N
2.0,2.0,10.67,0.0,1.0,2.0,65.73,0.0,0.09,11.0,N
10.0,3.0,20.8,3.0,4.0,2.0,357.36,1.0,0.05,47.0,N
2.0,0.0,3.0,2.0,1.0,2.0,24.0,0.0,0.33,6.0,N
2.0,2.0,4.8,1.0,1.0,2.0,59.21,0.0,0.21,10.0,N
2.0,2.0,4.8,1.0,1.0,2.0,59.21,0.0,0.21,10.0,N
2.0,3.0,3.5,2.0,1.0,2.0,64.73,0.0,0.29,10.0,N
2.0,1.0,5.83,0.0,1.0,2.0,43.19,4.0,0.17,8.0,N
2.0,0.0,15.75,2.0,1.0,2.0,62.27,0.0,0.06,11.0,N
4.0,1.0,12.95,4.0,1.0,2.0,178.62,6.0,0.08,19.0,N
2.0,0.0,4.8,0.0,1.0,2.0,66.61,0.0,0.21,12.0,N
6.0,3.0,27.44,1.0,2.0,2.0,326.9,1.0,0.04,42.0,N
2.0,1.0,10.05,4.0,2.0,2.0,197.15,3.0,0.1,26.0,N
2.0,2.0,5.79,2.0,1.0,3.0,92.0,0.0,0.17,14.0,N
4.0,4.0,17.25,0.0,3.0,2.0,1124.64,8.0,0.06,114.0,N
2.0,0.0,3.0,2.0,1.0,2.0,24.0,0.0,0.33,6.0,N
8.0,1.0,18.7,1.0,3.0,2.0,316.25,0.0,0.05,38.0,N
12.0,4.0,31.88,6.0,2.0,2.0,641.07,1.0,0.03,73.0,N
6.0,4.0,10.83,2.0,1.0,2.0,156.08,1.0,0.09,20.0,N
6.0,9.0,11.33,1.0,2.0,2.0,315.0,2.0,0.09,43.0,N
2.0,3.0,5.79,2.0,1.0,3.0,92.0,0.0,0.17,14.0,N
2.0,0.0,3.0,2.0,1.0,2.0,24.0,0.0,0.33,6.0,N
2.0,1.0,3.0,1.0,1.0,2.0,28.53,0.0,0.33,6.0,N
2.0,1.0,5.71,0.0,1.0,2.0,89.92,2.0,0.18,14.0,N
2.0,0.0,3.33,1.0,1.0,3.0,30.0,0.0,0.3,6.0,N
2.0,0.0,5.0,2.0,1.0,2.0,30.88,0.0,0.2,7.0,N
2.0,4.0,10.67,1.0,1.0,2.0,149.34,12.0,0.09,18.0,N
2.0,1.0,3.0,0.0,1.0,2.0,28.53,0.0,0.33,6.0,N
2.0,3.0,4.0,1.0,2.0,2.0,79.95,0.0,0.25,13.0,N
2.0,1.0,4.0,2.0,1.0,2.0,44.97,4.0,0.25,10.0,N
4.0,2.0,12.86,3.0,1.0,2.0,135.93,0.0,0.08,17.0,N
2.0,0.0,3.75,0.0,1.0,2.0,22.46,0.0,0.27,5.0,N
10.0,9.0,23.0,2.0,6.0,2.2,822.02,6.0,0.04,113.0,N
4.0,2.0,14.3,0.0,2.0,2.0,112.0,0.0,0.07,15.0,N
2.0,2.0,2.5,0.0,2.0,2.0,22.46,4.0,0.4,6.0,N
6.0,5.0,15.3,3.0,1.0,2.0,300.0,4.0,0.07,33.0,N
2.0,2.0,4.2,1.0,1.0,2.0,57.36,0.0,0.24,10.0,N
10.0,13.0,34.27,7.0,4.0,2.2,1791.09,34.0,0.03,190.0,Y
2.0,4.0,6.25,3.0,1.0,2.0,120.93,0.0,0.16,19.0,N
6.0,7.0,15.89,2.0,3.0,2.0,590.73,6.0,0.06,68.0,Y
2.0,0.0,15.75,2.0,1.0,2.0,62.27,0.0,0.06,11.0,N
6.0,3.0,29.8,0.0,3.0,2.0,1910.62,13.0,0.03,180.0,N
2.0,0.0,2.0,1.0,1.0,2.0,25.27,0.0,0.5,6.0,N
284.0,74.0,53.33,0.0,105.0,2.0,16549.5,111.0,0.02,1198.0,N
10.0,4.0,26.07,2.0,4.0,2.2,555.0,0.0,0.04,65.0,N
14.0,4.0,20.46,0.0,3.0,2.0,2369.4,9.0,0.05,240.0,N
6.0,14.0,23.21,2.0,5.0,2.0,666.81,0.0,0.04,79.0,N
2.0,2.0,10.67,0.0,1.0,2.0,65.73,0.0,0.09,11.0,N
2.0,2.0,8.0,1.0,3.0,2.0,58.81,0.0,0.13,11.0,N
2.0,2.0,10.67,0.0,1.0,2.0,65.73,0.0,0.09,11.0,N
10.0,13.0,20.43,3.0,3.0,2.2,565.54,0.0,0.05,64.0,N
8.0,7.0,30.31,5.0,2.0,2.5,856.83,17.0,0.03,94.0,Y
2.0,2.0,10.67,0.0,1.0,2.0,65.73,0.0,0.09,11.0,N
2.0,1.0,10.93,4.0,2.0,2.0,144.0,0.0,0.09,19.0,N
4.0,4.0,17.1,3.0,3.0,2.0,225.95,1.0,0.06,28.0,N
4.0,3.0,12.07,0.0,1.0,2.0,125.34,0.0,0.08,16.0,N
2.0,2.0,4.8,1.0,1.0,2.0,59.21,0.0,0.21,10.0,N
10.0,7.0,24.19,1.0,4.0,2.0,417.09,5.0,0.04,48.0,N
2.0,3.0,9.1,2.0,1.0,3.0,149.28,0.0,0.11,19.0,N
2.0,0.0,5.33,1.0,1.0,3.0,48.43,0.0,0.19,10.0,N
2.0,0.0,5.0,2.0,1.0,2.0,30.88,0.0,0.2,7.0,N
2.0,0.0,5.0,0.0,1.0,2.0,34.87,4.0,0.2,6.0,N
8.0,3.0,30.67,0.0,4.0,2.0,1704.43,4.0,0.03,161.0,N
2.0,2.0,4.67,2.0,1.0,2.0,64.73,0.0,0.21,10.0,N
2.0,0.0,3.0,2.0,1.0,2.0,24.0,0.0,0.33,6.0,N
2.0,2.0,4.67,2.0,1.0,2.0,64.73,0.0,0.21,10.0,N
2.0,1.0,5.33,3.0,1.0,2.0,41.51,0.0,0.19,8.0,N
36.0,18.0,45.59,2.0,17.0,2.06,4262.61,73.0,0.02,369.0,N
2.0,1.0,8.4,4.0,1.0,2.0,138.24,1.0,0.12,17.0,N
2.0,4.0,7.56,1.0,2.0,2.0,127.44,0.0,0.13,19.0,N
6.0,4.0,17.0,4.0,3.0,2.0,314.04,1.0,0.06,38.0,N
6.0,0.0,10.69,4.0,5.0,2.0,175.76,1.0,0.09,24.0,N
2.0,3.0,9.0,2.0,1.0,3.0,101.58,0.0,0.11,17.0,N
2.0,0.0,5.0,2.0,1.0,2.0,25.27,0.0,0.2,5.0,N
2.0,1.0,4.0,2.0,1.0,2.0,44.97,4.0,0.25,10.0,N
2.0,1.0,3.0,0.0,1.0,2.0,24.0,4.0,0.33,6.0,N
4.0,3.0,6.87,0.0,4.0,2.0,189.99,67.0,0.15,27.0,N
2.0,5.0,12.79,1.0,2.0,3.0,365.0,2.0,0.08,44.0,N
6.0,0.0,10.0,0.0,2.0,2.0,158.46,17.0,0.1,22.0,N
4.0,21.0,3.62,0.0,3.0,2.0,434.27,100.0,0.28,54.0,N
6.0,6.0,18.47,5.0,4.0,2.0,580.0,1.0,0.05,62.0,N
2.0,3.0,9.0,3.0,1.0,3.0,105.49,0.0,0.11,15.0,N
2.0,2.0,4.8,1.0,1.0,2.0,59.21,0.0,0.21,10.0,N
2.0,7.0,6.8,1.0,1.0,2.0,175.14,0.0,0.15,25.0,N
6.0,4.0,17.77,1.0,3.0,2.0,375.64,0.0,0.06,46.0,N
2.0,1.0,2.5,1.0,1.0,2.0,28.53,0.0,0.4,5.0,N
2.0,0.0,5.25,0.0,2.0,2.0,77.71,0.0,0.19,12.0,N
2.0,3.0,7.5,3.0,1.0,2.0,93.77,0.0,0.13,14.0,N
4.0,3.0,17.33,1.0,1.0,2.0,173.92,0.0,0.06,26.0,N
2.0,2.0,4.67,2.0,1.0,2.0,64.73,0.0,0.21,10.0,N
2.0,2.0,4.67,2.0,1.0,2.0,64.73,0.0,0.21,10.0,N
2.0,3.0,5.63,3.0,1.0,3.0,98.1,0.0,0.18,14.0,N
6.0,3.0,8.33,2.0,2.0,2.0,144.43,1.0,0.12,19.0,N
6.0,3.0,27.44,1.0,2.0,2.0,326.9,1.0,0.04,42.0,N
2.0,2.0,5.79,2.0,2.0,3.0,96.0,0.0,0.17,15.0,N
2.0,3.0,4.0,1.0,2.0,2.0,79.95,0.0,0.25,13.0,N
2.0,1.0,17.5,1.0,1.0,2.0,175.69,0.0,0.06,26.0,N
8.0,7.0,18.21,4.0,4.0,2.5,587.77,7.0,0.05,67.0,N
2.0,0.0,3.0,2.0,1.0,2.0,24.0,0.0,0.33,6.0,N
6.0,4.0,14.7,2.0,2.0,2.0,210.91,0.0,0.07,25.0,N
2.0,2.0,5.79,2.0,2.0,3.0,96.0,0.0,0.17,15.0,N
4.0,5.0,17.18,3.0,3.0,2.0,247.76,1.0,0.06,30.0,N
4.0,3.0,16.0,1.0,1.0,2.0,220.08,0.0,0.06,32.0,N
2.0,1.0,3.75,0.0,2.0,2.0,46.51,6.0,0.27,9.0,N
18.0,0.0,35.11,7.0,6.0,2.22,1091.0,2.0,0.03,110.0,N
2.0,1.0,3.0,0.0,1.0,2.0,19.65,0.0,0.33,6.0,N
2.0,2.0,11.14,2.0,3.0,2.0,123.19,1.0,0.09,16.0,N
2.0,0.0,5.0,2.0,1.0,2.0,25.27,0.0,0.2,5.0,N
2.0,1.0,6.05,1.0,1.0,2.0,131.77,0.0,0.17,19.0,N
2.0,2.0,6.75,1.0,1.0,2.0,66.61,0.0,0.15,12.0,N
4.0,3.0,17.33,1.0,1.0,2.0,173.92,0.0,0.06,26.0,N
6.0,4.0,15.17,0.0,2.0,2.0,214.05,0.0,0.07,27.0,N
2.0,0.0,4.67,1.0,1.0,3.0,39.86,0.0,0.21,8.0,N
2.0,2.0,4.2,1.0,1.0,2.0,57.36,0.0,0.24,10.0,N
6.0,3.0,26.39,1.0,2.0,2.0,312.48,1.0,0.04,40.0,N
2.0,0.0,15.75,2.0,1.0,2.0,62.27,0.0,0.06,11.0,N
12.0,4.0,31.88,6.0,2.0,2.0,641.07,1.0,0.03,73.0,N
4.0,3.0,9.75,1.0,2.0,2.0,151.27,0.0,0.1,22.0,N
8.0,10.0,25.8,6.0,4.0,2.25,559.93,0.0,0.04,68.0,N
2.0,2.0,3.5,2.0,1.0,2.0,51.81,0.0,0.29,8.0,N
2.0,2.0,4.8,1.0,1.0,2.0,59.21,0.0,0.21,10.0,N
2.0,2.0,4.67,2.0,1.0,2.0,64.73,0.0,0.21,10.0,N
6.0,9.0,5.6,1.0,4.0,2.0,235.23,55.0,0.18,31.0,N
2.0,0.0,5.0,2.0,1.0,2.0,30.88,0.0,0.2,7.0,N
10.0,8.0,22.1,1.0,4.0,2.0,445.0,5.0,0.05,50.0,N
2.0,2.0,5.25,1.0,1.0,2.0,70.32,0.0,0.19,11.0,N
4.0,3.0,17.33,1.0,1.0,2.0,173.92,0.0,0.06,26.0,N
4.0,3.0,5.25,2.0,3.0,2.0,122.62,0.0,0.19,15.0,N
2.0,3.0,9.33,0.0,1.0,2.0,62.27,0.0,0.11,11.0,N
4.0,3.0,16.0,1.0,1.0,2.0,220.08,0.0,0.06,32.0,N
6.0,4.0,17.0,5.0,3.0,2.0,309.13,1.0,0.06,37.0,N
2.0,2.0,4.2,1.0,1.0,2.0,57.36,0.0,0.24,10.0,N
2.0,0.0,51.0,0.0,2.0,2.0,1186.21,17.0,0.02,164.0,N
4.0,3.0,5.25,2.0,3.0,2.0,122.62,0.0,0.19,15.0,N
2.0,0.0,5.0,2.0,1.0,2.0,30.88,0.0,0.2,7.0,N
2.0,0.0,4.0,1.0,1.0,3.0,31.7,0.0,0.25,6.0,N
10.0,8.0,22.1,1.0,4.0,2.0,445.0,5.0,0.05,50.0,N
6.0,5.0,24.56,1.0,3.0,2.0,352.53,1.0,0.04,49.0,N
4.0,1.0,12.95,4.0,1.0,2.0,178.62,6.0,0.08,19.0,N
4.0,0.0,11.0,1.0,1.0,2.0,89.62,4.0,0.09,14.0,N
10.0,2.0,25.0,2.0,4.0,2.0,348.46,1.0,0.04,46.0,N
2.0,2.0,4.8,1.0,1.0,2.0,59.21,0.0,0.21,10.0,N
6.0,9.0,11.33,1.0,2.0,2.0,315.0,2.0,0.09,43.0,N
4.0,3.0,16.0,1.0,1.0,2.0,220.08,0.0,0.06,32.0,N
2.0,2.0,4.67,2.0,1.0,2.0,64.73,0.0,0.21,10.0,N
6.0,8.0,17.19,2.0,1.0,3.33,634.25,10.0,0.06,65.0,Y
6.0,4.0,20.0,1.0,1.0,2.0,247.59,0.0,0.05,30.0,N
2.0,0.0,3.75,0.0,1.0,2.0,22.46,0.0,0.27,5.0,N
6.0,5.0,24.56,1.0,3.0,2.0,352.53,1.0,0.04,49.0,N
2.0,2.0,4.67,2.0,1.0,2.0,64.73,0.0,0.21,10.0,N
2.0,3.0,5.63,3.0,1.0,3.0,98.1,0.0,0.18,14.0,N
2.0,5.0,9.75,2.0,1.0,2.0,144.95,0.0,0.1,21.0,N
2.0,0.0,3.0,2.0,1.0,2.0,24.0,0.0,0.33,6.0,N
2.0,1.0,9.17,0.0,4.0,2.0,76.15,0.0,0.11,15.0,N
6.0,0.0,20.0,2.0,2.0,2.0,114.71,0.0,0.05,19.0,N
2.0,3.0,6.87,3.0,3.0,2.0,112.59,1.0,0.15,16.0,N
4.0,3.0,20.64,1.0,3.0,2.0,210.91,1.0,0.05,29.0,N
6.0,12.0,5.57,4.0,2.0,2.0,289.51,8.0,0.18,33.0,N
4.0,2.0,11.45,3.0,4.0,2.0,199.69,0.0,0.09,25.0,N
2.0,3.0,4.0,1.0,2.0,2.0,79.95,0.0,0.25,13.0,N
2.0,2.0,4.8,1.0,1.0,2.0,59.21,0.0,0.21,10.0,N
2.0,2.0,4.2,1.0,1.0,2.0,57.36,0.0,0.24,10.0,N
8.0,11.0,24.5,1.0,6.0,2.0,530.0,0.0,0.04,57.0,N
2.0,2.0,3.5,1.0,1.0,2.0,46.6,0.0,0.29,8.0,N
6.0,3.0,24.8,2.0,3.0,2.0,324.33,0.0,0.04,38.0,N
2.0,2.0,7.5,0.0,2.0,2.0,97.67,0.0,0.13,15.0,N
2.0,3.0,6.67,3.0,1.0,2.0,87.57,0.0,0.15,13.0,N
4.0,3.0,20.64,1.0,3.0,2.0,210.91,1.0,0.05,29.0,N
8.0,0.0,95.0,3.0,4.0,2.0,2086.15,8.0,0.01,265.0,N
2.0,2.0,6.75,1.0,1.0,2.0,66.61,0.0,0.15,12.0,N
2.0,0.0,11.92,0.0,2.0,2.0,130.8,8.0,0.08,19.0,N
2.0,2.0,4.8,1.0,1.0,2.0,59.21,0.0,0.21,10.0,N
6.0,4.0,17.0,4.0,3.0,2.0,314.04,1.0,0.06,38.0,N
2.0,0.0,5.0,2.0,1.0,2.0,25.27,0.0,0.2,5.0,N
18.0,11.0,36.91,4.0,9.0,2.0,1352.21,8.0,0.03,141.0,N
2.0,2.0,5.79,2.0,1.0,3.0,92.0,0.0,0.17,14.0,N
10.0,8.0,22.1,1.0,4.0,2.0,445.0,5.0,0.05,50.0,N
4.0,3.0,20.64,1.0,3.0,2.0,210.91,1.0,0.05,29.0,N
4.0,5.0,17.18,3.0,3.0,2.0,247.76,1.0,0.06,30.0,N
6.0,3.0,24.8,2.0,3.0,2.0,324.33,0.0,0.04,38.0,N
6.0,1.0,18.6,4.0,3.0,2.0,280.94,3.0,0.05,32.0,N
8.0,8.0,17.65,1.0,1.0,2.25,490.0,2.0,0.06,58.0,N
6.0,3.0,20.53,5.0,4.0,2.0,456.65,1.0,0.05,50.0,N
2.0,1.0,5.0,3.0,1.0,2.0,34.87,0.0,0.2,6.0,N
2.0,1.0,5.6,3.0,1.0,2.0,59.21,0.0,0.18,9.0,N
4.0,8.0,12.57,2.0,3.0,2.0,208.5,3.0,0.08,34.0,N
4.0,4.0,9.33,0.0,1.0,2.0,125.64,0.0,0.11,19.0,N
2.0,0.0,3.75,0.0,1.0,2.0,22.46,0.0,0.27,5.0,N
2.0,2.0,5.33,1.0,1.0,2.0,64.73,0.0,0.19,9.0,N
2.0,2.0,10.67,0.0,1.0,2.0,65.73,0.0,0.09,11.0,N
2.0,1.0,3.5,0.0,1.0,2.0,33.22,0.0,0.29,7.0,N
2.0,5.0,7.0,2.0,2.0,2.0,120.0,7.0,0.14,12.0,N
2.0,1.0,9.17,0.0,4.0,2.0,76.15,0.0,0.11,15.0,N
2.0,2.0,11.14,2.0,3.0,2.0,123.19,1.0,0.09,16.0,N
2.0,1.0,6.67,3.0,1.0,2.0,48.43,0.0,0.15,9.0,N
6.0,4.0,20.0,1.0,1.0,2.0,247.59,0.0,0.05,30.0,N
2.0,1.0,5.33,3.0,2.0,2.0,64.73,0.0,0.19,9.0,N
2.0,3.0,6.67,3.0,1.0,2.0,87.57,0.0,0.15,13.0,N
2.0,0.0,5.0,2.0,1.0,2.0,30.88,0.0,0.2,7.0,N
12.0,4.0,31.88,6.0,2.0,2.0,641.07,1.0,0.03,73.0,N
10.0,8.0,22.1,1.0,4.0,2.0,445.0,5.0,0.05,50.0,N
4.0,2.0,11.0,2.0,1.0,2.0,118.54,0.0,0.09,17.0,N
4.0,3.0,20.64,1.0,3.0,2.0,210.91,1.0,0.05,29.0,N
2.0,0.0,3.0,2.0,1.0,2.0,24.0,0.0,0.33,6.0,N
2.0,0.0,3.0,2.0,1.0,2.0,24.0,0.0,0.33,6.0,N
2.0,2.0,11.14,2.0,3.0,2.0,123.19,1.0,0.09,16.0,N
2.0,1.0,6.67,1.0,1.0,3.0,76.0,0.0,0.15,11.0,N
6.0,12.0,5.6,5.0,2.0,2.0,333.4,6.0,0.18,37.0,N
2.0,2.0,4.2,1.0,1.0,2.0,57.36,0.0,0.24,10.0,N
14.0,1.0,65.83,1.0,1.0,2.0,806.95,2.0,0.02,97.0,N
2.0,0.0,5.0,0.0,1.0,2.0,34.87,4.0,0.2,6.0,N
2.0,0.0,2.5,3.0,1.0,2.0,19.65,0.0,0.4,5.0,N
38.0,12.0,57.44,3.0,19.0,2.63,4160.31,18.0,0.02,354.0,N
4.0,0.0,9.0,1.0,4.0,2.0,163.5,25.0,0.11,24.0,N
4.0,3.0,17.33,1.0,1.0,2.0,173.92,0.0,0.06,26.0,N
2.0,1.0,13.5,3.0,2.0,2.0,96.21,0.0,0.07,14.0,N
2.0,3.0,5.25,1.0,2.0,2.0,78.14,0.0,0.19,13.0,N
2.0,2.0,4.8,1.0,1.0,2.0,59.21,0.0,0.21,10.0,N
2.0,0.0,5.0,2.0,1.0,2.0,30.88,0.0,0.2,7.0,N
2.0,2.0,18.15,5.0,2.0,2.0,294.29,2.0,0.06,34.0,N
2.0,2.0,4.67,2.0,1.0,2.0,64.73,0.0,0.21,10.0,N
2.0,2.0,3.33,1.0,1.0,2.0,30.0,0.0,0.3,6.0,N
6.0,5.0,23.25,2.0,3.0,2.0,343.48,0.0,0.04,39.0,N
2.0,2.0,4.67,2.0,1.0,2.0,64.73,0.0,0.21,10.0,N
2.0,3.0,4.67,1.0,2.0,2.0,77.71,0.0,0.21,13.0,N
2.0,0.0,3.0,2.0,1.0,2.0,24.0,0.0,0.33,6.0,N
2.0,2.0,10.67,0.0,1.0,2.0,65.73,0.0,0.09,11.0,N
2.0,2.0,10.67,0.0,1.0,2.0,65.73,0.0,0.09,11.0,N
2.0,1.0,4.0,2.0,1.0,2.0,44.97,0.0,0.25,10.0,N
2.0,4.0,11.44,4.0,2.0,2.0,1208.3,6.0,0.09,127.0,N
2.0,2.0,10.67,0.0,1.0,2.0,65.73,0.0,0.09,11.0,N
6.0,3.0,26.39,1.0,2.0,2.0,312.48,1.0,0.04,40.0,N
2.0,2.0,4.67,2.0,1.0,2.0,64.73,0.0,0.21,10.0,N
4.0,3.0,13.75,1.0,4.0,2.0,348.29,0.0,0.07,40.0,N
2.0,4.0,22.13,0.0,1.0,2.0,579.79,40.0,0.05,73.0,N
2.0,4.0,11.11,2.0,3.0,2.0,208.15,0.0,0.09,29.0,N
2.0,1.0,4.38,1.0,1.0,3.0,48.43,0.0,0.23,9.0,N
6.0,3.0,27.44,1.0,2.0,2.0,326.9,1.0,0.04,42.0,N
2.0,1.0,4.38,1.0,1.0,2.0,51.89,5.0,0.23,10.0,N
4.0,3.0,17.33,1.0,1.0,2.0,173.92,0.0,0.06,26.0,N
2.0,2.0,4.8,1.0,1.0,2.0,59.21,0.0,0.21,10.0,N
4.0,3.0,5.25,2.0,3.0,2.0,122.62,0.0,0.19,15.0,N
2.0,0.0,4.8,0.0,1.0,2.0,66.61,0.0,0.21,12.0,N
2.0,1.0,4.0,2.0,1.0,2.0,44.97,0.0,0.25,10.0,N
4.0,4.0,17.1,3.0,3.0,2.0,225.95,1.0,0.06,28.0,N
4.0,2.0,15.0,1.0,1.0,3.0,118.03,0.0,0.07,19.0,N
4.0,10.0,23.93,7.0,2.0,2.0,916.91,18.0,0.04,98.0,Y
10.0,2.0,24.5,2.0,4.0,2.0,446.54,3.0,0.04,46.0,N
2.0,0.0,5.0,2.0,1.0,2.0,25.27,0.0,0.2,5.0,N
6.0,5.0,21.0,3.0,2.0,2.0,641.69,12.0,0.05,63.0,N
12.0,7.0,34.11,8.0,7.0,2.17,980.43,0.0,0.03,104.0,N
2.0,1.0,3.0,0.0,1.0,2.0,19.65,0.0,0.33,6.0,N
4.0,3.0,23.14,2.0,3.0,2.0,204.33,1.0,0.04,26.0,N
2.0,5.0,10.13,3.0,3.0,2.0,151.24,0.0,0.1,19.0,N
2.0,0.0,5.83,1.0,1.0,2.0,56.47,0.0,0.17,12.0,N
4.0,3.0,17.33,1.0,1.0,2.0,173.92,0.0,0.06,26.0,N
2.0,2.0,4.67,2.0,1.0,2.0,64.73,0.0,0.21,10.0,N
2.0,3.0,5.63,3.0,1.0,3.0,98.1,0.0,0.18,14.0,N
6.0,4.0,17.0,5.0,3.0,2.0,309.13,1.0,0.06,37.0,N
4.0,3.0,10.67,1.0,1.0,2.0,175.69,3.0,0.09,24.0,N
4.0,0.0,14.67,4.0,3.0,2.0,210.83,1.0,0.07,26.0,N
2.0,0.0,3.0,2.0,1.0,2.0,24.0,0.0,0.33,6.0,N
4.0,3.0,6.73,0.0,3.0,2.0,280.93,8.0,0.15,40.0,Y
12.0,4.0,31.88,6.0,2.0,2.0,641.07,1.0,0.03,73.0,N
2.0,2.0,4.67,2.0,1.0,2.0,64.73,0.0,0.21,10.0,N
2.0,0.0,3.0,2.0,1.0,2.0,24.0,0.0,0.33,6.0,N
6.0,4.0,20.0,1.0,1.0,2.0,247.59,0.0,0.05,30.0,N
12.0,4.0,34.89,2.0,7.0,2.0,946.1,16.0,0.03,105.0,N
6.0,4.0,17.0,5.0,3.0,2.0,309.13,1.0,0.06,37.0,N
2.0,2.0,7.2,1.0,1.0,2.0,85.11,0.0,0.14,14.0,N
2.0,1.0,6.0,3.0,1.0,2.0,57.36,0.0,0.17,10.0,N
4.0,3.0,23.14,2.0,3.0,2.0,204.33,1.0,0.04,26.0,N
2.0,0.0,5.0,2.0,1.0,2.0,30.88,0.0,0.2,7.0,N
2.0,2.0,5.79,2.0,1.0,3.0,92.0,0.0,0.17,14.0,N
6.0,0.0,7.0,3.0,1.0,2.0,56.47,0.0,0.14,11.0,N
2.0,1.0,12.6,4.0,2.0,2.0,114.22,0.0,0.08,16.0,N
