@relation SelectedFeatures
@attribute LOC_BLANK numeric
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DECISION_DENSITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute DESIGN_DENSITY numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute PARAMETER_COUNT numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_VOLUME numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute PERCENT_COMMENTS numeric
@attribute Defective {Y,N}

@data
1.0,0.0,0.0,0.0,0.29,2.0,1.0,0.5,0.0,1.0,8.79,105.49,0.5,10.0,0.0,N
1.0,0.0,0.0,0.0,0.33,2.0,1.0,0.33,0.0,1.0,12.09,170.97,0.33,11.0,0.0,N
1.0,0.0,0.0,0.0,0.27,2.0,1.0,0.33,0.0,2.0,14.67,215.22,0.33,12.0,0.0,N
1.0,0.0,0.0,0.0,0.29,2.0,1.0,0.5,0.0,1.0,8.79,105.49,0.5,10.0,0.0,N
1.0,0.0,0.0,0.0,0.33,2.0,1.0,0.33,0.0,1.0,12.09,170.97,0.33,11.0,0.0,N
1.0,0.0,0.0,0.0,0.27,2.0,1.0,0.33,0.0,2.0,14.67,215.22,0.33,12.0,0.0,N
40.0,4.0,25.0,13.0,0.08,2.0,4.0,0.67,0.8,1.0,71.01,1758.75,0.83,25.0,44.19,N
2.0,2.0,0.0,2.0,0.29,2.0,2.0,1.0,0.0,0.0,16.52,102.19,0.5,9.0,22.22,N
2.0,2.0,0.0,2.0,0.29,2.0,2.0,1.0,0.0,0.0,16.52,102.19,0.5,9.0,22.22,N
2.0,2.0,0.0,2.0,0.29,2.0,2.0,1.0,0.0,0.0,16.52,102.19,0.5,9.0,22.22,N
2.0,2.0,0.0,2.0,0.29,2.0,2.0,1.0,0.0,0.0,16.52,102.19,0.5,9.0,22.22,N
2.0,2.0,0.0,2.0,0.29,2.0,2.0,1.0,0.0,0.0,16.52,102.19,0.5,9.0,22.22,N
2.0,2.0,0.0,2.0,0.29,2.0,2.0,1.0,0.0,0.0,16.52,102.19,0.5,9.0,22.22,N
2.0,2.0,0.0,2.0,0.29,2.0,2.0,1.0,0.0,0.0,16.52,102.19,0.5,9.0,22.22,N
8.0,0.0,2.0,14.0,0.24,2.5,1.0,0.25,0.67,0.0,17.03,249.98,0.75,17.0,51.61,N
2.0,0.0,0.0,8.0,0.22,2.0,1.0,0.5,0.0,0.0,11.86,51.89,0.5,7.0,47.06,N
4.0,0.0,0.0,10.0,0.25,2.0,1.0,0.5,0.0,0.0,11.07,48.43,0.5,7.0,55.56,N
3.0,0.0,0.0,5.0,0.25,2.0,1.0,0.5,0.0,0.0,17.16,106.2,0.5,11.0,38.46,N
4.0,0.0,0.0,10.0,0.25,2.0,1.0,0.5,0.0,0.0,11.07,48.43,0.5,7.0,55.56,N
3.0,2.0,0.0,2.0,0.22,2.0,2.0,1.0,0.0,0.0,19.71,108.42,0.5,9.0,18.18,N
13.0,3.0,4.0,19.0,0.18,2.0,2.0,0.67,0.0,0.0,22.53,313.82,0.33,13.0,63.89,N
9.0,4.0,0.0,0.0,0.38,2.0,8.0,0.89,0.0,0.0,30.54,355.74,0.11,11.0,0.0,N
16.0,3.0,0.0,15.0,0.16,2.0,3.0,0.75,0.0,0.0,21.39,480.56,0.25,17.0,37.5,N
82.0,12.0,6.0,100.0,0.13,2.06,17.0,0.74,0.64,5.0,140.31,5219.89,0.65,38.0,37.59,N
22.0,4.0,9.0,31.0,0.1,2.0,3.0,0.75,0.0,6.0,45.51,744.63,0.25,20.0,55.56,N
9.0,5.0,0.0,12.0,0.11,2.0,2.0,1.0,0.0,1.0,35.45,364.66,0.5,16.0,40.0,N
12.0,1.0,3.0,4.0,0.18,2.0,2.0,0.67,1.0,0.0,15.83,218.72,1.0,16.0,33.33,N
14.0,4.0,4.0,21.0,0.12,2.5,3.0,0.75,0.67,2.0,39.73,768.92,0.75,24.0,46.3,N
38.0,4.0,5.0,70.0,0.17,2.42,7.0,0.39,0.71,2.0,58.36,2414.97,0.72,32.0,41.9,N
39.0,10.0,4.0,58.0,0.17,2.22,7.0,0.58,0.36,5.0,52.05,1130.3,0.42,24.0,47.69,N
19.0,3.0,4.0,16.0,0.16,2.0,4.0,1.0,0.0,0.0,31.79,567.78,0.25,19.0,48.78,N
25.0,7.0,6.0,39.0,0.1,2.0,7.0,0.88,0.0,6.0,90.85,1993.0,0.13,26.0,38.79,Y
27.0,2.0,1.0,19.0,0.09,2.0,2.0,1.0,0.0,1.0,37.27,575.06,0.5,12.0,47.62,Y
1.0,1.0,0.0,0.0,0.2,2.0,2.0,1.0,0.0,0.0,10.75,75.28,0.5,8.0,0.0,N
34.0,9.0,5.0,26.0,0.13,2.14,7.0,0.78,0.38,5.0,76.03,2203.49,0.44,26.0,31.96,N
9.0,1.0,0.0,17.0,0.23,3.0,3.0,0.6,1.0,2.0,35.13,440.83,1.0,17.0,43.59,Y
32.0,13.0,16.0,23.0,0.09,2.0,7.0,1.0,0.0,9.0,104.75,2318.71,0.14,26.0,39.8,Y
13.0,2.0,9.0,7.0,0.11,2.0,3.0,1.0,0.0,0.0,37.6,366.61,0.33,13.0,45.71,N
3.0,2.0,0.0,0.0,0.11,2.0,1.0,0.5,0.0,2.0,24.71,261.33,0.5,11.0,0.0,N
6.0,1.0,1.0,6.0,0.18,2.0,1.0,0.5,0.0,1.0,16.21,87.57,0.5,9.0,41.18,N
3.0,0.0,0.0,0.0,0.13,2.0,1.0,0.5,0.0,2.0,18.54,178.41,0.5,11.0,0.0,N
30.0,19.0,4.0,62.0,0.26,4.0,19.0,0.79,0.35,3.0,54.69,2603.24,0.38,34.0,42.58,Y
6.0,3.0,4.0,15.0,0.14,2.0,2.0,1.0,0.0,3.0,16.21,171.3,0.5,13.0,65.51,N
13.0,3.0,3.0,24.0,0.11,2.0,4.0,1.0,0.0,1.0,34.91,648.26,0.25,19.0,45.76,Y
31.0,5.0,7.0,28.0,0.14,2.43,9.0,0.82,1.0,1.0,61.92,2274.9,1.0,32.0,32.11,Y
12.0,5.0,1.0,16.0,0.13,2.0,6.0,1.0,0.0,3.0,46.89,886.6,0.17,24.0,27.87,N
0.0,0.0,0.0,0.0,0.13,2.0,1.0,0.5,0.0,2.0,42.88,294.8,0.5,11.0,0.0,N
51.0,10.0,9.0,73.0,0.16,2.21,10.0,0.56,0.47,1.0,51.85,3366.16,0.5,37.0,43.39,Y
2.0,1.0,2.0,0.0,0.14,2.0,2.0,1.0,0.0,2.0,20.76,51.89,0.5,5.0,14.29,N
4.0,1.0,4.0,0.0,0.14,2.0,3.0,1.0,0.0,2.0,34.27,95.18,0.33,5.0,19.05,N
0.0,0.0,0.0,0.0,0.24,2.0,1.0,0.25,0.67,2.0,10.6,107.31,0.75,9.0,0.0,N
3.0,0.0,0.0,0.0,0.4,2.67,1.0,0.17,0.6,2.0,7.45,229.39,0.67,14.0,0.0,N
3.0,0.0,0.0,0.0,0.14,2.0,1.0,0.5,0.0,2.0,11.85,106.61,0.5,9.0,0.0,N
2.0,0.0,0.0,0.0,0.2,2.0,1.0,0.5,0.0,1.0,6.92,55.35,0.5,8.0,0.0,N
25.0,6.0,6.0,15.0,0.17,2.33,9.0,0.69,0.5,1.0,80.81,2149.51,0.54,22.0,23.08,N
5.0,3.0,3.0,2.0,0.15,2.0,4.0,1.0,0.0,2.0,26.32,421.11,0.25,16.0,17.24,N
15.0,1.0,7.0,9.0,0.16,2.0,2.0,0.67,0.0,1.0,28.99,525.14,0.33,14.0,57.14,N
6.0,0.0,2.0,2.0,0.18,2.0,1.0,0.5,0.0,1.0,13.77,185.84,0.5,12.0,30.77,N
5.0,0.0,2.0,2.0,0.18,2.0,1.0,0.5,0.0,2.0,13.64,232.79,0.5,13.0,30.77,N
10.0,0.0,15.0,2.0,0.3,2.2,1.0,0.14,0.0,4.0,21.3,347.83,0.14,14.0,68.0,N
14.0,4.0,1.0,9.0,0.15,2.0,3.0,1.0,0.0,1.0,35.6,360.0,0.33,14.0,34.48,N
35.0,9.0,28.0,17.0,0.15,2.36,11.0,0.69,0.6,5.0,108.35,3670.05,0.63,32.0,37.19,N
6.0,1.0,7.0,2.0,0.2,2.0,2.0,0.67,0.0,0.0,17.71,188.87,0.33,12.0,52.94,N
17.0,4.0,8.0,19.0,0.14,2.0,4.0,0.8,0.0,0.0,42.9,888.01,0.2,23.0,50.0,N
16.0,1.0,10.0,7.0,0.1,2.0,2.0,0.67,0.0,1.0,37.71,1138.69,0.33,19.0,45.95,N
11.0,1.0,14.0,5.0,0.15,2.0,2.0,0.33,0.0,1.0,48.56,1627.38,0.17,20.0,41.3,N
81.0,8.0,80.0,165.0,0.19,2.1,63.0,0.66,0.27,3.0,131.72,16670.05,0.28,72.0,36.68,N
20.0,2.0,2.0,2.0,0.33,2.0,3.0,0.75,0.0,1.0,19.23,109.39,0.25,7.0,28.57,N
115.0,3.0,35.0,12.0,0.19,2.0,3.0,0.19,0.6,1.0,83.81,2602.9,0.63,24.0,48.96,N
156.0,5.0,53.0,27.0,0.23,2.15,10.0,0.31,0.35,1.0,78.34,4031.99,0.38,32.0,48.48,N
48.0,11.0,61.0,32.0,0.13,2.12,22.0,0.76,0.93,3.0,204.29,8523.85,0.93,31.0,36.05,N
17.0,5.0,6.0,8.0,0.16,2.11,10.0,0.91,0.6,3.0,87.92,1512.25,0.64,18.0,18.67,N
74.0,10.0,30.0,18.0,0.13,2.1,10.0,0.83,0.18,3.0,85.71,3276.5,0.25,29.0,43.24,N
33.0,4.0,8.0,4.0,0.13,2.0,3.0,1.0,0.0,3.0,28.18,427.18,0.33,18.0,42.86,N
4.0,1.0,3.0,0.0,0.18,2.0,4.0,1.0,0.0,2.0,40.01,731.56,0.25,16.0,13.64,N
4.0,1.0,3.0,0.0,0.21,2.0,6.0,1.0,0.0,2.0,42.36,1005.29,0.17,16.0,10.71,N
1.0,1.0,1.0,0.0,0.14,2.0,5.0,1.0,0.0,1.0,110.24,1114.08,0.2,10.0,2.78,N
5.0,1.0,2.0,0.0,0.19,2.0,4.0,0.8,0.0,1.0,27.4,552.36,0.2,21.0,7.41,N
2.0,2.0,1.0,0.0,0.16,2.0,5.0,1.0,0.0,1.0,78.0,1061.18,0.2,11.0,3.23,N
1.0,1.0,1.0,0.0,0.11,2.0,2.0,1.0,0.0,1.0,54.5,505.41,0.5,8.0,5.56,N
1.0,1.0,1.0,0.0,0.25,2.0,4.0,1.0,0.0,1.0,20.45,267.19,0.25,14.0,6.25,N
1.0,1.0,1.0,0.0,0.26,2.0,13.0,1.0,0.0,1.0,35.91,773.25,0.08,26.0,2.0,N
1.0,1.0,1.0,0.0,0.26,2.0,14.0,1.0,0.0,1.0,36.57,842.16,0.07,27.0,1.89,N
4.0,2.0,1.0,0.0,0.16,2.0,7.0,1.0,0.0,1.0,160.8,1633.09,0.14,10.0,2.33,N
16.0,5.0,5.0,8.0,0.19,2.33,10.0,0.77,0.67,3.0,84.92,1595.93,0.69,19.0,17.33,N
40.0,10.0,30.0,19.0,0.14,2.09,10.0,0.77,0.17,3.0,83.84,3492.33,0.23,31.0,42.98,N
77.0,9.0,25.0,15.0,0.17,2.07,11.0,0.65,0.5,3.0,88.15,3177.29,0.53,31.0,34.78,N
4.0,1.0,4.0,0.0,0.14,2.0,1.0,0.5,0.0,0.0,23.58,294.8,0.5,15.0,28.57,N
4.0,1.0,2.0,6.0,0.25,2.0,2.0,1.0,0.0,0.0,17.91,112.59,0.5,11.0,57.14,N
4.0,1.0,2.0,6.0,0.25,2.0,2.0,1.0,0.0,0.0,17.91,112.59,0.5,11.0,57.14,N
7.0,1.0,0.0,7.0,0.13,2.0,1.0,0.5,0.0,1.0,17.24,183.4,0.5,13.0,31.82,N
3.0,1.0,2.0,5.0,0.18,2.0,1.0,0.5,0.0,1.0,17.13,171.3,0.5,12.0,43.75,N
27.0,4.0,4.0,33.0,0.24,3.0,4.0,0.4,0.33,3.0,32.0,835.34,0.4,29.0,49.33,N
6.0,0.0,2.0,2.0,0.38,2.67,1.0,0.17,0.8,2.0,15.76,277.33,0.83,16.0,22.22,N
20.0,2.0,7.0,14.0,0.24,2.2,2.0,0.15,0.17,2.0,30.99,863.23,0.23,26.0,30.88,N
4.0,0.0,0.0,1.0,0.18,2.0,1.0,0.5,0.0,2.0,20.51,125.34,0.5,11.0,8.33,N
5.0,0.0,0.0,2.0,0.18,2.0,1.0,0.5,0.0,2.0,19.8,121.01,0.5,11.0,15.38,N
3.0,1.0,1.0,2.0,0.17,2.0,1.0,0.5,0.0,1.0,14.83,142.7,0.5,14.0,21.43,N
7.0,1.0,3.0,7.0,0.17,2.0,4.0,1.0,1.0,1.0,46.9,492.41,1.0,15.0,32.25,N
12.0,3.0,2.0,22.0,0.14,2.0,1.0,0.33,0.0,2.0,45.57,439.44,0.33,15.0,55.81,Y
7.0,1.0,1.0,5.0,0.17,2.0,4.0,1.0,1.0,1.0,46.9,492.41,1.0,15.0,20.69,N
14.0,1.0,3.0,34.0,0.14,2.0,3.0,1.0,0.0,2.0,31.39,297.25,0.33,14.0,67.27,Y
10.0,2.0,3.0,11.0,0.12,2.0,3.0,1.0,0.0,2.0,39.66,439.53,0.33,19.0,38.89,Y
8.0,2.0,2.0,19.0,0.14,2.0,3.0,1.0,0.0,1.0,31.51,330.88,0.33,18.0,51.22,Y
0.0,2.0,2.0,0.0,0.2,2.0,3.0,1.0,0.0,2.0,22.4,164.23,0.33,11.0,13.33,Y
0.0,2.0,0.0,0.0,0.23,2.0,3.0,1.0,0.0,1.0,33.1,240.44,0.33,13.0,0.0,N
0.0,2.0,0.0,0.0,0.14,2.0,3.0,1.0,0.0,1.0,34.57,377.85,0.33,17.0,0.0,N
10.0,6.0,2.0,31.0,0.17,2.17,7.0,0.88,0.43,1.0,74.36,971.26,0.5,20.0,42.86,Y
4.0,5.0,4.0,18.0,0.19,2.13,16.0,0.89,0.35,2.0,195.05,4176.06,0.39,22.0,19.47,Y
0.0,2.0,0.0,0.0,0.14,2.0,3.0,1.0,0.0,1.0,36.48,380.55,0.33,17.0,0.0,N
0.0,3.0,0.0,0.0,0.18,2.5,3.0,0.75,1.0,1.0,41.71,531.77,1.0,17.0,0.0,N
2.0,2.0,1.0,9.0,0.19,2.4,6.0,0.75,0.71,4.0,75.22,1113.43,0.75,19.0,19.61,N
2.0,2.0,2.0,13.0,0.06,2.0,3.0,1.0,0.0,1.0,55.85,1563.78,0.33,23.0,24.19,Y
5.0,1.0,0.0,0.0,0.18,2.5,2.0,0.5,0.67,0.0,21.05,310.91,0.75,16.0,0.0,N
4.0,2.0,1.0,7.0,0.16,2.5,3.0,0.75,0.67,1.0,30.72,587.63,0.75,22.0,25.0,Y
35.0,9.0,9.0,59.0,0.12,2.25,10.0,0.91,0.2,3.0,70.59,3155.83,0.27,32.0,45.33,Y
4.0,2.0,1.0,12.0,0.18,2.0,1.0,0.5,0.0,1.0,23.14,150.41,0.5,13.0,56.52,Y
0.0,3.0,2.0,7.0,0.2,2.25,5.0,0.83,0.8,1.0,33.22,528.45,0.83,20.0,24.32,Y
14.0,2.0,5.0,1.0,0.15,2.0,5.0,1.0,0.75,2.0,18.72,403.21,0.8,16.0,17.65,N
5.0,1.0,0.0,0.0,0.2,2.0,2.0,1.0,0.0,1.0,10.42,70.31,0.5,9.0,0.0,N
12.0,2.0,0.0,0.0,0.2,2.0,9.0,0.9,1.0,2.0,65.44,733.36,1.0,13.0,0.0,N
8.0,6.0,1.0,0.0,0.33,2.29,8.0,0.8,1.0,2.0,31.33,640.3,1.0,20.0,3.33,N
12.0,2.0,0.0,0.0,0.2,2.0,9.0,0.9,1.0,2.0,74.62,757.88,1.0,13.0,0.0,N
7.0,1.0,2.0,0.0,0.13,2.0,2.0,0.67,0.0,2.0,55.95,405.0,0.33,9.0,8.33,N
5.0,3.0,2.0,3.0,0.3,2.25,5.0,0.83,0.6,1.0,26.39,318.58,0.67,13.0,21.74,N
3.0,1.0,0.0,0.0,0.25,2.0,2.0,0.67,0.0,2.0,15.22,182.66,0.33,12.0,0.0,N
17.0,4.0,1.0,8.0,0.26,2.25,5.0,0.45,0.6,5.0,42.16,1514.78,0.64,33.0,18.0,N
16.0,6.0,0.0,5.0,0.12,2.0,6.0,0.86,0.0,4.0,95.6,3002.24,0.14,26.0,7.81,N
11.0,6.0,0.0,4.0,0.12,2.0,5.0,1.0,0.0,1.0,66.6,1234.54,0.2,19.0,8.7,N
1.0,0.0,0.0,0.0,0.22,2.0,1.0,0.5,0.0,2.0,14.83,51.89,0.5,7.0,0.0,N
10.0,6.0,1.0,16.0,0.18,2.0,5.0,0.71,0.0,5.0,29.5,1069.55,0.14,29.0,30.36,N
