@relation SelectedFeatures
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute DECISION_COUNT numeric
@attribute DECISION_DENSITY numeric
@attribute DESIGN_DENSITY numeric
@attribute PARAMETER_COUNT numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute PERCENT_COMMENTS numeric
@attribute Defective {Y,N}

@data
6.0,0.0,0.0,2.0,2.0,1.0,0.0,36.22,9.03,2951.88,163.99,0.19,0.0,N
7.0,0.0,3.0,10.0,2.2,1.0,1.0,93.84,6.44,3890.76,216.15,0.15,7.14,N
2.0,0.0,0.0,4.0,2.0,1.0,0.0,22.48,8.33,1560.8,86.71,0.18,0.0,N
2.0,0.0,0.0,10.0,2.4,0.55,0.0,37.25,32.25,38746.22,2152.57,0.18,0.0,N
5.0,0.0,4.0,2.0,2.0,1.0,1.0,52.8,13.84,10117.34,562.07,0.11,9.76,N
1.0,0.0,0.0,2.0,2.0,1.0,1.0,10.38,12.07,1512.98,84.05,0.18,0.0,N
4.0,1.0,25.0,26.0,2.0,0.57,1.0,59.32,36.56,79271.67,4403.98,0.08,19.12,N
0.0,0.0,2.0,4.0,2.0,0.33,2.0,27.78,4.67,605.07,33.61,0.17,14.29,N
0.0,0.0,2.0,4.0,2.0,0.33,2.0,27.78,4.67,605.07,33.61,0.17,14.29,N
0.0,0.0,7.0,4.0,2.5,0.25,1.0,20.31,10.77,2355.5,130.86,0.15,33.33,N
2.0,0.0,9.0,2.0,2.0,1.0,3.0,13.59,10.67,1546.1,85.89,0.09,50.0,N
1.0,0.0,2.0,2.0,2.0,1.0,1.0,10.24,4.9,245.93,13.66,0.2,28.57,N
3.0,0.0,3.0,2.0,2.0,0.33,0.0,28.09,21.86,13420.45,745.58,0.21,12.5,N
14.0,0.0,5.0,10.0,2.0,1.0,2.0,138.63,8.18,9298.52,516.58,0.1,8.77,N
6.0,0.0,2.0,2.0,2.0,1.0,0.0,35.47,12.24,5313.4,295.19,0.12,6.9,N
4.0,0.0,8.0,10.0,2.0,0.83,1.0,40.77,26.33,28263.16,1570.18,0.11,17.78,N
2.0,0.0,0.0,10.0,2.0,1.0,2.0,40.18,6.59,1743.9,96.88,0.33,0.0,N
0.0,0.0,3.0,2.0,2.0,0.5,1.0,14.09,9.29,1214.56,67.48,0.13,27.27,N
0.0,0.0,4.0,2.0,2.0,0.5,3.0,13.02,7.5,732.54,40.7,0.12,30.77,N
4.0,0.0,1.0,2.0,2.0,1.0,3.0,30.55,7.09,1536.14,85.34,0.13,8.33,N
