@relation SelectedFeatures

@attribute LOC_BLANK numeric
@attribute CALL_PAIRS numeric
@attribute LOC_COMMENTS numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DESIGN_DENSITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_VOLUME numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute NUMBER_OF_LINES numeric
@attribute PERCENT_COMMENTS numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
21.0,4.0,22.0,0.1,0.5,30.0,45.35,25.34,0.38,193.0,0.04,1149.16,0.05,75.0,118.0,37.0,25.0,84.0,51.61,40.0,N
9.0,1.0,10.0,0.18,0.5,16.0,22.84,25.89,0.2,109.0,0.04,591.46,0.1,41.0,68.0,19.0,24.0,42.0,50.0,22.0,N
10.0,1.0,10.0,0.18,0.5,15.0,22.84,25.89,0.2,109.0,0.04,591.46,0.09,41.0,68.0,19.0,24.0,43.0,53.13,22.0,N
46.0,8.0,31.0,0.13,0.8,40.0,83.37,31.3,0.87,399.0,0.03,2609.12,0.07,153.0,246.0,66.0,27.0,153.0,62.26,75.0,N
33.0,5.0,28.0,0.1,0.67,44.0,71.49,34.84,0.83,380.0,0.03,2490.74,0.05,135.0,245.0,62.0,32.0,124.0,51.11,62.0,N
10.0,1.0,0.0,0.14,1.0,31.0,44.36,16.56,0.24,141.0,0.06,734.53,0.11,69.0,72.0,25.0,12.0,47.0,13.89,36.0,N
25.0,4.0,21.0,0.18,0.5,22.0,25.24,19.95,0.17,94.0,0.05,503.61,0.08,38.0,56.0,20.0,21.0,80.0,59.26,33.0,N
9.0,4.0,13.0,0.18,1.0,20.0,46.13,14.44,0.22,122.0,0.07,666.05,0.09,38.0,84.0,25.0,19.0,45.0,42.86,22.0,N
10.0,2.0,4.0,0.07,1.0,25.0,48.82,16.55,0.27,148.0,0.06,808.0,0.05,64.0,84.0,29.0,15.0,42.0,19.35,27.0,N
6.0,1.0,4.0,0.13,0.5,10.0,21.05,9.8,0.07,45.0,0.1,206.32,0.08,14.0,31.0,10.0,14.0,26.0,47.37,15.0,N
6.0,1.0,4.0,0.13,0.5,10.0,21.05,9.8,0.07,45.0,0.1,206.32,0.08,14.0,31.0,10.0,14.0,26.0,47.37,15.0,N
7.0,1.0,8.0,0.17,0.67,14.0,30.91,8.62,0.09,56.0,0.12,266.27,0.09,16.0,40.0,13.0,14.0,34.0,46.15,18.0,N
20.0,4.0,16.0,0.19,0.83,27.0,53.81,14.9,0.27,140.0,0.07,801.91,0.09,42.0,98.0,31.0,22.0,68.0,42.55,31.0,N
14.0,3.0,12.0,0.17,1.0,20.0,47.35,11.12,0.18,97.0,0.09,526.35,0.08,34.0,63.0,26.0,17.0,50.0,42.86,23.0,N
19.0,4.0,18.0,0.22,0.71,28.0,55.58,14.56,0.27,142.0,0.07,809.46,0.09,43.0,99.0,31.0,21.0,77.0,44.0,32.0,N
36.0,8.0,29.0,0.18,0.67,45.0,68.78,26.32,0.6,288.0,0.04,1810.2,0.08,94.0,194.0,50.0,28.0,143.0,52.63,66.0,N
3.0,0.0,2.0,0.15,0.5,11.0,10.9,12.0,0.04,32.0,0.08,130.8,0.11,10.0,22.0,5.0,12.0,19.0,26.67,13.0,N
3.0,0.0,2.0,0.15,0.5,11.0,17.29,12.0,0.07,48.0,0.08,207.45,0.11,16.0,32.0,8.0,12.0,19.0,26.67,13.0,N
9.0,4.0,22.0,0.2,0.75,27.0,35.27,13.74,0.16,93.0,0.07,484.48,0.11,29.0,64.0,19.0,18.0,73.0,57.14,41.0,N
5.0,1.0,12.0,0.14,1.0,10.0,15.6,6.67,0.03,26.0,0.15,104.0,0.06,8.0,18.0,6.0,10.0,32.0,61.54,14.0,N
1.0,0.0,3.0,0.17,0.5,9.0,13.38,8.25,0.04,27.0,0.12,110.36,0.12,9.0,18.0,6.0,11.0,17.0,40.0,12.0,N
1.0,0.0,3.0,0.17,0.5,9.0,20.27,9.17,0.06,43.0,0.11,185.84,0.12,15.0,28.0,9.0,11.0,17.0,40.0,12.0,N
49.0,8.0,57.0,0.1,0.7,98.0,125.84,27.25,1.14,486.0,0.04,3428.87,0.05,172.0,314.0,101.0,32.0,211.0,39.13,104.0,N
77.0,9.0,56.0,0.13,0.96,172.0,243.12,22.99,1.86,750.0,0.04,5588.41,0.07,252.0,498.0,148.0,27.0,343.0,30.65,192.0,N
40.0,3.0,11.0,0.1,1.0,28.0,44.75,18.67,0.28,148.0,0.05,835.29,0.04,56.0,92.0,30.0,20.0,82.0,31.71,30.0,Y
31.0,7.0,29.0,0.09,1.0,43.0,84.37,19.2,0.54,267.0,0.05,1619.65,0.04,97.0,170.0,48.0,19.0,105.0,41.1,44.0,N
34.0,4.0,31.0,0.04,1.0,36.0,37.89,24.18,0.31,171.0,0.04,916.14,0.02,56.0,115.0,22.0,19.0,113.0,53.85,47.0,N
14.0,2.0,5.0,0.13,0.75,21.0,49.79,9.48,0.16,87.0,0.11,472.09,0.08,32.0,55.0,27.0,16.0,52.0,43.24,32.0,N
5.0,1.0,1.0,0.24,0.5,16.0,24.97,20.38,0.17,97.0,0.05,509.05,0.17,33.0,64.0,17.0,21.0,24.0,11.11,17.0,N
4.0,2.0,7.0,0.21,1.0,14.0,16.78,11.2,0.06,41.0,0.09,187.98,0.12,16.0,25.0,10.0,14.0,26.0,33.33,14.0,N
39.0,6.0,51.0,0.2,0.47,88.0,66.11,50.27,1.11,496.0,0.02,3323.42,0.1,207.0,289.0,70.0,34.0,185.0,39.31,94.0,N
18.0,6.0,6.0,0.11,0.75,29.0,49.27,18.53,0.3,151.0,0.05,912.7,0.07,57.0,94.0,40.0,26.0,61.0,30.95,36.0,N
49.0,14.0,37.0,0.28,0.71,60.0,78.4,74.77,1.95,821.0,0.01,5861.57,0.13,319.0,502.0,96.0,45.0,163.0,46.9,76.0,N
31.0,5.0,25.0,0.16,0.6,52.0,47.49,47.96,0.76,350.0,0.02,2277.73,0.08,140.0,210.0,54.0,37.0,121.0,41.57,64.0,N
84.0,10.0,76.0,0.13,0.42,101.0,75.03,66.0,1.65,685.0,0.02,4951.74,0.06,264.0,421.0,100.0,50.0,306.0,54.3,145.0,N
17.0,3.0,6.0,0.14,0.75,29.0,78.29,48.05,1.25,565.0,0.02,3761.89,0.1,217.0,348.0,70.0,31.0,81.0,53.97,57.0,N
16.0,5.0,8.0,0.24,0.67,22.0,37.5,29.45,0.37,187.0,0.03,1104.59,0.12,72.0,115.0,33.0,27.0,50.0,33.33,25.0,N
5.0,3.0,3.0,0.17,1.0,29.0,29.49,24.0,0.24,133.0,0.04,707.82,0.13,48.0,85.0,20.0,20.0,45.0,25.64,36.0,N
1.0,1.0,0.0,0.25,0.5,15.0,22.03,12.0,0.09,55.0,0.08,264.4,0.22,18.0,37.0,12.0,16.0,18.0,6.25,16.0,N
7.0,3.0,7.0,0.13,0.5,14.0,25.23,9.5,0.08,51.0,0.11,239.72,0.06,19.0,32.0,13.0,13.0,31.0,39.13,16.0,N
17.0,3.0,0.0,0.22,0.2,63.0,45.89,35.45,0.54,262.0,0.03,1626.88,0.17,79.0,183.0,39.0,35.0,86.0,7.35,68.0,N
3.0,0.0,1.0,0.18,0.5,9.0,24.7,7.22,0.06,40.0,0.14,178.38,0.13,10.0,30.0,9.0,13.0,16.0,25.0,11.0,N
3.0,0.0,0.0,0.18,0.5,9.0,24.08,7.22,0.06,39.0,0.14,173.92,0.13,10.0,29.0,9.0,13.0,15.0,18.18,11.0,N
6.0,3.0,1.0,0.22,0.5,17.0,25.0,13.6,0.11,68.0,0.07,340.0,0.15,24.0,44.0,15.0,17.0,26.0,10.53,18.0,N
25.0,8.0,0.0,0.15,1.0,27.0,50.43,10.62,0.18,102.0,0.09,535.29,0.08,46.0,56.0,26.0,12.0,60.0,20.59,34.0,N
13.0,5.0,0.0,0.14,1.0,62.0,183.65,7.02,0.43,214.0,0.14,1288.79,0.12,100.0,114.0,57.0,8.0,78.0,3.13,64.0,N
7.0,3.0,9.0,0.17,1.0,12.0,22.78,2.33,0.02,16.0,0.43,53.15,0.07,7.0,9.0,6.0,4.0,29.0,42.86,12.0,N
2.0,1.0,0.0,0.17,0.5,24.0,20.18,16.36,0.11,73.0,0.06,330.22,0.15,30.0,43.0,11.0,12.0,27.0,0.0,24.0,N
5.0,2.0,0.0,0.18,1.0,13.0,25.58,13.2,0.11,71.0,0.08,337.6,0.13,33.0,38.0,15.0,12.0,23.0,23.53,17.0,N
22.0,0.0,13.0,0.09,0.33,32.0,58.73,53.2,1.04,538.0,0.02,3124.36,0.04,266.0,272.0,40.0,16.0,71.0,33.33,35.0,N
1.0,4.0,0.0,0.2,1.0,10.0,22.35,7.27,0.05,37.0,0.14,162.52,0.17,16.0,21.0,11.0,10.0,12.0,0.0,10.0,N
9.0,2.0,3.0,0.14,1.0,17.0,29.6,24.29,0.24,137.0,0.04,718.97,0.09,60.0,77.0,21.0,17.0,34.0,29.17,21.0,N
1.0,0.0,0.0,0.29,0.5,7.0,8.79,12.0,0.04,27.0,0.08,105.49,0.22,12.0,15.0,5.0,10.0,9.0,0.0,7.0,N
1.0,0.0,0.0,0.33,0.33,9.0,12.09,14.14,0.06,41.0,0.07,170.97,0.27,18.0,23.0,7.0,11.0,11.0,0.0,9.0,N
1.0,0.0,0.0,0.27,0.33,11.0,14.67,14.67,0.07,49.0,0.07,215.22,0.23,22.0,27.0,9.0,12.0,13.0,0.0,11.0,N
1.0,0.0,0.0,0.29,0.5,7.0,8.79,12.0,0.04,27.0,0.08,105.49,0.22,12.0,15.0,5.0,10.0,9.0,0.0,7.0,N
1.0,0.0,0.0,0.33,0.33,9.0,12.09,14.14,0.06,41.0,0.07,170.97,0.27,18.0,23.0,7.0,11.0,11.0,0.0,9.0,N
1.0,0.0,0.0,0.27,0.33,11.0,14.67,14.67,0.07,49.0,0.07,215.22,0.23,22.0,27.0,9.0,12.0,13.0,0.0,11.0,N
1.0,0.0,0.0,0.29,0.5,7.0,8.79,12.0,0.04,27.0,0.08,105.49,0.22,12.0,15.0,5.0,10.0,9.0,0.0,7.0,N
1.0,0.0,0.0,0.33,0.33,9.0,12.09,14.14,0.06,41.0,0.07,170.97,0.27,18.0,23.0,7.0,11.0,11.0,0.0,9.0,N
1.0,0.0,0.0,0.27,0.33,11.0,14.67,14.67,0.07,49.0,0.07,215.22,0.23,22.0,27.0,9.0,12.0,13.0,0.0,11.0,N
40.0,4.0,13.0,0.08,0.67,48.0,71.01,24.77,0.59,279.0,0.04,1758.75,0.04,107.0,172.0,54.0,25.0,151.0,44.19,73.0,N
2.0,2.0,2.0,0.29,1.0,7.0,16.52,6.19,0.03,25.0,0.16,102.19,0.17,11.0,14.0,8.0,9.0,12.0,22.22,7.0,N
2.0,2.0,2.0,0.29,1.0,7.0,16.52,6.19,0.03,25.0,0.16,102.19,0.17,11.0,14.0,8.0,9.0,12.0,22.22,7.0,N
2.0,2.0,2.0,0.29,1.0,7.0,16.52,6.19,0.03,25.0,0.16,102.19,0.17,11.0,14.0,8.0,9.0,12.0,22.22,7.0,N
2.0,2.0,2.0,0.29,1.0,7.0,16.52,6.19,0.03,25.0,0.16,102.19,0.17,11.0,14.0,8.0,9.0,12.0,22.22,7.0,N
2.0,2.0,2.0,0.29,1.0,7.0,16.52,6.19,0.03,25.0,0.16,102.19,0.17,11.0,14.0,8.0,9.0,12.0,22.22,7.0,N
2.0,2.0,2.0,0.29,1.0,7.0,16.52,6.19,0.03,25.0,0.16,102.19,0.17,11.0,14.0,8.0,9.0,12.0,22.22,7.0,N
2.0,2.0,2.0,0.29,1.0,7.0,16.52,6.19,0.03,25.0,0.16,102.19,0.17,11.0,14.0,8.0,9.0,12.0,22.22,7.0,N
8.0,0.0,14.0,0.24,0.25,15.0,17.03,14.68,0.08,52.0,0.07,249.98,0.17,19.0,33.0,11.0,17.0,23.0,51.61,17.0,N
2.0,0.0,8.0,0.22,0.5,9.0,11.86,4.38,0.02,15.0,0.23,51.89,0.22,5.0,10.0,4.0,7.0,9.0,47.06,9.0,N
4.0,0.0,10.0,0.25,0.5,8.0,11.07,4.38,0.02,14.0,0.23,48.43,0.18,5.0,9.0,4.0,7.0,11.0,55.56,8.0,N
3.0,0.0,5.0,0.25,0.5,8.0,17.16,6.19,0.04,25.0,0.16,106.2,0.12,9.0,16.0,8.0,11.0,17.0,38.46,8.0,N
4.0,0.0,10.0,0.25,0.5,8.0,11.07,4.38,0.02,14.0,0.23,48.43,0.18,5.0,9.0,4.0,7.0,11.0,55.56,8.0,N
3.0,2.0,2.0,0.22,1.0,9.0,19.71,5.5,0.04,26.0,0.18,108.42,0.13,11.0,15.0,9.0,9.0,15.0,18.18,9.0,N
13.0,3.0,19.0,0.18,0.67,13.0,22.53,13.93,0.1,66.0,0.07,313.82,0.06,30.0,36.0,14.0,13.0,50.0,63.89,17.0,N
9.0,4.0,0.0,0.38,0.89,24.0,30.54,11.65,0.12,74.0,0.09,355.74,0.26,36.0,38.0,17.0,11.0,34.0,0.0,24.0,N
16.0,3.0,15.0,0.16,0.75,25.0,21.39,22.46,0.16,97.0,0.04,480.56,0.07,37.0,60.0,14.0,17.0,57.0,37.5,25.0,N
82.0,12.0,100.0,0.13,0.74,176.0,140.31,37.2,1.74,696.0,0.03,5219.89,0.06,280.0,416.0,143.0,38.0,390.0,37.59,182.0,N
22.0,4.0,31.0,0.1,0.75,32.0,45.51,16.36,0.25,130.0,0.06,744.63,0.04,54.0,76.0,33.0,20.0,95.0,55.56,41.0,N
9.0,5.0,12.0,0.11,1.0,18.0,35.45,10.29,0.12,70.0,0.1,364.66,0.05,27.0,43.0,21.0,16.0,40.0,40.0,18.0,N
12.0,1.0,4.0,0.18,0.67,14.0,15.83,13.82,0.07,46.0,0.07,218.72,0.09,19.0,27.0,11.0,16.0,34.0,33.33,17.0,N
14.0,4.0,21.0,0.12,0.75,29.0,39.73,19.35,0.26,133.0,0.05,768.92,0.04,50.0,83.0,31.0,24.0,95.0,46.3,33.0,N
38.0,4.0,70.0,0.17,0.39,104.0,58.36,41.38,0.8,372.0,0.02,2414.97,0.08,150.0,222.0,58.0,32.0,218.0,41.9,109.0,N
39.0,10.0,58.0,0.17,0.58,68.0,52.05,21.71,0.38,187.0,0.05,1130.3,0.07,76.0,111.0,42.0,24.0,177.0,47.69,72.0,N
19.0,3.0,16.0,0.16,1.0,21.0,31.79,17.86,0.19,104.0,0.06,567.78,0.05,47.0,57.0,25.0,19.0,84.0,48.78,25.0,N
25.0,7.0,39.0,0.1,0.88,71.0,90.85,21.94,0.66,307.0,0.05,1993.0,0.06,108.0,199.0,64.0,26.0,142.0,38.79,77.0,Y
27.0,2.0,19.0,0.09,1.0,22.0,37.27,15.43,0.19,114.0,0.06,575.06,0.03,54.0,60.0,21.0,12.0,70.0,47.62,23.0,Y
1.0,1.0,0.0,0.2,1.0,10.0,10.75,7.0,0.03,21.0,0.14,75.28,0.17,7.0,14.0,4.0,8.0,12.0,0.0,10.0,N
34.0,9.0,26.0,0.13,0.78,66.0,76.03,28.98,0.73,342.0,0.03,2203.49,0.07,136.0,206.0,61.0,26.0,132.0,31.96,71.0,N
9.0,1.0,17.0,0.23,0.6,22.0,35.13,12.55,0.15,84.0,0.08,440.83,0.1,31.0,53.0,21.0,17.0,49.0,43.59,22.0,Y
32.0,13.0,23.0,0.09,1.0,59.0,104.75,22.14,0.77,349.0,0.05,2318.71,0.05,126.0,223.0,74.0,26.0,138.0,39.8,75.0,Y
13.0,2.0,7.0,0.11,1.0,19.0,37.6,9.75,0.12,74.0,0.1,366.61,0.06,27.0,47.0,18.0,13.0,49.0,45.71,28.0,N
3.0,2.0,0.0,0.11,0.5,19.0,24.71,10.58,0.09,57.0,0.09,261.33,0.09,25.0,32.0,13.0,11.0,23.0,0.0,19.0,N
6.0,1.0,6.0,0.18,0.5,10.0,16.21,5.4,0.03,23.0,0.19,87.57,0.08,6.0,17.0,5.0,9.0,24.0,41.18,11.0,N
3.0,0.0,0.0,0.13,0.5,15.0,18.54,9.63,0.06,42.0,0.1,178.41,0.11,14.0,28.0,8.0,11.0,19.0,0.0,15.0,N
30.0,19.0,62.0,0.26,0.79,89.0,54.69,47.6,0.87,402.0,0.02,2603.24,0.13,154.0,248.0,55.0,34.0,186.0,42.58,93.0,Y
6.0,3.0,15.0,0.14,1.0,10.0,16.21,10.56,0.06,39.0,0.09,171.3,0.06,13.0,26.0,8.0,13.0,36.0,65.51,14.0,N
13.0,3.0,24.0,0.11,1.0,32.0,34.91,18.57,0.22,121.0,0.05,648.26,0.05,43.0,78.0,22.0,19.0,73.0,45.76,35.0,Y
31.0,5.0,28.0,0.14,0.82,74.0,61.92,36.74,0.76,354.0,0.03,2274.9,0.08,124.0,230.0,54.0,32.0,141.0,32.11,81.0,Y
12.0,5.0,16.0,0.13,1.0,44.0,46.89,18.91,0.3,152.0,0.05,886.6,0.08,52.0,100.0,33.0,24.0,74.0,27.87,45.0,N
0.0,0.0,0.0,0.13,0.5,15.0,42.88,6.87,0.1,62.0,0.15,294.8,0.13,20.0,42.0,16.0,11.0,16.0,0.0,15.0,N
51.0,10.0,73.0,0.16,0.56,107.0,51.85,64.92,1.12,516.0,0.02,3366.16,0.07,193.0,323.0,55.0,37.0,241.0,43.39,116.0,Y
2.0,1.0,0.0,0.14,1.0,12.0,20.76,2.5,0.02,15.0,0.4,51.89,0.12,6.0,9.0,6.0,5.0,17.0,14.29,14.0,N
4.0,1.0,0.0,0.14,1.0,17.0,34.27,2.78,0.03,25.0,0.36,95.18,0.12,10.0,15.0,9.0,5.0,26.0,19.05,21.0,N
0.0,0.0,0.0,0.24,0.25,17.0,10.6,10.13,0.04,29.0,0.1,107.31,0.22,9.0,20.0,4.0,9.0,18.0,0.0,17.0,N
3.0,0.0,0.0,0.4,0.17,15.0,7.45,30.8,0.08,54.0,0.03,229.39,0.32,22.0,32.0,5.0,14.0,19.0,0.0,15.0,N
3.0,0.0,0.0,0.14,0.5,14.0,11.85,9.0,0.04,28.0,0.11,106.61,0.11,10.0,18.0,5.0,9.0,18.0,0.0,14.0,N
2.0,0.0,0.0,0.2,0.5,10.0,6.92,8.0,0.02,16.0,0.13,55.35,0.15,6.0,10.0,3.0,8.0,13.0,0.0,10.0,N
25.0,6.0,15.0,0.17,0.69,70.0,80.81,26.6,0.72,343.0,0.04,2149.51,0.11,133.0,210.0,55.0,22.0,117.0,23.08,76.0,N
5.0,3.0,2.0,0.15,1.0,24.0,26.32,16.0,0.14,85.0,0.06,421.11,0.11,30.0,55.0,15.0,16.0,35.0,17.24,27.0,N
15.0,1.0,9.0,0.16,0.67,12.0,28.99,18.12,0.18,106.0,0.06,525.14,0.07,44.0,62.0,17.0,14.0,44.0,57.14,19.0,N
6.0,0.0,2.0,0.18,0.5,9.0,13.77,13.5,0.06,43.0,0.07,185.84,0.1,18.0,25.0,8.0,12.0,20.0,30.77,11.0,N
5.0,0.0,2.0,0.18,0.5,9.0,13.64,17.06,0.08,53.0,0.06,232.79,0.11,21.0,32.0,8.0,13.0,19.0,30.77,11.0,N
10.0,0.0,2.0,0.3,0.14,8.0,21.3,16.32,0.12,74.0,0.06,347.83,0.19,28.0,46.0,12.0,14.0,36.0,68.0,23.0,N
14.0,4.0,9.0,0.15,1.0,19.0,35.6,10.11,0.12,72.0,0.1,360.0,0.07,26.0,46.0,18.0,14.0,44.0,34.48,20.0,N
35.0,9.0,17.0,0.15,0.69,76.0,108.35,33.87,1.22,526.0,0.03,3670.05,0.1,199.0,327.0,94.0,32.0,157.0,37.19,104.0,N
6.0,1.0,2.0,0.2,0.67,8.0,17.71,10.67,0.06,43.0,0.09,188.87,0.13,16.0,27.0,9.0,12.0,24.0,52.94,15.0,N
17.0,4.0,19.0,0.14,0.8,27.0,42.9,20.7,0.3,159.0,0.05,888.01,0.07,45.0,114.0,25.0,23.0,72.0,50.0,35.0,N
16.0,1.0,7.0,0.1,0.67,20.0,37.71,30.2,0.38,205.0,0.03,1138.69,0.06,89.0,116.0,28.0,19.0,54.0,45.95,30.0,N
11.0,1.0,5.0,0.15,0.33,27.0,48.56,33.51,0.54,279.0,0.03,1627.38,0.1,124.0,155.0,37.0,20.0,58.0,41.3,41.0,N
81.0,8.0,165.0,0.19,0.66,423.0,131.72,126.56,5.56,2027.0,0.01,16670.05,0.13,798.0,1229.0,227.0,72.0,750.0,36.68,503.0,N
20.0,2.0,2.0,0.33,0.75,10.0,19.23,5.69,0.04,28.0,0.18,109.39,0.11,13.0,15.0,8.0,7.0,35.0,28.57,12.0,N
115.0,3.0,12.0,0.19,0.19,49.0,83.81,31.06,0.87,399.0,0.03,2602.9,0.08,176.0,223.0,68.0,24.0,212.0,48.96,84.0,N
156.0,5.0,27.0,0.23,0.31,85.0,78.34,51.47,1.34,589.0,0.02,4031.99,0.1,267.0,322.0,83.0,32.0,330.0,48.48,138.0,N
48.0,11.0,32.0,0.13,0.76,165.0,204.29,41.72,2.84,1112.0,0.02,8523.85,0.09,463.0,649.0,172.0,31.0,307.0,36.05,226.0,N
17.0,5.0,8.0,0.16,0.91,61.0,87.92,17.2,0.5,253.0,0.06,1512.25,0.12,86.0,167.0,45.0,18.0,93.0,18.67,67.0,N
74.0,10.0,18.0,0.13,0.83,63.0,85.71,38.23,1.09,487.0,0.03,3276.5,0.06,203.0,284.0,77.0,29.0,186.0,43.24,93.0,N
33.0,4.0,4.0,0.13,1.0,16.0,28.18,15.16,0.14,82.0,0.07,427.18,0.05,32.0,50.0,19.0,18.0,62.0,42.86,24.0,N
4.0,1.0,0.0,0.18,1.0,19.0,40.01,18.29,0.24,134.0,0.05,731.56,0.15,64.0,70.0,28.0,16.0,27.0,13.64,22.0,N
4.0,1.0,0.0,0.21,1.0,25.0,42.36,23.73,0.34,182.0,0.04,1005.29,0.18,89.0,93.0,30.0,16.0,33.0,10.71,28.0,N
1.0,1.0,0.0,0.14,1.0,35.0,110.24,10.11,0.37,191.0,0.1,1114.08,0.13,95.0,96.0,47.0,10.0,38.0,2.78,36.0,N
5.0,1.0,0.0,0.19,0.8,25.0,27.4,20.16,0.18,100.0,0.05,552.36,0.15,48.0,52.0,25.0,21.0,33.0,7.41,27.0,N
2.0,2.0,0.0,0.16,1.0,30.0,78.0,13.61,0.35,189.0,0.07,1061.18,0.15,94.0,95.0,38.0,11.0,34.0,3.23,31.0,N
1.0,1.0,0.0,0.11,1.0,17.0,54.5,9.27,0.17,103.0,0.11,505.41,0.1,51.0,52.0,22.0,8.0,20.0,5.56,18.0,N
1.0,1.0,0.0,0.25,1.0,15.0,20.45,13.07,0.09,55.0,0.08,267.19,0.22,28.0,27.0,15.0,14.0,18.0,6.25,16.0,N
1.0,1.0,0.0,0.26,1.0,49.0,35.91,21.53,0.26,132.0,0.05,773.25,0.25,53.0,79.0,32.0,26.0,52.0,2.0,50.0,N
1.0,1.0,0.0,0.26,1.0,52.0,36.57,23.03,0.28,142.0,0.04,842.16,0.25,58.0,84.0,34.0,27.0,55.0,1.89,53.0,N
4.0,2.0,0.0,0.16,1.0,42.0,160.8,10.16,0.54,263.0,0.1,1633.09,0.15,130.0,133.0,64.0,10.0,48.0,2.33,43.0,N
16.0,5.0,8.0,0.19,0.77,62.0,84.92,18.79,0.53,265.0,0.05,1595.93,0.14,91.0,174.0,46.0,19.0,92.0,17.33,67.0,N
40.0,10.0,19.0,0.14,0.77,65.0,83.84,41.66,1.16,514.0,0.02,3492.33,0.08,215.0,299.0,80.0,31.0,155.0,42.98,95.0,N
77.0,9.0,15.0,0.17,0.65,75.0,88.15,36.04,1.06,465.0,0.03,3177.29,0.08,193.0,272.0,83.0,31.0,201.0,34.78,100.0,N
4.0,1.0,0.0,0.14,0.5,10.0,23.58,12.5,0.1,62.0,0.08,294.8,0.11,20.0,42.0,12.0,15.0,19.0,28.57,14.0,N
4.0,1.0,6.0,0.25,1.0,6.0,17.91,6.29,0.04,27.0,0.16,112.59,0.11,8.0,19.0,7.0,11.0,19.0,57.14,8.0,N
4.0,1.0,6.0,0.25,1.0,6.0,17.91,6.29,0.04,27.0,0.16,112.59,0.11,8.0,19.0,7.0,11.0,19.0,57.14,8.0,N
7.0,1.0,7.0,0.13,0.5,15.0,17.24,10.64,0.06,40.0,0.09,183.4,0.07,18.0,22.0,11.0,13.0,30.0,31.82,15.0,N
3.0,1.0,5.0,0.18,0.5,9.0,17.13,10.0,0.06,39.0,0.1,171.3,0.1,15.0,24.0,9.0,12.0,20.0,43.75,11.0,N
27.0,4.0,33.0,0.24,0.4,38.0,32.0,26.1,0.28,142.0,0.04,835.34,0.1,54.0,88.0,30.0,29.0,103.0,49.33,42.0,N
6.0,0.0,2.0,0.38,0.17,14.0,15.76,17.6,0.09,59.0,0.06,277.33,0.24,22.0,37.0,10.0,16.0,25.0,22.22,16.0,N
20.0,2.0,14.0,0.24,0.15,47.0,30.99,27.86,0.29,150.0,0.04,863.23,0.15,60.0,90.0,28.0,26.0,89.0,30.88,54.0,N
4.0,0.0,1.0,0.18,0.5,11.0,20.51,6.11,0.04,29.0,0.16,125.34,0.12,10.0,19.0,9.0,11.0,17.0,8.33,11.0,N
5.0,0.0,2.0,0.18,0.5,11.0,19.8,6.11,0.04,28.0,0.16,121.01,0.11,10.0,18.0,9.0,11.0,19.0,15.38,11.0,N
3.0,1.0,2.0,0.17,0.5,11.0,14.83,9.63,0.05,32.0,0.1,142.7,0.11,11.0,21.0,8.0,14.0,18.0,21.43,12.0,N
7.0,1.0,7.0,0.17,1.0,21.0,46.9,10.5,0.16,96.0,0.1,492.41,0.1,28.0,68.0,20.0,15.0,39.0,32.25,24.0,N
12.0,3.0,22.0,0.14,0.33,19.0,45.57,9.64,0.15,85.0,0.1,439.44,0.05,27.0,58.0,21.0,15.0,56.0,55.81,21.0,Y
7.0,1.0,5.0,0.17,1.0,23.0,46.9,10.5,0.16,96.0,0.1,492.41,0.11,28.0,68.0,20.0,15.0,37.0,20.69,24.0,N
14.0,1.0,34.0,0.14,1.0,18.0,31.39,9.47,0.1,60.0,0.11,297.25,0.04,23.0,37.0,17.0,14.0,70.0,67.27,21.0,Y
10.0,2.0,11.0,0.12,1.0,22.0,39.66,11.08,0.15,81.0,0.09,439.53,0.06,28.0,53.0,24.0,19.0,47.0,38.89,25.0,Y
8.0,2.0,19.0,0.14,1.0,20.0,31.51,10.5,0.11,64.0,0.1,330.88,0.06,21.0,43.0,18.0,18.0,50.0,51.22,22.0,Y
0.0,2.0,0.0,0.2,1.0,13.0,22.4,7.33,0.05,38.0,0.14,164.23,0.19,12.0,26.0,9.0,11.0,16.0,13.33,15.0,Y
0.0,2.0,0.0,0.23,1.0,13.0,33.1,7.26,0.08,49.0,0.14,240.44,0.21,19.0,30.0,17.0,13.0,14.0,0.0,13.0,N
0.0,2.0,0.0,0.14,1.0,21.0,34.57,10.93,0.13,72.0,0.09,377.85,0.14,27.0,45.0,21.0,17.0,22.0,0.0,21.0,N
10.0,6.0,31.0,0.17,0.88,44.0,74.36,13.06,0.32,159.0,0.08,971.26,0.09,64.0,95.0,49.0,20.0,88.0,42.86,46.0,Y
4.0,5.0,18.0,0.19,0.89,91.0,195.05,21.41,1.39,591.0,0.05,4176.06,0.15,218.0,373.0,112.0,22.0,118.0,19.47,95.0,Y
