@relation SelectedFeatures
@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute EDGE_COUNT numeric
@attribute LOC_EXECUTABLE numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_VOLUME numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute NUMBER_OF_LINES numeric
@attribute PERCENT_COMMENTS numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
3.0,7.0,0.0,0.0,4.0,2.0,10.0,6.0,19.97,0.05,35.0,153.73,0.4,14.0,21.0,10.0,11.0,10.0,0.0,6.0,N
10.0,41.0,10.0,16.0,21.0,6.0,81.0,62.0,143.69,0.81,371.0,2431.75,0.21,165.0,206.0,78.0,16.0,99.0,29.55,72.0,N
16.0,27.0,1.0,20.0,14.0,1.0,54.0,36.0,27.54,0.27,174.0,817.88,0.19,81.0,93.0,15.0,11.0,74.0,36.84,37.0,N
8.0,3.0,1.0,3.0,2.0,2.0,9.0,28.0,72.35,0.24,140.0,718.1,0.02,67.0,73.0,27.0,8.0,106.0,12.5,29.0,Y
3.0,15.0,5.0,9.0,8.0,4.0,26.0,20.0,50.38,0.2,110.0,611.0,0.21,47.0,63.0,31.0,16.0,38.0,41.18,25.0,Y
3.0,5.0,1.0,2.0,3.0,2.0,9.0,9.0,27.77,0.09,52.0,255.16,0.19,21.0,31.0,16.0,14.0,16.0,25.0,10.0,N
4.0,5.0,1.0,3.0,3.0,2.0,9.0,11.0,31.09,0.13,75.0,384.7,0.15,33.0,42.0,20.0,15.0,20.0,26.67,12.0,N
3.0,9.0,3.0,4.0,5.0,2.0,16.0,13.0,39.65,0.16,90.0,482.18,0.21,38.0,52.0,25.0,16.0,24.0,35.0,16.0,Y
3.0,5.0,1.0,2.0,3.0,2.0,9.0,9.0,27.77,0.09,52.0,255.16,0.19,21.0,31.0,16.0,14.0,16.0,25.0,10.0,N
4.0,7.0,2.0,7.0,4.0,2.0,13.0,12.0,32.54,0.12,69.0,353.92,0.15,29.0,40.0,20.0,15.0,26.0,42.86,14.0,Y
17.0,23.0,1.0,15.0,12.0,1.0,51.0,68.0,160.24,1.25,536.0,3745.93,0.12,236.0,300.0,106.0,21.0,102.0,19.05,69.0,Y
11.0,17.0,7.0,31.0,11.0,4.0,30.0,34.0,44.18,0.33,171.0,1001.71,0.13,69.0,102.0,35.0,23.0,84.0,52.78,41.0,N
1.0,5.0,2.0,1.0,3.0,3.0,11.0,8.0,22.95,0.06,38.0,166.91,0.23,16.0,22.0,11.0,10.0,13.0,27.27,10.0,N
5.0,11.0,5.0,10.0,6.0,6.0,31.0,37.0,169.61,0.47,221.0,1401.11,0.1,95.0,126.0,69.0,12.0,58.0,28.85,42.0,N
3.0,7.0,2.0,1.0,4.0,2.0,14.0,10.0,32.81,0.09,55.0,272.48,0.24,23.0,32.0,18.0,13.0,17.0,23.08,12.0,N
24.0,38.0,12.0,41.0,21.0,18.0,96.0,97.0,89.79,0.85,381.0,2547.56,0.12,152.0,229.0,75.0,28.0,175.0,35.33,109.0,Y
2.0,5.0,1.0,0.0,3.0,2.0,12.0,19.0,39.02,0.2,108.0,589.62,0.13,48.0,60.0,27.0,17.0,23.0,5.0,20.0,N
18.0,19.0,0.0,15.0,10.0,7.0,46.0,47.0,88.97,0.47,230.0,1414.44,0.12,101.0,129.0,54.0,17.0,81.0,24.19,47.0,N
9.0,5.0,0.0,0.0,3.0,3.0,9.0,15.0,32.35,0.08,53.0,249.12,0.12,21.0,32.0,15.0,11.0,25.0,0.0,15.0,Y
4.0,3.0,0.0,2.0,2.0,2.0,6.0,9.0,23.29,0.05,37.0,165.0,0.13,17.0,20.0,12.0,10.0,16.0,18.18,9.0,N
18.0,11.0,0.0,7.0,6.0,6.0,30.0,40.0,55.79,0.58,273.0,1735.61,0.09,120.0,153.0,54.0,28.0,66.0,14.89,40.0,N
11.0,7.0,0.0,0.0,4.0,4.0,12.0,20.0,34.43,0.15,90.0,457.87,0.13,38.0,52.0,20.0,14.0,32.0,0.0,20.0,N
12.0,5.0,0.0,3.0,3.0,3.0,10.0,20.0,33.27,0.15,83.0,435.58,0.08,36.0,47.0,22.0,16.0,36.0,13.04,20.0,N
8.0,13.0,0.0,2.0,7.0,3.0,21.0,16.0,19.37,0.14,97.0,426.05,0.26,40.0,57.0,10.0,11.0,27.0,11.11,16.0,N
14.0,5.0,0.0,0.0,3.0,3.0,14.0,22.0,45.57,0.12,74.0,370.0,0.08,31.0,43.0,21.0,11.0,37.0,0.0,22.0,N
9.0,5.0,0.0,1.0,3.0,3.0,10.0,15.0,25.82,0.1,62.0,301.19,0.12,25.0,37.0,15.0,14.0,26.0,6.25,15.0,N
19.0,17.0,0.0,0.0,15.0,14.0,35.0,55.0,48.69,0.32,159.0,957.56,0.2,59.0,100.0,39.0,26.0,75.0,0.0,55.0,N
14.0,5.0,1.0,9.0,3.0,2.0,15.0,27.0,75.95,0.22,123.0,667.43,0.06,58.0,65.0,33.0,10.0,52.0,27.03,28.0,N
23.0,51.0,0.0,13.0,26.0,1.0,86.0,72.0,67.01,0.9,425.0,2694.44,0.24,191.0,234.0,57.0,24.0,109.0,15.29,72.0,N
8.0,3.0,0.0,4.0,2.0,1.0,8.0,35.0,100.04,0.44,213.0,1322.61,0.04,104.0,109.0,59.0,15.0,48.0,10.26,35.0,N
15.0,5.0,1.0,8.0,3.0,2.0,17.0,39.0,74.49,0.7,334.0,2099.32,0.05,153.0,181.0,57.0,21.0,64.0,18.75,40.0,N
8.0,3.0,0.0,1.0,2.0,2.0,8.0,14.0,31.25,0.1,61.0,290.05,0.08,27.0,34.0,16.0,11.0,24.0,6.67,14.0,N
7.0,10.0,2.0,0.0,6.0,4.0,16.0,19.0,27.09,0.14,80.0,419.83,0.21,31.0,49.0,19.0,19.0,29.0,9.52,21.0,N
11.0,17.0,0.0,3.0,9.0,5.0,28.0,27.0,39.0,0.16,98.0,494.35,0.21,39.0,59.0,20.0,13.0,42.0,10.0,27.0,N
7.0,3.0,0.0,3.0,2.0,2.0,7.0,13.0,21.63,0.13,81.0,389.4,0.08,36.0,45.0,14.0,14.0,24.0,18.75,13.0,N
6.0,3.0,0.0,0.0,2.0,1.0,7.0,9.0,18.88,0.05,39.0,159.41,0.13,19.0,20.0,9.0,8.0,16.0,0.0,9.0,N
8.0,3.0,0.0,0.0,2.0,2.0,7.0,12.0,30.96,0.06,41.0,187.98,0.1,17.0,24.0,14.0,10.0,21.0,0.0,12.0,N
20.0,13.0,0.0,16.0,7.0,6.0,30.0,40.0,55.34,0.32,167.0,969.83,0.09,74.0,93.0,38.0,18.0,77.0,28.57,40.0,N
22.0,19.0,0.0,19.0,10.0,7.0,42.0,50.0,69.97,0.77,351.0,2300.66,0.11,155.0,196.0,66.0,28.0,92.0,27.54,50.0,N
7.0,5.0,0.0,1.0,3.0,3.0,10.0,12.0,19.74,0.08,49.0,230.32,0.14,20.0,29.0,12.0,14.0,21.0,7.69,12.0,N
11.0,13.0,0.0,0.0,7.0,4.0,18.0,23.0,33.12,0.17,104.0,524.62,0.2,43.0,61.0,19.0,14.0,35.0,0.0,23.0,N
8.0,3.0,0.0,1.0,2.0,2.0,7.0,13.0,24.36,0.07,46.0,213.62,0.09,19.0,27.0,13.0,12.0,23.0,7.14,13.0,N
28.0,27.0,0.0,10.0,14.0,11.0,57.0,51.0,68.42,0.5,245.0,1496.59,0.16,100.0,145.0,48.0,21.0,90.0,16.39,51.0,N
8.0,5.0,0.0,2.0,3.0,3.0,12.0,15.0,29.67,0.1,60.0,300.0,0.12,26.0,34.0,18.0,14.0,26.0,11.76,15.0,N
1.0,3.0,0.0,0.0,2.0,1.0,6.0,12.0,16.65,0.03,21.0,77.71,0.14,8.0,13.0,6.0,7.0,14.0,0.0,12.0,N
1.0,13.0,0.0,0.0,7.0,3.0,24.0,27.0,18.92,0.12,73.0,371.38,0.24,31.0,42.0,15.0,19.0,29.0,0.0,27.0,N
1.0,3.0,0.0,0.0,2.0,1.0,5.0,7.0,14.51,0.02,17.0,60.94,0.22,6.0,11.0,5.0,7.0,9.0,0.0,7.0,N
11.0,9.0,0.0,4.0,5.0,5.0,32.0,48.0,59.96,0.4,197.0,1211.5,0.08,90.0,107.0,49.0,22.0,64.0,7.69,48.0,N
4.0,3.0,0.0,0.0,2.0,2.0,9.0,17.0,27.97,0.22,139.0,645.5,0.09,50.0,89.0,13.0,12.0,22.0,0.0,17.0,N
1.0,5.0,0.0,0.0,3.0,1.0,12.0,17.0,21.5,0.05,35.0,153.73,0.16,13.0,22.0,10.0,11.0,19.0,0.0,17.0,N
0.0,3.0,0.0,0.0,2.0,1.0,7.0,8.0,17.2,0.04,27.0,114.69,0.22,12.0,15.0,9.0,10.0,9.0,0.0,8.0,N
0.0,11.0,0.0,0.0,8.0,1.0,22.0,17.0,16.16,0.1,66.0,310.23,0.44,24.0,42.0,10.0,16.0,18.0,0.0,17.0,N
1.0,3.0,0.0,0.0,2.0,1.0,6.0,17.0,19.85,0.11,76.0,333.82,0.11,37.0,39.0,11.0,10.0,19.0,0.0,17.0,N
8.0,52.0,0.0,7.0,28.0,17.0,110.0,66.0,50.98,0.79,366.0,2358.12,0.34,159.0,207.0,55.0,32.0,82.0,9.59,66.0,N
1.0,7.0,0.0,0.0,4.0,3.0,20.0,12.0,18.68,0.08,51.0,239.72,0.29,22.0,29.0,12.0,14.0,14.0,0.0,12.0,N
16.0,11.0,3.0,6.0,6.0,5.0,45.0,59.0,66.95,0.57,268.0,1703.82,0.06,123.0,145.0,58.0,24.0,107.0,13.24,62.0,N
0.0,3.0,0.0,0.0,2.0,1.0,7.0,8.0,17.2,0.04,27.0,114.69,0.22,12.0,15.0,9.0,10.0,9.0,0.0,8.0,N
32.0,12.0,16.0,73.0,8.0,8.0,52.0,48.0,52.7,0.39,198.0,1174.29,0.05,79.0,119.0,39.0,22.0,170.0,64.95,64.0,Y
7.0,13.0,0.0,6.0,7.0,4.0,32.0,21.0,32.59,0.14,91.0,427.74,0.27,42.0,49.0,16.0,10.0,26.0,22.22,21.0,N
6.0,9.0,1.0,24.0,5.0,4.0,19.0,20.0,20.4,0.1,58.0,292.57,0.11,27.0,31.0,16.0,17.0,45.0,55.56,21.0,N
0.0,3.0,0.0,0.0,2.0,2.0,6.0,4.0,9.51,0.01,9.0,28.53,0.4,3.0,6.0,3.0,6.0,5.0,0.0,4.0,N
7.0,5.0,0.0,2.0,3.0,3.0,17.0,23.0,37.53,0.17,100.0,495.42,0.09,48.0,52.0,20.0,11.0,33.0,8.0,23.0,N
0.0,3.0,0.0,0.0,2.0,2.0,6.0,4.0,12.17,0.03,25.0,102.19,0.4,7.0,18.0,5.0,12.0,5.0,0.0,4.0,N
1.0,11.0,0.0,1.0,6.0,2.0,21.0,14.0,16.12,0.12,74.0,366.61,0.35,25.0,49.0,11.0,20.0,17.0,6.67,14.0,N
0.0,3.0,0.0,0.0,2.0,2.0,7.0,7.0,8.41,0.03,23.0,85.11,0.25,9.0,14.0,4.0,9.0,8.0,0.0,7.0,N
1.0,3.0,0.0,2.0,2.0,2.0,8.0,7.0,15.23,0.03,20.0,76.15,0.18,10.0,10.0,7.0,7.0,11.0,22.22,7.0,N
0.0,9.0,0.0,0.0,5.0,4.0,20.0,17.0,24.55,0.19,110.0,581.39,0.28,45.0,65.0,19.0,20.0,18.0,0.0,17.0,N
9.0,11.0,0.0,6.0,6.0,2.0,30.0,29.0,36.38,0.29,159.0,873.2,0.11,72.0,87.0,27.0,18.0,53.0,17.14,29.0,N
2.0,7.0,0.0,0.0,4.0,3.0,15.0,13.0,14.24,0.06,42.0,181.52,0.25,17.0,25.0,8.0,12.0,16.0,0.0,13.0,N
1.0,3.0,0.0,0.0,2.0,1.0,7.0,6.0,15.9,0.03,25.0,102.19,0.25,9.0,16.0,7.0,10.0,8.0,0.0,6.0,N
1.0,7.0,0.0,0.0,4.0,2.0,15.0,13.0,15.39,0.1,61.0,310.34,0.27,22.0,39.0,12.0,22.0,15.0,0.0,13.0,N
1.0,11.0,1.0,0.0,6.0,2.0,17.0,20.0,21.74,0.15,87.0,438.86,0.26,38.0,49.0,16.0,17.0,23.0,4.76,21.0,N
1.0,15.0,0.0,1.0,8.0,8.0,27.0,19.0,23.36,0.14,85.0,428.77,0.36,39.0,46.0,17.0,16.0,22.0,5.0,19.0,N
2.0,7.0,0.0,2.0,4.0,3.0,19.0,16.0,35.44,0.12,69.0,351.03,0.19,32.0,37.0,21.0,13.0,21.0,11.11,16.0,N
1.0,5.0,0.0,1.0,3.0,3.0,8.0,7.0,19.38,0.03,24.0,98.1,0.3,9.0,15.0,8.0,9.0,10.0,12.5,7.0,N
1.0,5.0,0.0,1.0,3.0,2.0,9.0,9.0,10.79,0.05,37.0,157.17,0.25,17.0,20.0,7.0,12.0,12.0,10.0,9.0,N
1.0,9.0,0.0,1.0,5.0,3.0,19.0,14.0,27.69,0.09,56.0,280.0,0.29,26.0,30.0,18.0,14.0,17.0,6.67,14.0,N
1.0,9.0,0.0,2.0,5.0,5.0,14.0,10.0,14.4,0.08,49.0,230.32,0.36,20.0,29.0,10.0,16.0,14.0,16.67,10.0,N
1.0,9.0,0.0,2.0,5.0,5.0,14.0,10.0,13.06,0.07,45.0,208.97,0.36,18.0,27.0,9.0,16.0,14.0,16.67,10.0,N
1.0,5.0,0.0,1.0,3.0,2.0,9.0,10.0,12.54,0.05,37.0,159.91,0.23,17.0,20.0,8.0,12.0,13.0,9.09,10.0,N
1.0,5.0,0.0,1.0,3.0,3.0,12.0,13.0,19.11,0.07,45.0,200.67,0.19,21.0,24.0,11.0,11.0,16.0,7.14,13.0,N
1.0,3.0,0.0,0.0,2.0,2.0,6.0,3.0,11.23,0.05,37.0,157.17,0.4,10.0,27.0,5.0,14.0,5.0,0.0,3.0,N
2.0,7.0,0.0,0.0,4.0,2.0,13.0,10.0,16.12,0.08,51.0,230.7,0.31,22.0,29.0,10.0,13.0,13.0,0.0,10.0,N
2.0,13.0,0.0,0.0,7.0,5.0,24.0,13.0,7.8,0.11,74.0,339.29,0.44,29.0,45.0,6.0,18.0,16.0,0.0,13.0,N
2.0,9.0,0.0,0.0,5.0,4.0,18.0,8.0,7.35,0.05,38.0,155.32,0.45,13.0,25.0,4.0,13.0,11.0,0.0,8.0,N
0.0,3.0,0.0,0.0,2.0,2.0,6.0,6.0,11.86,0.03,27.0,102.8,0.29,13.0,14.0,6.0,8.0,7.0,0.0,6.0,N
1.0,11.0,0.0,0.0,6.0,2.0,21.0,18.0,22.75,0.15,88.0,454.95,0.3,40.0,48.0,18.0,18.0,20.0,0.0,18.0,N
2.0,15.0,0.0,0.0,8.0,8.0,37.0,27.0,31.82,0.24,127.0,713.07,0.18,55.0,72.0,27.0,22.0,45.0,0.0,27.0,N
4.0,5.0,0.0,0.0,3.0,2.0,10.0,7.0,13.13,0.05,34.0,144.43,0.25,16.0,18.0,8.0,11.0,12.0,0.0,7.0,N
1.0,5.0,0.0,0.0,3.0,3.0,12.0,13.0,19.41,0.08,53.0,249.12,0.2,22.0,31.0,12.0,14.0,15.0,0.0,13.0,N
3.0,15.0,0.0,0.0,8.0,6.0,36.0,21.0,37.88,0.26,141.0,791.67,0.15,66.0,75.0,30.0,19.0,55.0,0.0,21.0,N
13.0,71.0,4.0,1.0,36.0,24.0,150.0,84.0,118.25,1.18,516.0,3538.72,0.29,242.0,274.0,93.0,23.0,124.0,5.62,88.0,N
1.0,5.0,0.0,0.0,3.0,1.0,10.0,8.0,13.45,0.06,37.0,167.37,0.3,16.0,21.0,9.0,14.0,10.0,0.0,8.0,N
5.0,23.0,1.0,1.0,12.0,9.0,61.0,50.0,55.26,0.55,272.0,1644.08,0.21,119.0,153.0,44.0,22.0,58.0,3.85,51.0,N
1.0,5.0,0.0,0.0,3.0,3.0,16.0,13.0,35.93,0.07,43.0,202.12,0.2,18.0,25.0,16.0,10.0,15.0,0.0,13.0,N
2.0,13.0,0.0,3.0,7.0,4.0,28.0,20.0,25.13,0.16,91.0,477.56,0.33,38.0,53.0,19.0,19.0,21.0,13.04,20.0,N
6.0,35.0,0.0,1.0,18.0,11.0,79.0,62.0,50.27,0.66,319.0,1974.55,0.16,142.0,177.0,47.0,26.0,113.0,1.59,62.0,N
1.0,19.0,1.0,0.0,10.0,5.0,39.0,20.0,31.94,0.22,122.0,649.28,0.43,55.0,67.0,23.0,17.0,23.0,4.76,21.0,N
1.0,3.0,0.0,0.0,2.0,2.0,8.0,6.0,21.31,0.03,23.0,95.91,0.25,9.0,14.0,9.0,9.0,8.0,0.0,6.0,N
4.0,3.0,0.0,0.0,2.0,2.0,10.0,10.0,34.4,0.05,33.0,137.61,0.13,16.0,17.0,12.0,6.0,15.0,0.0,10.0,N
2.0,21.0,0.0,0.0,11.0,3.0,42.0,21.0,35.91,0.3,172.0,909.09,0.46,81.0,91.0,24.0,15.0,24.0,0.0,21.0,N
0.0,5.0,0.0,0.0,3.0,3.0,11.0,10.0,25.87,0.08,53.0,232.79,0.27,24.0,29.0,12.0,9.0,11.0,0.0,10.0,N
3.0,51.0,0.0,0.0,26.0,16.0,110.0,82.0,83.45,0.96,448.0,2893.83,0.3,196.0,252.0,65.0,23.0,86.0,0.0,82.0,N
2.0,11.0,7.0,1.0,6.0,3.0,19.0,18.0,43.77,0.16,93.0,494.94,0.21,42.0,51.0,26.0,14.0,29.0,30.77,25.0,N
17.0,51.0,35.0,159.0,33.0,27.0,127.0,218.0,109.99,2.67,1054.0,8002.45,0.12,452.0,602.0,146.0,47.0,268.0,47.09,253.0,N
2.0,5.0,1.0,0.0,3.0,2.0,11.0,14.0,19.11,0.07,45.0,200.67,0.17,21.0,24.0,11.0,11.0,18.0,6.67,15.0,N
11.0,13.0,12.0,0.0,7.0,4.0,32.0,49.0,96.31,0.63,304.0,1893.56,0.1,145.0,159.0,59.0,16.0,73.0,19.67,61.0,Y
9.0,13.0,7.0,4.0,7.0,6.0,37.0,40.0,67.47,0.3,149.0,890.61,0.11,66.0,83.0,45.0,18.0,61.0,21.57,47.0,Y
1.0,13.0,9.0,0.0,5.0,3.0,32.0,36.0,50.26,0.25,128.0,736.63,0.11,54.0,74.0,35.0,19.0,46.0,20.0,45.0,N
2.0,7.0,0.0,0.0,4.0,1.0,16.0,14.0,21.83,0.16,94.0,470.0,0.24,38.0,56.0,15.0,17.0,17.0,0.0,14.0,N
1.0,3.0,0.0,0.0,2.0,2.0,7.0,5.0,10.99,0.02,19.0,70.31,0.29,8.0,11.0,5.0,8.0,7.0,0.0,5.0,N
0.0,11.0,0.0,0.0,6.0,4.0,26.0,22.0,33.56,0.13,80.0,403.55,0.26,37.0,43.0,20.0,13.0,23.0,0.0,22.0,N
0.0,3.0,0.0,0.0,2.0,1.0,6.0,11.0,16.61,0.02,15.0,49.83,0.17,4.0,11.0,4.0,6.0,12.0,0.0,11.0,N
1.0,7.0,0.0,0.0,4.0,1.0,14.0,14.0,15.86,0.07,46.0,210.91,0.25,19.0,27.0,10.0,14.0,16.0,0.0,14.0,N
0.0,3.0,0.0,0.0,2.0,2.0,6.0,11.0,15.77,0.04,26.0,108.42,0.17,11.0,15.0,8.0,10.0,12.0,0.0,11.0,N
9.0,9.0,0.0,5.0,5.0,4.0,18.0,21.0,16.41,0.08,53.0,246.12,0.14,20.0,33.0,10.0,15.0,36.0,19.23,21.0,N
0.0,3.0,0.0,0.0,2.0,2.0,8.0,9.0,16.25,0.05,34.0,144.43,0.2,16.0,18.0,9.0,10.0,10.0,0.0,9.0,N
2.0,5.0,0.0,0.0,3.0,1.0,11.0,10.0,13.14,0.04,29.0,107.31,0.23,14.0,15.0,6.0,7.0,13.0,0.0,10.0,N
1.0,7.0,0.0,0.0,4.0,2.0,24.0,21.0,34.66,0.16,97.0,493.48,0.17,46.0,51.0,21.0,13.0,23.0,0.0,21.0,N
5.0,15.0,0.0,0.0,8.0,4.0,40.0,34.0,56.82,0.21,115.0,638.78,0.2,53.0,62.0,33.0,14.0,40.0,0.0,34.0,N
1.0,7.0,0.0,0.0,4.0,2.0,24.0,21.0,53.82,0.16,94.0,493.31,0.17,45.0,49.0,27.0,11.0,23.0,0.0,21.0,N
2.0,3.0,0.0,0.0,2.0,1.0,6.0,4.0,7.91,0.02,14.0,48.43,0.29,7.0,7.0,4.0,7.0,7.0,0.0,4.0,N
0.0,3.0,0.0,0.0,2.0,2.0,5.0,14.0,20.76,0.08,58.0,254.75,0.13,27.0,31.0,11.0,10.0,15.0,0.0,14.0,N
0.0,7.0,0.0,0.0,4.0,3.0,13.0,17.0,25.96,0.1,64.0,289.51,0.22,29.0,35.0,13.0,10.0,18.0,0.0,17.0,N
1.0,3.0,1.0,0.0,2.0,2.0,8.0,7.0,17.31,0.03,25.0,95.18,0.2,11.0,14.0,7.0,7.0,10.0,12.5,8.0,N
2.0,5.0,0.0,0.0,3.0,3.0,15.0,17.0,23.84,0.1,66.0,302.61,0.15,30.0,36.0,13.0,11.0,20.0,0.0,17.0,N
0.0,5.0,1.0,0.0,3.0,2.0,21.0,19.0,32.45,0.15,91.0,450.83,0.14,44.0,47.0,19.0,12.0,21.0,5.0,20.0,N
1.0,3.0,0.0,0.0,2.0,2.0,10.0,10.0,20.81,0.06,42.0,187.3,0.17,18.0,24.0,11.0,11.0,12.0,0.0,10.0,N
3.0,13.0,0.0,2.0,7.0,7.0,32.0,22.0,34.83,0.18,111.0,549.92,0.25,50.0,61.0,19.0,12.0,28.0,8.33,22.0,N
2.0,5.0,0.0,3.0,3.0,2.0,9.0,8.0,12.16,0.02,19.0,68.11,0.33,8.0,11.0,5.0,7.0,9.0,27.27,8.0,N
1.0,13.0,0.0,0.0,7.0,1.0,21.0,13.0,10.33,0.07,50.0,219.62,0.47,17.0,33.0,6.0,15.0,15.0,0.0,13.0,N
4.0,41.0,4.0,1.0,21.0,20.0,117.0,73.0,104.65,1.01,441.0,3040.61,0.25,198.0,243.0,92.0,27.0,83.0,6.41,77.0,N
1.0,7.0,0.0,0.0,4.0,2.0,13.0,9.0,12.65,0.07,46.0,210.91,0.36,20.0,26.0,9.0,15.0,11.0,0.0,9.0,N
1.0,7.0,0.0,0.0,4.0,3.0,17.0,11.0,16.45,0.08,52.0,235.23,0.31,22.0,30.0,10.0,13.0,13.0,0.0,11.0,N
1.0,5.0,0.0,0.0,3.0,2.0,9.0,7.0,13.8,0.04,26.0,108.42,0.33,10.0,16.0,7.0,11.0,9.0,0.0,7.0,N
1.0,5.0,0.0,0.0,3.0,2.0,10.0,10.0,14.12,0.05,34.0,153.8,0.25,14.0,20.0,9.0,14.0,12.0,0.0,10.0,N
18.0,17.0,2.0,0.0,15.0,2.0,35.0,120.0,58.14,1.17,532.0,3503.2,0.11,241.0,291.0,64.0,32.0,141.0,1.64,122.0,N
5.0,7.0,2.0,0.0,4.0,2.0,11.0,9.0,17.46,0.08,52.0,244.42,0.24,24.0,28.0,12.0,14.0,17.0,18.18,11.0,N
6.0,5.0,2.0,3.0,3.0,2.0,13.0,13.0,22.11,0.08,51.0,233.83,0.12,25.0,26.0,13.0,11.0,25.0,27.78,15.0,N
10.0,5.0,2.0,2.0,3.0,1.0,13.0,34.0,61.05,0.48,254.0,1447.91,0.06,117.0,137.0,37.0,15.0,49.0,10.53,36.0,Y
13.0,5.0,2.0,8.0,3.0,1.0,10.0,46.0,120.16,0.61,284.0,1815.42,0.04,139.0,145.0,69.0,15.0,70.0,17.86,48.0,N
13.0,11.0,2.0,9.0,6.0,1.0,22.0,21.0,25.45,0.26,141.0,765.1,0.13,63.0,78.0,22.0,21.0,46.0,34.38,23.0,N
21.0,14.0,4.0,8.0,8.0,4.0,33.0,37.0,45.07,0.26,134.0,784.97,0.11,57.0,77.0,36.0,22.0,71.0,24.49,41.0,N
13.0,16.0,2.0,0.0,12.0,7.0,34.0,58.0,40.9,0.36,183.0,1080.96,0.16,74.0,109.0,35.0,25.0,74.0,3.33,60.0,Y
10.0,9.0,4.0,6.0,5.0,2.0,20.0,14.0,26.25,0.12,72.0,356.7,0.14,33.0,39.0,17.0,14.0,35.0,41.67,18.0,N
16.0,15.0,4.0,2.0,9.0,7.0,33.0,36.0,41.98,0.32,165.0,974.64,0.15,65.0,100.0,35.0,25.0,59.0,14.29,40.0,N
2.0,3.0,0.0,1.0,2.0,1.0,6.0,5.0,11.42,0.02,18.0,68.53,0.22,9.0,9.0,6.0,8.0,9.0,16.67,5.0,N
2.0,7.0,0.0,0.0,4.0,1.0,13.0,9.0,7.44,0.03,28.0,100.38,0.33,9.0,19.0,3.0,9.0,12.0,0.0,9.0,N
0.0,3.0,0.0,0.0,2.0,2.0,6.0,5.0,17.11,0.03,22.0,88.0,0.33,8.0,14.0,7.0,9.0,6.0,0.0,5.0,N
1.0,3.0,0.0,0.0,2.0,2.0,7.0,9.0,16.96,0.04,28.0,114.45,0.18,12.0,16.0,8.0,9.0,11.0,0.0,9.0,N
2.0,3.0,0.0,0.0,2.0,2.0,7.0,9.0,15.57,0.04,28.0,116.76,0.17,12.0,16.0,8.0,10.0,12.0,0.0,9.0,N
1.0,5.0,0.0,0.0,3.0,2.0,11.0,6.0,17.3,0.02,21.0,72.65,0.38,7.0,14.0,5.0,6.0,8.0,0.0,6.0,N
0.0,5.0,0.0,0.0,3.0,1.0,9.0,6.0,15.36,0.03,21.0,75.28,0.43,7.0,14.0,5.0,7.0,7.0,0.0,6.0,N
0.0,5.0,0.0,0.0,3.0,1.0,7.0,5.0,13.11,0.02,17.0,62.91,0.5,6.0,11.0,5.0,8.0,6.0,0.0,5.0,N
0.0,5.0,0.0,0.0,3.0,1.0,7.0,5.0,13.11,0.02,17.0,62.91,0.5,6.0,11.0,5.0,8.0,6.0,0.0,5.0,N
0.0,5.0,0.0,0.0,3.0,1.0,7.0,5.0,13.11,0.02,17.0,62.91,0.5,6.0,11.0,5.0,8.0,6.0,0.0,5.0,N
2.0,3.0,2.0,3.0,2.0,1.0,5.0,6.0,7.33,0.01,11.0,33.0,0.14,3.0,8.0,2.0,6.0,14.0,45.45,8.0,N
7.0,5.0,5.0,9.0,3.0,2.0,12.0,17.0,27.97,0.08,55.0,241.58,0.08,19.0,36.0,11.0,10.0,39.0,45.16,22.0,N
4.0,3.0,1.0,3.0,2.0,2.0,8.0,6.0,21.33,0.03,24.0,96.0,0.13,9.0,15.0,8.0,8.0,15.0,40.0,7.0,N
0.0,5.0,0.0,0.0,3.0,1.0,7.0,5.0,13.11,0.02,17.0,62.91,0.5,6.0,11.0,5.0,8.0,6.0,0.0,5.0,N
5.0,3.0,0.0,0.0,2.0,1.0,6.0,7.0,14.04,0.01,10.0,28.07,0.15,3.0,7.0,3.0,4.0,13.0,0.0,7.0,N
2.0,17.0,0.0,0.0,9.0,4.0,32.0,19.0,28.4,0.26,145.0,786.81,0.41,70.0,75.0,24.0,19.0,22.0,0.0,19.0,N
0.0,3.0,0.0,1.0,2.0,1.0,6.0,6.0,5.18,0.03,21.0,77.71,0.25,9.0,12.0,3.0,10.0,8.0,14.29,6.0,N
1.0,9.0,0.0,0.0,5.0,5.0,24.0,19.0,45.44,0.2,111.0,590.73,0.24,54.0,57.0,27.0,13.0,21.0,0.0,19.0,N
