@relation SelectedFeatures
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute DECISION_DENSITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute HALSTEAD_VOLUME numeric
@attribute NODE_COUNT numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute NUMBER_OF_LINES numeric
@attribute PERCENT_COMMENTS numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
2.0,0.0,2.0,1.0,21.78,6.05,797.21,0.04,30.0,44.29,131.77,6.0,0.4,11.0,19.0,10.0,11.0,5.0,66.67,3.0,N
5.0,0.0,2.5,2.0,13.32,13.71,2505.06,0.06,43.0,139.17,182.66,16.0,0.55,16.0,27.0,7.0,12.0,11.0,71.43,7.0,N
3.0,0.0,2.0,1.0,11.98,7.5,673.94,0.03,23.0,37.44,89.86,7.0,0.33,10.0,13.0,6.0,9.0,6.0,75.0,4.0,N
3.0,0.0,2.0,1.0,14.14,7.07,707.14,0.03,25.0,39.29,100.0,7.0,0.29,11.0,14.0,7.0,9.0,7.0,75.0,4.0,N
4.0,0.0,2.0,1.0,6.18,5.0,154.4,0.01,11.0,8.58,30.88,6.0,0.29,4.0,7.0,2.0,5.0,7.0,80.0,5.0,N
1.0,0.0,2.0,1.0,6.97,5.0,174.35,0.01,11.0,9.69,34.87,7.0,0.5,5.0,6.0,3.0,6.0,4.0,50.0,2.0,N
5.0,0.0,2.0,1.0,5.1,20.17,2073.1,0.03,27.0,115.17,102.8,10.0,0.5,11.0,16.0,3.0,11.0,8.0,83.33,6.0,N
5.0,0.0,2.0,1.0,6.44,18.0,2088.0,0.04,29.0,116.0,116.0,11.0,0.44,12.0,17.0,4.0,12.0,9.0,83.33,6.0,N
1.0,0.0,2.0,1.0,5.05,5.0,126.33,0.01,9.0,7.02,25.27,6.0,0.5,4.0,5.0,2.0,5.0,4.0,50.0,2.0,N
1.0,0.0,2.0,1.0,5.05,5.0,126.33,0.01,9.0,7.02,25.27,6.0,0.5,4.0,5.0,2.0,5.0,4.0,50.0,2.0,N
7.0,0.0,2.5,2.0,10.84,18.42,3676.94,0.07,47.0,204.27,199.65,11.0,0.31,17.0,30.0,6.0,13.0,13.0,77.78,9.0,N
7.0,0.0,2.5,2.0,13.49,15.43,3211.43,0.07,49.0,178.41,208.15,12.0,0.31,18.0,31.0,7.0,12.0,13.0,77.78,9.0,N
4.0,0.0,2.0,1.0,6.18,5.0,154.4,0.01,11.0,8.58,30.88,6.0,0.29,4.0,7.0,2.0,5.0,7.0,80.0,5.0,N
1.0,0.0,2.0,1.0,6.97,5.0,174.35,0.01,11.0,9.69,34.87,7.0,0.5,5.0,6.0,3.0,6.0,4.0,50.0,2.0,N
5.0,0.0,2.0,1.0,5.1,20.17,2073.1,0.03,27.0,115.17,102.8,10.0,0.5,11.0,16.0,3.0,11.0,8.0,83.33,6.0,N
5.0,0.0,2.0,1.0,6.44,18.0,2088.0,0.04,29.0,116.0,116.0,11.0,0.44,12.0,17.0,4.0,12.0,9.0,83.33,6.0,N
1.0,0.0,2.0,1.0,5.05,5.0,126.33,0.01,9.0,7.02,25.27,6.0,0.5,4.0,5.0,2.0,5.0,4.0,50.0,2.0,N
1.0,0.0,2.0,1.0,5.05,5.0,126.33,0.01,9.0,7.02,25.27,6.0,0.5,4.0,5.0,2.0,5.0,4.0,50.0,2.0,N
6.0,0.0,3.0,2.0,8.11,11.25,1027.99,0.03,24.0,57.11,91.38,7.0,0.25,9.0,15.0,4.0,10.0,12.0,75.0,8.0,N
6.0,0.0,3.0,2.0,10.16,10.0,1015.79,0.03,26.0,56.43,101.58,8.0,0.23,10.0,16.0,5.0,10.0,13.0,75.0,8.0,N
21.0,1.0,2.0,4.0,13.94,25.0,8711.43,0.12,76.0,483.97,348.46,23.0,0.21,30.0,46.0,9.0,15.0,29.0,84.62,25.0,N
21.0,1.0,2.0,4.0,17.18,20.8,7433.12,0.12,79.0,412.95,357.36,25.0,0.21,32.0,47.0,10.0,13.0,29.0,84.62,25.0,N
2.0,0.0,2.0,1.0,10.99,6.4,449.97,0.02,19.0,25.0,70.31,6.0,0.33,8.0,11.0,5.0,8.0,6.0,66.67,3.0,N
2.0,0.0,2.0,1.0,13.33,6.0,479.73,0.03,21.0,26.65,79.95,6.0,0.33,9.0,12.0,6.0,8.0,6.0,66.67,3.0,N
1.0,0.0,2.0,1.0,8.0,3.0,72.0,0.01,8.0,4.0,24.0,2.0,0.25,2.0,6.0,2.0,6.0,4.0,50.0,2.0,N
1.0,0.0,2.0,1.0,14.8,3.5,181.32,0.02,14.0,10.07,51.81,8.0,0.33,6.0,8.0,6.0,7.0,6.0,50.0,2.0,N
1.0,0.0,2.0,1.0,14.8,3.5,181.32,0.02,14.0,10.07,51.81,8.0,0.33,6.0,8.0,6.0,7.0,6.0,50.0,2.0,N
1.0,0.0,2.0,1.0,8.0,3.0,72.0,0.01,8.0,4.0,24.0,2.0,0.25,2.0,6.0,2.0,6.0,4.0,50.0,2.0,N
1.0,0.0,2.0,1.0,8.0,3.0,72.0,0.01,8.0,4.0,24.0,2.0,0.25,2.0,6.0,2.0,6.0,4.0,50.0,2.0,N
3.0,0.0,2.0,1.0,16.32,5.14,432.0,0.03,21.0,24.0,84.0,7.0,0.33,8.0,13.0,7.0,9.0,6.0,75.0,4.0,N
2.0,0.0,2.0,1.0,14.31,7.14,729.9,0.03,25.0,40.55,102.19,11.0,0.6,10.0,15.0,7.0,10.0,5.0,66.67,3.0,N
14.0,0.0,2.0,2.0,20.4,20.68,8723.93,0.14,92.0,484.66,421.82,16.0,0.11,35.0,57.0,11.0,13.0,19.0,87.5,16.0,N
1.0,0.0,2.0,1.0,12.29,3.5,150.57,0.01,12.0,8.36,43.02,7.0,0.33,5.0,7.0,5.0,7.0,6.0,50.0,2.0,N
1.0,0.0,2.0,1.0,14.8,3.5,181.32,0.02,14.0,10.07,51.81,8.0,0.33,6.0,8.0,6.0,7.0,6.0,50.0,2.0,N
1.0,0.0,2.0,1.0,14.8,3.5,181.32,0.02,14.0,10.07,51.81,8.0,0.33,6.0,8.0,6.0,7.0,6.0,50.0,2.0,N
10.0,0.0,2.0,1.0,11.99,30.94,11475.71,0.12,82.0,637.54,370.93,31.0,0.43,33.0,49.0,8.0,15.0,14.0,90.91,11.0,N
1.0,0.0,2.0,1.0,14.8,3.5,181.32,0.02,14.0,10.07,51.81,8.0,0.33,6.0,8.0,6.0,7.0,6.0,50.0,2.0,N
1.0,0.0,2.0,1.0,14.8,3.5,181.32,0.02,14.0,10.07,51.81,8.0,0.33,6.0,8.0,6.0,7.0,6.0,50.0,2.0,N
1.0,0.0,2.0,1.0,8.0,3.0,72.0,0.01,8.0,4.0,24.0,2.0,0.25,2.0,6.0,2.0,6.0,4.0,50.0,2.0,N
1.0,0.0,2.0,1.0,8.0,3.0,72.0,0.01,8.0,4.0,24.0,2.0,0.25,2.0,6.0,2.0,6.0,4.0,50.0,2.0,N
14.0,2.0,2.0,4.0,25.76,15.43,6132.21,0.13,81.0,340.68,397.46,25.0,0.18,27.0,54.0,14.0,16.0,22.0,80.0,18.0,N
1.0,4.0,2.0,1.0,11.24,4.0,179.89,0.01,13.0,9.99,44.97,3.0,0.13,3.0,10.0,3.0,8.0,8.0,83.33,2.0,N
1.0,0.0,2.0,1.0,12.29,3.5,150.57,0.01,12.0,8.36,43.02,7.0,0.33,5.0,7.0,5.0,7.0,6.0,50.0,2.0,N
1.0,0.0,2.0,1.0,14.8,3.5,181.32,0.02,14.0,10.07,51.81,8.0,0.33,6.0,8.0,6.0,7.0,6.0,50.0,2.0,N
1.0,0.0,2.0,1.0,14.8,3.5,181.32,0.02,14.0,10.07,51.81,8.0,0.33,6.0,8.0,6.0,7.0,6.0,50.0,2.0,N
1.0,0.0,3.0,1.0,7.0,6.0,252.0,0.01,14.0,14.0,42.0,5.0,0.5,4.0,10.0,2.0,6.0,4.0,50.0,2.0,N
1.0,0.0,2.0,1.0,14.8,3.5,181.32,0.02,14.0,10.07,51.81,8.0,0.33,6.0,8.0,6.0,7.0,6.0,50.0,2.0,N
1.0,0.0,2.0,1.0,14.8,3.5,181.32,0.02,14.0,10.07,51.81,8.0,0.33,6.0,8.0,6.0,7.0,6.0,50.0,2.0,N
1.0,0.0,2.0,1.0,14.8,3.5,181.32,0.02,14.0,10.07,51.81,8.0,0.33,6.0,8.0,6.0,7.0,6.0,50.0,2.0,N
1.0,0.0,2.0,1.0,14.8,3.5,181.32,0.02,14.0,10.07,51.81,8.0,0.33,6.0,8.0,6.0,7.0,6.0,50.0,2.0,N
1.0,0.0,2.0,1.0,8.0,3.0,72.0,0.01,8.0,4.0,24.0,2.0,0.25,2.0,6.0,2.0,6.0,4.0,50.0,2.0,N
1.0,0.0,2.0,1.0,8.0,3.0,72.0,0.01,8.0,4.0,24.0,2.0,0.25,2.0,6.0,2.0,6.0,4.0,50.0,2.0,N
12.0,3.0,3.5,2.0,15.45,16.5,4205.45,0.08,60.0,233.64,254.88,20.0,0.3,24.0,36.0,8.0,11.0,20.0,88.24,14.0,N
3.0,0.0,2.0,1.0,9.68,5.83,329.42,0.02,17.0,18.3,56.47,5.0,0.33,5.0,12.0,3.0,7.0,6.0,75.0,4.0,N
2.0,0.0,2.0,1.0,10.99,6.4,449.97,0.02,19.0,25.0,70.31,6.0,0.29,8.0,11.0,5.0,8.0,7.0,66.67,3.0,N
2.0,0.0,2.0,1.0,13.33,6.0,479.73,0.03,21.0,26.65,79.95,6.0,0.29,9.0,12.0,6.0,8.0,7.0,66.67,3.0,N
4.0,0.0,2.0,1.0,15.86,6.0,571.1,0.03,25.0,31.73,95.18,8.0,0.22,12.0,13.0,7.0,7.0,9.0,80.0,5.0,N
4.0,0.0,2.0,1.0,18.55,5.69,599.95,0.04,27.0,33.33,105.49,8.0,0.22,13.0,14.0,8.0,7.0,9.0,80.0,5.0,N
21.0,0.0,2.0,4.0,9.14,26.0,6179.83,0.08,57.0,343.32,237.69,26.0,0.29,20.0,37.0,5.0,13.0,28.0,84.0,25.0,N
2.0,0.0,2.0,1.0,8.71,7.0,426.61,0.02,17.0,23.7,60.94,6.0,0.4,7.0,10.0,4.0,8.0,5.0,66.67,3.0,N
2.0,0.0,2.0,1.0,10.99,6.4,449.97,0.02,19.0,25.0,70.31,6.0,0.33,8.0,11.0,5.0,8.0,6.0,66.67,3.0,N
7.0,0.0,2.0,2.0,12.87,8.75,985.14,0.04,27.0,54.73,112.59,11.0,0.27,14.0,13.0,8.0,10.0,11.0,77.78,9.0,N
8.0,0.0,2.0,2.0,14.14,10.39,1526.6,0.05,34.0,84.81,146.95,15.0,0.33,17.0,17.0,9.0,11.0,12.0,80.0,10.0,N
21.0,1.0,2.0,4.0,13.94,25.0,8711.43,0.12,76.0,483.97,348.46,23.0,0.21,30.0,46.0,9.0,15.0,29.0,84.62,25.0,N
21.0,1.0,2.0,4.0,17.18,20.8,7433.12,0.12,79.0,412.95,357.36,25.0,0.21,32.0,47.0,10.0,13.0,29.0,84.62,25.0,N
3.0,0.0,2.0,1.0,10.79,7.2,559.51,0.03,21.0,31.08,77.71,7.0,0.33,9.0,12.0,5.0,8.0,6.0,75.0,4.0,N
3.0,0.0,2.0,1.0,13.14,6.67,583.79,0.03,23.0,32.43,87.57,7.0,0.29,10.0,13.0,6.0,8.0,7.0,75.0,4.0,N
3.0,0.0,2.0,1.0,8.94,14.0,1751.37,0.04,30.0,97.3,125.1,11.0,0.43,14.0,16.0,6.0,12.0,7.0,75.0,4.0,N
4.0,0.0,3.0,1.0,7.99,7.88,495.4,0.02,17.0,27.52,62.91,7.0,0.43,7.0,10.0,4.0,9.0,7.0,80.0,5.0,N
6.0,0.0,3.0,1.0,7.87,15.0,1770.42,0.04,31.0,98.36,118.03,13.0,0.56,12.0,19.0,4.0,10.0,9.0,85.71,7.0,N
4.0,0.0,3.0,1.0,7.99,7.88,495.4,0.02,17.0,27.52,62.91,7.0,0.43,7.0,10.0,4.0,9.0,7.0,80.0,5.0,N
6.0,0.0,3.0,1.0,7.87,15.0,1770.42,0.04,31.0,98.36,118.03,13.0,0.56,12.0,19.0,4.0,10.0,9.0,85.71,7.0,N
9.0,0.0,2.0,1.0,17.11,7.7,1014.63,0.04,30.0,56.37,131.77,9.0,0.25,14.0,16.0,10.0,11.0,12.0,90.0,10.0,N
3.0,0.0,2.0,1.0,10.79,10.5,1189.65,0.04,29.0,66.09,113.3,7.0,0.29,14.0,15.0,6.0,9.0,7.0,75.0,4.0,N
4.0,0.0,2.0,1.0,17.18,8.56,1257.2,0.05,34.0,69.84,146.95,10.0,0.29,14.0,20.0,9.0,11.0,7.0,80.0,5.0,N
5.0,0.0,2.0,2.0,9.87,9.0,799.29,0.03,24.0,44.41,88.81,8.0,0.3,8.0,16.0,4.0,9.0,10.0,71.43,7.0,N
5.0,0.0,2.0,2.0,8.88,11.0,1074.39,0.03,25.0,59.69,97.67,9.0,0.3,8.0,17.0,4.0,11.0,10.0,71.43,7.0,N
3.0,0.0,2.0,1.0,10.79,10.5,1189.65,0.04,29.0,66.09,113.3,7.0,0.29,14.0,15.0,6.0,9.0,7.0,75.0,4.0,N
11.0,0.0,2.33,4.0,17.47,10.39,1885.8,0.06,42.0,104.77,181.52,13.0,0.28,17.0,25.0,9.0,11.0,18.0,73.33,15.0,N
4.0,0.0,2.0,2.0,8.93,7.88,553.68,0.02,19.0,30.76,70.31,8.0,0.33,7.0,12.0,4.0,9.0,9.0,66.67,6.0,N
31.0,22.0,2.56,5.0,39.5,33.6,44598.88,0.44,234.0,2477.72,1327.35,64.0,0.23,96.0,138.0,30.0,21.0,66.0,91.38,36.0,N
5.0,0.0,2.0,2.0,10.85,9.0,879.05,0.03,25.0,48.84,97.67,9.0,0.27,9.0,16.0,5.0,10.0,11.0,71.43,7.0,N
8.0,0.0,2.0,2.0,11.72,10.0,1172.07,0.04,30.0,65.11,117.21,10.0,0.21,10.0,20.0,5.0,10.0,14.0,80.0,10.0,N
4.0,0.0,2.0,2.0,8.93,7.88,553.68,0.02,19.0,30.76,70.31,9.0,0.33,7.0,12.0,4.0,9.0,9.0,66.67,6.0,N
1.0,0.0,2.0,1.0,9.0,3.33,100.0,0.01,10.0,5.56,30.0,6.0,0.5,4.0,6.0,3.0,5.0,4.0,50.0,2.0,N
5.0,1.0,2.0,1.0,14.41,10.83,1690.87,0.05,35.0,93.94,156.08,14.0,0.44,15.0,20.0,9.0,13.0,9.0,85.71,6.0,N
2.0,0.0,2.0,1.0,7.65,7.5,430.2,0.02,16.0,23.9,57.36,5.0,0.29,5.0,11.0,3.0,9.0,7.0,66.67,3.0,N
15.0,2.0,2.0,4.0,18.72,17.36,5641.07,0.11,65.0,313.39,325.0,27.0,0.24,27.0,38.0,14.0,18.0,25.0,80.95,19.0,N
4.0,4.0,3.0,2.0,12.15,9.0,984.54,0.04,28.0,54.7,109.39,8.0,0.23,12.0,16.0,6.0,9.0,13.0,80.0,6.0,N
11.0,0.0,2.33,3.0,11.3,18.42,3833.4,0.07,49.0,212.97,208.15,13.0,0.28,17.0,32.0,6.0,13.0,18.0,78.57,14.0,N
11.0,0.0,2.33,3.0,13.82,16.29,3666.57,0.08,53.0,203.7,225.14,15.0,0.28,19.0,34.0,7.0,12.0,18.0,78.57,14.0,N
11.0,0.0,2.33,3.0,11.17,15.4,2648.8,0.06,43.0,147.16,172.0,12.0,0.28,14.0,29.0,5.0,11.0,18.0,78.57,14.0,N
11.0,0.0,2.33,3.0,12.25,16.0,3135.78,0.07,47.0,174.21,195.99,14.0,0.28,16.0,31.0,6.0,12.0,18.0,78.57,14.0,N
11.0,0.0,2.33,3.0,11.2,22.75,5798.42,0.08,60.0,322.13,254.88,14.0,0.25,21.0,39.0,6.0,13.0,20.0,78.57,14.0,N
11.0,0.0,2.33,3.0,13.79,19.71,5359.67,0.09,64.0,297.76,271.87,16.0,0.25,23.0,41.0,7.0,12.0,20.0,78.57,14.0,N
11.0,0.0,2.33,3.0,11.59,23.83,6580.75,0.09,65.0,365.6,276.12,14.0,0.28,22.0,43.0,6.0,13.0,18.0,78.57,14.0,N
11.0,0.0,2.33,3.0,14.25,20.57,6029.63,0.1,69.0,334.98,293.11,16.0,0.28,24.0,45.0,7.0,12.0,18.0,78.57,14.0,N
1.0,0.0,2.0,1.0,7.92,4.0,126.8,0.01,10.0,7.04,31.7,6.0,0.4,4.0,6.0,3.0,6.0,5.0,50.0,2.0,N
1.0,0.0,2.0,1.0,6.97,5.0,174.35,0.01,11.0,9.69,34.87,6.0,0.4,5.0,6.0,3.0,6.0,5.0,50.0,2.0,N
4.0,0.0,2.0,2.0,8.96,8.0,573.59,0.02,20.0,31.87,71.7,6.0,0.25,8.0,12.0,4.0,8.0,8.0,66.67,6.0,N
4.0,0.0,2.0,2.0,11.1,8.0,710.48,0.03,24.0,39.47,88.81,6.0,0.25,10.0,14.0,5.0,8.0,8.0,66.67,6.0,N
1.0,0.0,2.0,1.0,8.36,6.0,301.14,0.02,14.0,16.73,50.19,6.0,0.5,6.0,8.0,4.0,8.0,4.0,50.0,2.0,N
1.0,0.0,2.0,1.0,10.57,5.6,331.56,0.02,16.0,18.42,59.21,6.0,0.4,7.0,9.0,5.0,8.0,5.0,50.0,2.0,N
4.0,0.0,2.0,2.0,11.31,7.2,586.15,0.03,22.0,32.56,81.41,7.0,0.22,9.0,13.0,5.0,8.0,9.0,66.67,6.0,N
4.0,0.0,2.0,2.0,13.71,6.67,609.18,0.03,24.0,33.84,91.38,7.0,0.22,10.0,14.0,6.0,8.0,9.0,66.67,6.0,N
10.0,0.0,2.0,1.0,11.99,30.94,11475.71,0.12,82.0,637.54,370.93,31.0,0.46,33.0,49.0,8.0,15.0,13.0,90.91,11.0,N
12.0,3.0,3.5,2.0,15.45,16.5,4205.45,0.08,60.0,233.64,254.88,20.0,0.32,24.0,36.0,8.0,11.0,19.0,88.24,14.0,N
57.0,10.0,2.25,5.0,31.63,42.73,57745.67,0.45,222.0,3208.09,1351.42,67.0,0.25,102.0,120.0,37.0,31.0,75.0,93.06,62.0,N
2.0,0.0,2.0,1.0,12.63,2.0,50.53,0.01,9.0,2.81,25.27,6.0,0.4,3.0,6.0,3.0,4.0,5.0,66.67,3.0,N
18.0,0.0,2.0,2.0,27.87,16.97,8030.83,0.16,93.0,446.16,473.13,38.0,0.39,43.0,50.0,19.0,15.0,23.0,90.0,20.0,N
18.0,0.0,2.0,2.0,29.48,16.88,8396.0,0.17,97.0,466.44,497.54,38.0,0.39,45.0,52.0,20.0,15.0,23.0,90.0,20.0,N
3.0,0.0,2.0,1.0,15.95,5.14,421.94,0.03,21.0,23.44,82.04,8.0,0.33,9.0,12.0,7.0,8.0,6.0,75.0,4.0,N
3.0,0.0,2.0,1.0,13.11,4.8,301.96,0.02,17.0,16.78,62.91,7.0,0.33,6.0,11.0,5.0,8.0,6.0,75.0,4.0,N
9.0,0.0,2.0,2.0,11.84,17.06,3447.42,0.07,46.0,191.52,202.05,14.0,0.31,21.0,25.0,8.0,13.0,13.0,81.82,11.0,N
3.0,0.0,2.0,1.0,18.43,7.15,942.15,0.04,30.0,52.34,131.77,9.0,0.29,13.0,17.0,10.0,11.0,7.0,75.0,4.0,N
2.0,0.0,2.0,1.0,9.56,6.0,344.16,0.02,16.0,19.12,57.36,6.0,0.33,6.0,10.0,4.0,8.0,6.0,66.67,3.0,N
2.0,0.0,2.0,1.0,9.87,6.75,449.6,0.02,18.0,24.98,66.61,6.0,0.33,6.0,12.0,4.0,9.0,6.0,66.67,3.0,N
2.0,0.0,2.0,1.0,12.28,7.0,601.66,0.03,22.0,33.43,85.95,6.0,0.29,7.0,15.0,5.0,10.0,7.0,66.67,3.0,N
2.0,0.0,2.0,1.0,9.65,7.5,542.55,0.02,19.0,30.14,72.34,6.0,0.33,6.0,13.0,4.0,10.0,6.0,66.67,3.0,N
1.0,0.0,2.0,1.0,9.21,5.63,291.41,0.02,14.0,16.19,51.81,6.0,0.4,5.0,9.0,4.0,9.0,5.0,50.0,2.0,N
2.0,0.0,2.0,1.0,9.75,6.25,380.74,0.02,16.0,21.15,60.92,6.0,0.4,5.0,11.0,4.0,10.0,5.0,66.67,3.0,N
2.0,4.0,2.0,1.0,10.81,6.3,429.12,0.02,19.0,23.84,68.11,7.0,0.2,9.0,10.0,5.0,7.0,10.0,85.71,3.0,N
3.0,4.0,2.0,1.0,13.32,5.83,453.3,0.03,21.0,25.18,77.71,7.0,0.17,10.0,11.0,6.0,7.0,12.0,87.5,4.0,N
2.0,0.0,2.0,1.0,10.38,4.0,166.05,0.01,12.0,9.23,41.51,6.0,0.4,3.0,9.0,3.0,8.0,5.0,66.67,3.0,N
6.0,0.0,2.0,1.0,25.76,6.8,1190.93,0.06,42.0,66.16,175.14,14.0,0.22,17.0,25.0,10.0,8.0,9.0,85.71,7.0,N
2.0,0.0,2.0,1.0,10.38,4.0,166.05,0.01,12.0,9.23,41.51,6.0,0.4,3.0,9.0,3.0,8.0,5.0,66.67,3.0,N
21.0,0.0,2.0,2.0,32.65,16.07,8441.45,0.18,105.0,468.97,525.0,40.0,0.32,47.0,58.0,19.0,13.0,25.0,91.3,23.0,N
12.0,0.0,2.0,1.0,18.67,9.63,1729.78,0.06,46.0,96.1,179.72,21.0,0.33,22.0,24.0,8.0,7.0,15.0,92.31,13.0,N
28.0,0.0,2.2,3.0,27.69,20.43,11551.11,0.19,107.0,641.73,565.54,42.0,0.29,43.0,64.0,20.0,19.0,34.0,90.32,31.0,N
28.0,0.0,2.2,3.0,27.69,20.43,11551.11,0.19,107.0,641.73,565.54,42.0,0.29,43.0,64.0,20.0,19.0,34.0,90.32,31.0,N
3.0,0.0,2.0,1.0,8.6,10.0,859.52,0.03,22.0,47.75,85.95,6.0,0.33,10.0,12.0,5.0,10.0,6.0,75.0,4.0,N
7.0,0.0,2.0,1.0,25.4,8.36,1776.41,0.07,50.0,98.69,212.4,11.0,0.3,23.0,27.0,11.0,8.0,10.0,87.5,8.0,N
23.0,0.0,2.0,6.0,21.63,24.5,12985.0,0.18,106.0,721.39,530.0,31.0,0.16,49.0,57.0,16.0,16.0,31.0,79.31,29.0,N
5.0,0.0,2.0,2.0,14.8,5.25,407.97,0.03,21.0,22.67,77.71,5.0,0.22,9.0,12.0,6.0,7.0,9.0,71.43,7.0,N
6.0,0.0,2.0,1.0,10.38,12.07,1512.98,0.04,29.0,84.05,125.34,12.0,0.33,13.0,16.0,7.0,13.0,9.0,85.71,7.0,N
5.0,0.0,2.0,1.0,15.08,11.7,2064.1,0.06,39.0,114.67,176.42,13.0,0.38,18.0,21.0,10.0,13.0,8.0,83.33,6.0,N
5.0,0.0,2.0,1.0,14.87,9.75,1413.23,0.05,33.0,78.51,144.95,12.0,0.25,12.0,21.0,8.0,13.0,8.0,83.33,6.0,N
5.0,0.0,2.0,1.0,13.12,11.56,1752.06,0.05,34.0,97.34,151.62,12.0,0.38,16.0,18.0,9.0,13.0,8.0,83.33,6.0,N
22.0,0.0,2.2,4.0,21.29,26.07,14467.0,0.19,111.0,803.72,555.0,22.0,0.25,46.0,65.0,15.0,17.0,28.0,84.62,26.0,N
17.0,0.0,2.0,3.0,24.02,14.31,4916.77,0.11,74.0,273.15,343.65,16.0,0.18,31.0,43.0,13.0,12.0,22.0,85.0,20.0,N
17.0,0.0,2.0,3.0,21.14,17.77,6674.76,0.13,79.0,370.82,375.64,16.0,0.18,33.0,46.0,13.0,14.0,22.0,85.0,20.0,N
4.0,0.0,2.0,1.0,10.78,11.0,1303.9,0.04,29.0,72.44,118.54,12.0,0.43,12.0,17.0,6.0,11.0,7.0,80.0,5.0,N
16.0,0.0,2.0,4.0,14.48,20.45,6057.16,0.1,63.0,336.51,296.13,23.0,0.27,30.0,33.0,11.0,15.0,22.0,80.0,20.0,N
6.0,0.0,2.0,2.0,10.29,11.67,1400.0,0.04,30.0,77.78,120.0,8.0,0.2,14.0,16.0,6.0,10.0,10.0,75.0,8.0,N
67.0,0.0,2.53,12.0,27.43,62.5,107141.35,0.57,314.0,5952.3,1714.26,85.0,0.33,125.0,189.0,22.0,22.0,82.0,84.81,79.0,N
14.0,0.0,2.0,1.0,15.91,20.63,6766.8,0.11,69.0,375.93,328.09,20.0,0.29,33.0,36.0,12.0,15.0,17.0,93.33,15.0,N
7.0,0.0,2.0,2.0,15.95,5.14,421.94,0.03,21.0,23.44,82.04,6.0,0.18,9.0,12.0,7.0,8.0,11.0,77.78,9.0,N
7.0,0.0,2.0,2.0,15.95,5.14,421.94,0.03,21.0,23.44,82.04,6.0,0.18,9.0,12.0,7.0,8.0,11.0,77.78,9.0,N
27.0,1.0,2.0,5.0,16.21,36.0,21021.12,0.19,119.0,1167.84,583.92,17.0,0.14,48.0,71.0,12.0,18.0,35.0,84.85,32.0,N
12.0,0.0,2.33,3.0,17.23,16.36,4614.98,0.09,60.0,256.39,282.03,21.0,0.29,24.0,36.0,11.0,15.0,17.0,80.0,15.0,N
6.0,12.0,2.0,1.0,14.0,10.67,1592.95,0.05,34.0,88.5,149.34,10.0,0.1,16.0,18.0,9.0,12.0,21.0,94.74,7.0,N
5.0,0.0,3.0,1.0,8.75,14.3,1788.9,0.04,30.0,99.38,125.1,12.0,0.38,11.0,19.0,5.0,13.0,8.0,83.33,6.0,N
4.0,0.0,2.0,1.0,10.99,3.75,154.53,0.01,13.0,8.59,41.21,6.0,0.29,6.0,7.0,4.0,5.0,7.0,80.0,5.0,N
7.0,0.0,2.0,2.0,19.46,4.5,394.06,0.03,23.0,21.89,87.57,9.0,0.25,9.0,14.0,7.0,7.0,12.0,77.78,9.0,N
5.0,0.0,2.0,2.0,7.83,14.3,1601.6,0.04,28.0,88.98,112.0,11.0,0.33,13.0,15.0,5.0,11.0,9.0,71.43,7.0,N
5.0,0.0,2.0,2.0,7.83,14.3,1601.6,0.04,28.0,88.98,112.0,11.0,0.33,13.0,15.0,5.0,11.0,9.0,71.43,7.0,N
18.0,0.0,2.0,4.0,25.33,13.75,4788.98,0.12,75.0,266.05,348.29,14.0,0.13,35.0,40.0,14.0,11.0,24.0,81.82,22.0,N
11.0,0.0,2.0,2.0,24.99,9.23,2129.55,0.08,51.0,118.31,230.7,8.0,0.13,24.0,27.0,13.0,10.0,15.0,84.62,13.0,N
10.0,0.0,2.0,2.0,19.76,10.5,2178.25,0.07,48.0,121.01,207.45,7.0,0.14,21.0,27.0,10.0,10.0,14.0,83.33,12.0,N
12.0,0.0,2.0,3.0,10.48,27.19,7748.01,0.09,63.0,430.45,284.98,13.0,0.24,29.0,34.0,8.0,15.0,17.0,80.0,15.0,N
12.0,0.0,2.0,3.0,13.08,24.8,8043.39,0.11,69.0,446.86,324.33,14.0,0.24,31.0,38.0,10.0,16.0,17.0,80.0,15.0,N
9.0,0.0,2.0,3.0,18.73,11.11,2312.76,0.07,49.0,128.49,208.15,11.0,0.14,20.0,29.0,9.0,10.0,14.0,75.0,12.0,N
1.0,0.0,2.0,1.0,5.99,3.75,84.22,0.01,8.0,4.68,22.46,5.0,0.5,3.0,5.0,2.0,5.0,4.0,50.0,2.0,N
4.0,0.0,2.0,1.0,10.03,17.33,3014.58,0.06,39.0,167.48,173.92,14.0,0.43,13.0,26.0,6.0,16.0,7.0,80.0,5.0,N
