@relation SelectedFeatures
@attribute LOC_BLANK numeric
@attribute LOC_COMMENTS numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DESIGN_DENSITY numeric
@attribute EDGE_COUNT numeric
@attribute LOC_EXECUTABLE numeric
@attribute PARAMETER_COUNT numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute NODE_COUNT numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute NUMBER_OF_LINES numeric
@attribute PERCENT_COMMENTS numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
6.0,0.0,0.12,1.0,14.0,22.0,0.0,24.31,14.06,4807.12,69.0,267.06,13.0,0.09,30.0,16.0,15.0,33.0,15.38,26.0,N
21.0,22.0,0.1,0.5,19.0,30.0,2.0,45.35,25.34,29117.23,193.0,1617.62,17.0,0.05,75.0,37.0,25.0,84.0,51.61,40.0,N
9.0,10.0,0.18,0.5,14.0,16.0,0.0,22.84,25.89,15315.78,109.0,850.88,12.0,0.1,41.0,19.0,24.0,42.0,50.0,22.0,N
10.0,10.0,0.18,0.5,14.0,15.0,0.0,22.84,25.89,15315.78,109.0,850.88,12.0,0.09,41.0,19.0,24.0,43.0,53.13,22.0,N
46.0,31.0,0.13,0.8,48.0,40.0,0.0,83.37,31.3,81653.73,399.0,4536.32,40.0,0.07,153.0,66.0,27.0,153.0,62.26,75.0,N
33.0,28.0,0.1,0.67,29.0,44.0,2.0,71.49,34.84,86774.3,380.0,4820.79,25.0,0.05,135.0,62.0,32.0,124.0,51.11,62.0,N
10.0,0.0,0.14,1.0,32.0,31.0,0.0,44.36,16.56,12163.87,141.0,675.77,29.0,0.11,69.0,25.0,12.0,47.0,13.89,36.0,N
25.0,21.0,0.18,0.5,24.0,22.0,2.0,25.24,19.95,10047.02,94.0,558.17,20.0,0.08,38.0,20.0,21.0,80.0,59.26,33.0,N
9.0,13.0,0.18,1.0,16.0,20.0,0.0,46.13,14.44,9617.77,122.0,534.32,14.0,0.09,38.0,25.0,19.0,45.0,42.86,22.0,N
10.0,4.0,0.07,1.0,7.0,25.0,1.0,48.82,16.55,13373.72,148.0,742.98,7.0,0.05,64.0,29.0,15.0,42.0,19.35,27.0,N
6.0,4.0,0.13,0.5,6.0,10.0,4.0,21.05,9.8,2021.97,45.0,112.33,6.0,0.08,14.0,10.0,14.0,26.0,47.37,15.0,N
6.0,4.0,0.13,0.5,6.0,10.0,4.0,21.05,9.8,2021.97,45.0,112.33,6.0,0.08,14.0,10.0,14.0,26.0,47.37,15.0,N
7.0,8.0,0.17,0.67,12.0,14.0,1.0,30.91,8.62,2294.05,56.0,127.45,11.0,0.09,16.0,13.0,14.0,34.0,46.15,18.0,N
20.0,16.0,0.19,0.83,22.0,27.0,4.0,53.81,14.9,11951.03,140.0,663.95,18.0,0.09,42.0,31.0,22.0,68.0,42.55,31.0,N
14.0,12.0,0.17,1.0,16.0,20.0,0.0,47.35,11.12,5850.56,97.0,325.03,14.0,0.08,34.0,26.0,17.0,50.0,42.86,23.0,N
19.0,18.0,0.22,0.71,24.0,28.0,4.0,55.58,14.56,11789.43,142.0,654.97,19.0,0.09,43.0,31.0,21.0,77.0,44.0,32.0,N
36.0,29.0,0.18,0.67,48.0,45.0,4.0,68.78,26.32,47644.35,288.0,2646.91,38.0,0.08,94.0,50.0,28.0,143.0,52.63,66.0,N
3.0,2.0,0.15,0.5,5.0,11.0,2.0,10.9,12.0,1569.59,32.0,87.2,5.0,0.11,10.0,5.0,12.0,19.0,26.67,13.0,N
3.0,2.0,0.15,0.5,5.0,11.0,2.0,17.29,12.0,2489.43,48.0,138.3,5.0,0.11,16.0,8.0,12.0,19.0,26.67,13.0,N
9.0,22.0,0.2,0.75,30.0,27.0,6.0,35.27,13.74,6655.21,93.0,369.73,24.0,0.11,29.0,19.0,18.0,73.0,57.14,41.0,N
5.0,12.0,0.14,1.0,5.0,10.0,3.0,15.6,6.67,693.33,26.0,38.52,5.0,0.06,8.0,6.0,10.0,32.0,61.54,14.0,N
1.0,3.0,0.17,0.5,5.0,9.0,3.0,13.38,8.25,910.48,27.0,50.58,5.0,0.12,9.0,6.0,11.0,17.0,40.0,12.0,N
1.0,3.0,0.17,0.5,5.0,9.0,3.0,20.27,9.17,1703.56,43.0,94.64,5.0,0.12,15.0,9.0,11.0,17.0,40.0,12.0,N
49.0,57.0,0.1,0.7,60.0,98.0,1.0,125.84,27.25,93428.15,486.0,5190.45,52.0,0.05,172.0,101.0,32.0,211.0,39.13,104.0,N
77.0,56.0,0.13,0.96,137.0,172.0,4.0,243.12,22.99,128457.87,750.0,7136.55,114.0,0.07,252.0,148.0,27.0,343.0,30.65,192.0,N
40.0,11.0,0.1,1.0,16.0,28.0,1.0,44.75,18.67,15592.09,148.0,866.23,15.0,0.04,56.0,30.0,20.0,82.0,31.71,30.0,Y
31.0,29.0,0.09,1.0,33.0,43.0,0.0,84.37,19.2,31093.83,267.0,1727.43,31.0,0.04,97.0,48.0,19.0,105.0,41.1,44.0,N
34.0,31.0,0.04,1.0,11.0,36.0,5.0,37.89,24.18,22153.96,171.0,1230.78,11.0,0.02,56.0,22.0,19.0,113.0,53.85,47.0,N
14.0,5.0,0.13,0.75,15.0,21.0,5.0,49.79,9.48,4476.07,87.0,248.67,13.0,0.08,32.0,27.0,16.0,52.0,43.24,32.0,N
5.0,1.0,0.24,0.5,15.0,16.0,1.0,24.97,20.38,10375.62,97.0,576.42,13.0,0.17,33.0,17.0,21.0,24.0,11.11,17.0,N
4.0,7.0,0.21,1.0,12.0,14.0,1.0,16.78,11.2,2105.41,41.0,116.97,11.0,0.12,16.0,10.0,14.0,26.0,33.33,14.0,N
39.0,51.0,0.2,0.47,77.0,88.0,1.0,66.11,50.27,167072.98,496.0,9281.83,60.0,0.1,207.0,70.0,34.0,185.0,39.31,94.0,N
18.0,6.0,0.11,0.75,16.0,29.0,3.0,49.27,18.53,16907.83,151.0,939.32,14.0,0.07,57.0,40.0,26.0,61.0,30.95,36.0,N
49.0,37.0,0.28,0.71,104.0,60.0,3.0,78.4,74.77,438244.07,821.0,24346.89,85.0,0.13,319.0,96.0,45.0,163.0,46.9,76.0,N
31.0,25.0,0.16,0.6,41.0,52.0,2.0,47.49,47.96,109246.59,350.0,6069.25,33.0,0.08,140.0,54.0,37.0,121.0,41.57,64.0,N
84.0,76.0,0.13,0.42,82.0,101.0,9.0,75.03,66.0,326814.89,685.0,18156.38,65.0,0.06,264.0,100.0,50.0,306.0,54.3,145.0,N
17.0,6.0,0.14,0.75,37.0,29.0,0.0,78.29,48.05,180758.79,565.0,10042.15,31.0,0.1,217.0,70.0,31.0,81.0,53.97,57.0,N
16.0,8.0,0.24,0.67,28.0,22.0,0.0,37.5,29.45,32535.15,187.0,1807.51,24.0,0.12,72.0,33.0,27.0,50.0,33.33,25.0,N
5.0,3.0,0.17,1.0,17.0,29.0,1.0,29.49,24.0,16987.59,133.0,943.76,13.0,0.13,48.0,20.0,20.0,45.0,25.64,36.0,N
1.0,0.0,0.25,0.5,11.0,15.0,1.0,22.03,12.0,3172.85,55.0,176.27,9.0,0.22,18.0,12.0,16.0,18.0,6.25,16.0,N
7.0,7.0,0.13,0.5,8.0,14.0,2.0,25.23,9.5,2277.36,51.0,126.52,8.0,0.06,19.0,13.0,13.0,31.0,39.13,16.0,N
17.0,0.0,0.22,0.2,40.0,63.0,3.0,45.89,35.45,57670.7,262.0,3203.93,27.0,0.17,79.0,39.0,35.0,86.0,7.35,68.0,N
3.0,1.0,0.18,0.5,5.0,9.0,2.0,24.7,7.22,1288.28,40.0,71.57,5.0,0.13,10.0,9.0,13.0,16.0,25.0,11.0,N
3.0,0.0,0.18,0.5,5.0,9.0,2.0,24.08,7.22,1256.07,39.0,69.78,5.0,0.13,10.0,9.0,13.0,15.0,18.18,11.0,N
6.0,1.0,0.22,0.5,12.0,17.0,1.0,25.0,13.6,4624.0,68.0,256.89,10.0,0.15,24.0,15.0,17.0,26.0,10.53,18.0,N
25.0,0.0,0.15,1.0,32.0,27.0,0.0,50.43,10.62,5682.29,102.0,315.68,29.0,0.08,46.0,26.0,12.0,60.0,20.59,34.0,N
13.0,0.0,0.14,1.0,59.0,62.0,0.0,183.65,7.02,9044.12,214.0,502.45,52.0,0.12,100.0,57.0,8.0,78.0,3.13,64.0,N
7.0,9.0,0.17,1.0,7.0,12.0,1.0,22.78,2.33,124.02,16.0,6.89,7.0,0.07,7.0,6.0,4.0,29.0,42.86,12.0,N
2.0,0.0,0.17,0.5,14.0,24.0,2.0,20.18,16.36,5403.6,73.0,300.2,12.0,0.15,30.0,11.0,12.0,27.0,0.0,24.0,N
5.0,0.0,0.18,1.0,16.0,13.0,0.0,25.58,13.2,4456.28,71.0,247.57,15.0,0.13,33.0,15.0,12.0,23.0,23.53,17.0,N
22.0,13.0,0.09,0.33,12.0,32.0,1.0,58.73,53.2,166215.79,538.0,9234.21,11.0,0.04,266.0,40.0,16.0,71.0,33.33,35.0,N
1.0,0.0,0.2,1.0,9.0,10.0,0.0,22.35,7.27,1181.93,37.0,65.66,9.0,0.17,16.0,11.0,10.0,12.0,0.0,10.0,N
9.0,3.0,0.14,1.0,14.0,17.0,0.0,29.6,24.29,17460.6,137.0,970.03,13.0,0.09,60.0,21.0,17.0,34.0,29.17,21.0,N
1.0,0.0,0.29,0.5,5.0,7.0,1.0,8.79,12.0,1265.83,27.0,70.32,5.0,0.22,12.0,5.0,10.0,9.0,0.0,7.0,N
1.0,0.0,0.33,0.33,9.0,9.0,1.0,12.09,14.14,2417.96,41.0,134.33,8.0,0.27,18.0,7.0,11.0,11.0,0.0,9.0,N
1.0,0.0,0.27,0.33,9.0,11.0,2.0,14.67,14.67,3156.61,49.0,175.37,8.0,0.23,22.0,9.0,12.0,13.0,0.0,11.0,N
1.0,0.0,0.29,0.5,5.0,7.0,1.0,8.79,12.0,1265.83,27.0,70.32,5.0,0.22,12.0,5.0,10.0,9.0,0.0,7.0,N
1.0,0.0,0.33,0.33,9.0,9.0,1.0,12.09,14.14,2417.96,41.0,134.33,8.0,0.27,18.0,7.0,11.0,11.0,0.0,9.0,N
1.0,0.0,0.27,0.33,9.0,11.0,2.0,14.67,14.67,3156.61,49.0,175.37,8.0,0.23,22.0,9.0,12.0,13.0,0.0,11.0,N
1.0,0.0,0.29,0.5,5.0,7.0,1.0,8.79,12.0,1265.83,27.0,70.32,5.0,0.22,12.0,5.0,10.0,9.0,0.0,7.0,N
1.0,0.0,0.33,0.33,9.0,9.0,1.0,12.09,14.14,2417.96,41.0,134.33,8.0,0.27,18.0,7.0,11.0,11.0,0.0,9.0,N
1.0,0.0,0.27,0.33,9.0,11.0,2.0,14.67,14.67,3156.61,49.0,175.37,8.0,0.23,22.0,9.0,12.0,13.0,0.0,11.0,N
40.0,13.0,0.08,0.67,27.0,48.0,1.0,71.01,24.77,43561.75,279.0,2420.1,23.0,0.04,107.0,54.0,25.0,151.0,44.19,73.0,N
2.0,2.0,0.29,1.0,6.0,7.0,0.0,16.52,6.19,632.28,25.0,35.13,6.0,0.17,11.0,8.0,9.0,12.0,22.22,7.0,N
2.0,2.0,0.29,1.0,6.0,7.0,0.0,16.52,6.19,632.28,25.0,35.13,6.0,0.17,11.0,8.0,9.0,12.0,22.22,7.0,N
2.0,2.0,0.29,1.0,6.0,7.0,0.0,16.52,6.19,632.28,25.0,35.13,6.0,0.17,11.0,8.0,9.0,12.0,22.22,7.0,N
2.0,2.0,0.29,1.0,6.0,7.0,0.0,16.52,6.19,632.28,25.0,35.13,6.0,0.17,11.0,8.0,9.0,12.0,22.22,7.0,N
2.0,2.0,0.29,1.0,6.0,7.0,0.0,16.52,6.19,632.28,25.0,35.13,6.0,0.17,11.0,8.0,9.0,12.0,22.22,7.0,N
2.0,2.0,0.29,1.0,6.0,7.0,0.0,16.52,6.19,632.28,25.0,35.13,6.0,0.17,11.0,8.0,9.0,12.0,22.22,7.0,N
2.0,2.0,0.29,1.0,6.0,7.0,0.0,16.52,6.19,632.28,25.0,35.13,6.0,0.17,11.0,8.0,9.0,12.0,22.22,7.0,N
8.0,14.0,0.24,0.25,11.0,15.0,0.0,17.03,14.68,3670.2,52.0,203.9,9.0,0.17,19.0,11.0,17.0,23.0,51.61,17.0,N
2.0,8.0,0.22,0.5,6.0,9.0,0.0,11.86,4.38,227.03,15.0,12.61,6.0,0.22,5.0,4.0,7.0,9.0,47.06,9.0,N
4.0,10.0,0.25,0.5,5.0,8.0,0.0,11.07,4.38,211.89,14.0,11.77,5.0,0.18,5.0,4.0,7.0,11.0,55.56,8.0,N
3.0,5.0,0.25,0.5,5.0,8.0,0.0,17.16,6.19,657.1,25.0,36.51,5.0,0.12,9.0,8.0,11.0,17.0,38.46,8.0,N
4.0,10.0,0.25,0.5,5.0,8.0,0.0,11.07,4.38,211.89,14.0,11.77,5.0,0.18,5.0,4.0,7.0,11.0,55.56,8.0,N
3.0,2.0,0.22,1.0,6.0,9.0,0.0,19.71,5.5,596.3,26.0,33.13,6.0,0.13,11.0,9.0,9.0,15.0,18.18,9.0,N
13.0,19.0,0.18,0.67,17.0,13.0,0.0,22.53,13.93,4371.1,66.0,242.84,16.0,0.06,30.0,14.0,13.0,50.0,63.89,17.0,N
9.0,0.0,0.38,0.89,34.0,24.0,0.0,30.54,11.65,4143.37,74.0,230.19,27.0,0.26,36.0,17.0,11.0,34.0,0.0,24.0,N
16.0,15.0,0.16,0.75,15.0,25.0,0.0,21.39,22.46,10795.37,97.0,599.74,13.0,0.07,37.0,14.0,17.0,57.0,37.5,25.0,N
82.0,100.0,0.13,0.74,117.0,176.0,5.0,140.31,37.2,194194.61,696.0,10788.59,96.0,0.06,280.0,143.0,38.0,390.0,37.59,182.0,N
22.0,31.0,0.1,0.75,19.0,32.0,6.0,45.51,16.36,12184.85,130.0,676.94,17.0,0.04,54.0,33.0,20.0,95.0,55.56,41.0,N
9.0,12.0,0.11,1.0,10.0,18.0,1.0,35.45,10.29,3750.81,70.0,208.38,10.0,0.05,27.0,21.0,16.0,40.0,40.0,18.0,N
12.0,4.0,0.18,0.67,10.0,14.0,0.0,15.83,13.82,3022.38,46.0,167.91,9.0,0.09,19.0,11.0,16.0,34.0,33.33,17.0,N
14.0,21.0,0.12,0.75,16.0,29.0,2.0,39.73,19.35,14882.34,133.0,826.8,14.0,0.04,50.0,31.0,24.0,95.0,46.3,33.0,N
38.0,70.0,0.17,0.39,67.0,104.0,2.0,58.36,41.38,99929.77,372.0,5551.65,51.0,0.08,150.0,58.0,32.0,218.0,41.9,109.0,N
39.0,58.0,0.17,0.58,49.0,68.0,5.0,52.05,21.71,24543.69,187.0,1363.54,39.0,0.07,76.0,42.0,24.0,177.0,47.69,72.0,N
19.0,16.0,0.16,1.0,16.0,21.0,0.0,31.79,17.86,10140.57,104.0,563.36,14.0,0.05,47.0,25.0,19.0,84.0,48.78,25.0,N
25.0,39.0,0.1,0.88,46.0,71.0,6.0,90.85,21.94,43721.41,307.0,2428.97,40.0,0.06,108.0,64.0,26.0,142.0,38.79,77.0,Y
27.0,19.0,0.09,1.0,7.0,22.0,1.0,37.27,15.43,8872.37,114.0,492.91,7.0,0.03,54.0,21.0,12.0,70.0,47.62,23.0,Y
1.0,0.0,0.2,1.0,6.0,10.0,0.0,10.75,7.0,526.99,21.0,29.28,6.0,0.17,7.0,4.0,8.0,12.0,0.0,10.0,N
34.0,26.0,0.13,0.78,44.0,66.0,5.0,76.03,28.98,63864.99,342.0,3548.06,37.0,0.07,136.0,61.0,26.0,132.0,31.96,71.0,N
9.0,17.0,0.23,0.6,13.0,22.0,2.0,35.13,12.55,5531.32,84.0,307.3,10.0,0.1,31.0,21.0,17.0,49.0,43.59,22.0,Y
32.0,23.0,0.09,1.0,38.0,59.0,9.0,104.75,22.14,51324.87,349.0,2851.38,33.0,0.05,126.0,74.0,26.0,138.0,39.8,75.0,Y
13.0,7.0,0.11,1.0,10.0,19.0,0.0,37.6,9.75,3574.45,74.0,198.58,9.0,0.06,27.0,18.0,13.0,49.0,45.71,28.0,N
3.0,0.0,0.11,0.5,8.0,19.0,2.0,24.71,10.58,2764.2,57.0,153.57,8.0,0.09,25.0,13.0,11.0,23.0,0.0,19.0,N
6.0,6.0,0.18,0.5,6.0,10.0,1.0,16.21,5.4,472.87,23.0,26.27,6.0,0.08,6.0,5.0,9.0,24.0,41.18,11.0,N
3.0,0.0,0.13,0.5,6.0,15.0,2.0,18.54,9.63,1717.22,42.0,95.4,6.0,0.11,14.0,8.0,11.0,19.0,0.0,15.0,N
30.0,62.0,0.26,0.79,55.0,89.0,3.0,54.69,47.6,123914.45,402.0,6884.14,33.0,0.13,154.0,55.0,34.0,186.0,42.58,93.0,Y
6.0,15.0,0.14,1.0,8.0,10.0,3.0,16.21,10.56,1809.36,39.0,100.52,8.0,0.06,13.0,8.0,13.0,36.0,65.51,14.0,N
13.0,24.0,0.11,1.0,16.0,32.0,1.0,34.91,18.57,12037.08,121.0,668.73,14.0,0.05,43.0,22.0,19.0,73.0,45.76,35.0,Y
31.0,28.0,0.14,0.82,46.0,74.0,1.0,61.92,36.74,83581.43,354.0,4643.41,37.0,0.08,124.0,54.0,32.0,141.0,32.11,81.0,Y
12.0,16.0,0.13,1.0,30.0,44.0,3.0,46.89,18.91,16764.79,152.0,931.38,26.0,0.08,52.0,33.0,24.0,74.0,27.87,45.0,N
0.0,0.0,0.13,0.5,6.0,15.0,2.0,42.88,6.87,2026.77,62.0,112.6,6.0,0.13,20.0,16.0,11.0,16.0,0.0,15.0,N
51.0,73.0,0.16,0.56,75.0,107.0,1.0,51.85,64.92,218524.86,516.0,12140.27,59.0,0.07,193.0,55.0,37.0,241.0,43.39,116.0,Y
2.0,0.0,0.14,1.0,6.0,12.0,2.0,20.76,2.5,129.72,15.0,7.21,6.0,0.12,6.0,6.0,5.0,17.0,14.29,14.0,N
4.0,0.0,0.14,1.0,10.0,17.0,2.0,34.27,2.78,264.4,25.0,14.69,9.0,0.12,10.0,9.0,5.0,26.0,19.05,21.0,N
0.0,0.0,0.24,0.25,14.0,17.0,2.0,10.6,10.13,1086.54,29.0,60.36,12.0,0.22,9.0,4.0,9.0,18.0,0.0,17.0,N
3.0,0.0,0.4,0.17,18.0,15.0,2.0,7.45,30.8,7065.15,54.0,392.51,14.0,0.32,22.0,5.0,14.0,19.0,0.0,15.0,N
3.0,0.0,0.14,0.5,5.0,14.0,2.0,11.85,9.0,959.45,28.0,53.3,5.0,0.11,10.0,5.0,9.0,18.0,0.0,14.0,N
2.0,0.0,0.2,0.5,5.0,10.0,1.0,6.92,8.0,442.81,16.0,24.6,5.0,0.15,6.0,3.0,8.0,13.0,0.0,10.0,N
25.0,15.0,0.17,0.69,59.0,70.0,1.0,80.81,26.6,57176.91,343.0,3176.49,48.0,0.11,133.0,55.0,22.0,117.0,23.08,76.0,N
5.0,2.0,0.15,1.0,17.0,24.0,2.0,26.32,16.0,6737.71,85.0,374.32,15.0,0.11,30.0,15.0,16.0,35.0,17.24,27.0,N
15.0,9.0,0.16,0.67,10.0,12.0,1.0,28.99,18.12,9514.39,106.0,528.58,9.0,0.07,44.0,17.0,14.0,44.0,57.14,19.0,N
6.0,2.0,0.18,0.5,5.0,9.0,1.0,13.77,13.5,2508.88,43.0,139.38,5.0,0.1,18.0,8.0,12.0,20.0,30.77,11.0,N
5.0,2.0,0.18,0.5,5.0,9.0,2.0,13.64,17.06,3972.03,53.0,220.67,5.0,0.11,21.0,8.0,13.0,19.0,30.77,11.0,N
10.0,2.0,0.3,0.14,23.0,8.0,4.0,21.3,16.32,5681.26,74.0,315.63,18.0,0.19,28.0,12.0,14.0,36.0,68.0,23.0,N
14.0,9.0,0.15,1.0,13.0,19.0,1.0,35.6,10.11,3640.0,72.0,202.22,12.0,0.07,26.0,18.0,14.0,44.0,34.48,20.0,N
35.0,17.0,0.15,0.69,68.0,76.0,5.0,108.35,33.87,124313.16,526.0,6906.29,54.0,0.1,199.0,94.0,32.0,157.0,37.19,104.0,N
6.0,2.0,0.2,0.67,11.0,8.0,0.0,17.71,10.67,2014.61,43.0,111.92,10.0,0.13,16.0,9.0,12.0,24.0,52.94,15.0,N
17.0,19.0,0.14,0.8,23.0,27.0,0.0,42.9,20.7,18381.79,159.0,1021.21,20.0,0.07,45.0,25.0,23.0,72.0,50.0,35.0,N
16.0,7.0,0.1,0.67,11.0,20.0,1.0,37.71,30.2,34384.39,205.0,1910.24,10.0,0.06,89.0,28.0,19.0,54.0,45.95,30.0,N
11.0,5.0,0.15,0.33,26.0,27.0,1.0,48.56,33.51,54539.1,279.0,3029.95,22.0,0.1,124.0,37.0,20.0,58.0,41.3,41.0,N
81.0,165.0,0.19,0.66,345.0,423.0,3.0,131.72,126.56,2109679.46,2027.0,117204.41,251.0,0.13,798.0,227.0,72.0,750.0,36.68,503.0,N
20.0,2.0,0.33,0.75,12.0,10.0,1.0,19.23,5.69,622.17,28.0,34.57,10.0,0.11,13.0,8.0,7.0,35.0,28.57,12.0,N
115.0,12.0,0.19,0.19,67.0,49.0,1.0,83.81,31.06,80843.05,399.0,4491.28,53.0,0.08,176.0,68.0,24.0,212.0,48.96,84.0,N
156.0,27.0,0.23,0.31,129.0,85.0,1.0,78.34,51.47,207526.23,589.0,11529.23,99.0,0.1,267.0,83.0,32.0,330.0,48.48,138.0,N
48.0,32.0,0.13,0.76,161.0,165.0,3.0,204.29,41.72,355647.88,1112.0,19758.22,134.0,0.09,463.0,172.0,31.0,307.0,36.05,226.0,N
17.0,8.0,0.16,0.91,44.0,61.0,3.0,87.92,17.2,26010.73,253.0,1445.04,35.0,0.12,86.0,45.0,18.0,93.0,18.67,67.0,N
74.0,18.0,0.13,0.83,64.0,63.0,3.0,85.71,38.23,125251.55,487.0,6958.42,54.0,0.06,203.0,77.0,29.0,186.0,43.24,93.0,N
33.0,4.0,0.13,1.0,14.0,16.0,3.0,28.18,15.16,6475.08,82.0,359.73,13.0,0.05,32.0,19.0,18.0,62.0,42.86,24.0,N
4.0,0.0,0.18,1.0,25.0,19.0,2.0,40.01,18.29,13377.17,134.0,743.18,23.0,0.15,64.0,28.0,16.0,27.0,13.64,22.0,N
4.0,0.0,0.21,1.0,38.0,25.0,2.0,42.36,23.73,23858.84,182.0,1325.49,34.0,0.18,89.0,30.0,16.0,33.0,10.71,28.0,N
1.0,0.0,0.14,1.0,32.0,35.0,1.0,110.24,10.11,11259.34,191.0,625.52,29.0,0.13,95.0,47.0,10.0,38.0,2.78,36.0,N
5.0,0.0,0.19,0.8,24.0,25.0,1.0,27.4,20.16,11135.5,100.0,618.64,21.0,0.15,48.0,25.0,21.0,33.0,7.41,27.0,N
2.0,0.0,0.16,1.0,41.0,30.0,1.0,78.0,13.61,14437.64,189.0,802.09,38.0,0.15,94.0,38.0,11.0,34.0,3.23,31.0,N
1.0,0.0,0.11,1.0,16.0,17.0,1.0,54.5,9.27,4686.53,103.0,260.36,16.0,0.1,51.0,22.0,8.0,20.0,5.56,18.0,N
1.0,0.0,0.25,1.0,20.0,15.0,1.0,20.45,13.07,3491.27,55.0,193.96,18.0,0.22,28.0,15.0,14.0,18.0,6.25,16.0,N
1.0,0.0,0.26,1.0,36.0,49.0,1.0,35.91,21.53,16649.11,132.0,924.95,25.0,0.25,53.0,32.0,26.0,52.0,2.0,50.0,N
1.0,0.0,0.26,1.0,39.0,52.0,1.0,36.57,23.03,19394.56,142.0,1077.48,27.0,0.25,58.0,34.0,27.0,55.0,1.89,53.0,N
4.0,0.0,0.16,1.0,47.0,42.0,1.0,160.8,10.16,16586.02,263.0,921.45,42.0,0.15,130.0,64.0,10.0,48.0,2.33,43.0,N
16.0,8.0,0.19,0.77,48.0,62.0,3.0,84.92,18.79,29993.03,265.0,1666.28,37.0,0.14,91.0,46.0,19.0,92.0,17.33,67.0,N
40.0,19.0,0.14,0.77,69.0,65.0,3.0,83.84,41.66,145477.36,514.0,8082.08,58.0,0.08,215.0,80.0,31.0,155.0,42.98,95.0,N
77.0,15.0,0.17,0.65,87.0,75.0,3.0,88.15,36.04,114516.56,465.0,6362.03,72.0,0.08,193.0,83.0,31.0,201.0,34.78,100.0,N
4.0,0.0,0.14,0.5,6.0,10.0,0.0,23.58,12.5,3685.04,62.0,204.72,6.0,0.11,20.0,12.0,15.0,19.0,28.57,14.0,N
4.0,6.0,0.25,1.0,5.0,6.0,0.0,17.91,6.29,707.7,27.0,39.32,5.0,0.11,8.0,7.0,11.0,19.0,57.14,8.0,N
4.0,6.0,0.25,1.0,5.0,6.0,0.0,17.91,6.29,707.7,27.0,39.32,5.0,0.11,8.0,7.0,11.0,19.0,57.14,8.0,N
7.0,7.0,0.13,0.5,7.0,15.0,1.0,17.24,10.64,1950.69,40.0,108.37,7.0,0.07,18.0,11.0,13.0,30.0,31.82,15.0,N
3.0,5.0,0.18,0.5,7.0,9.0,1.0,17.13,10.0,1713.0,39.0,95.17,7.0,0.1,15.0,9.0,12.0,20.0,43.75,11.0,N
27.0,33.0,0.24,0.4,25.0,38.0,3.0,32.0,26.1,21802.25,142.0,1211.24,17.0,0.1,54.0,30.0,29.0,103.0,49.33,42.0,N
6.0,2.0,0.38,0.17,18.0,14.0,2.0,15.76,17.6,4880.94,59.0,271.16,14.0,0.24,22.0,10.0,16.0,25.0,22.22,16.0,N
20.0,14.0,0.24,0.15,44.0,47.0,2.0,30.99,27.86,24047.21,150.0,1335.96,33.0,0.15,60.0,28.0,26.0,89.0,30.88,54.0,N
4.0,1.0,0.18,0.5,5.0,11.0,2.0,20.51,6.11,765.94,29.0,42.55,5.0,0.12,10.0,9.0,11.0,17.0,8.33,11.0,N
5.0,2.0,0.18,0.5,5.0,11.0,2.0,19.8,6.11,739.53,28.0,41.08,5.0,0.11,10.0,9.0,11.0,19.0,15.38,11.0,N
3.0,2.0,0.17,0.5,6.0,11.0,1.0,14.83,9.63,1373.5,32.0,76.31,6.0,0.11,11.0,8.0,14.0,18.0,21.43,12.0,N
7.0,7.0,0.17,1.0,14.0,21.0,1.0,46.9,10.5,5170.32,96.0,287.24,12.0,0.1,28.0,20.0,15.0,39.0,32.25,24.0,N
12.0,22.0,0.14,0.33,12.0,19.0,2.0,45.57,9.64,4237.49,85.0,235.42,11.0,0.05,27.0,21.0,15.0,56.0,55.81,21.0,Y
7.0,5.0,0.17,1.0,14.0,23.0,1.0,46.9,10.5,5170.32,96.0,287.24,12.0,0.11,28.0,20.0,15.0,37.0,20.69,24.0,N
14.0,34.0,0.14,1.0,11.0,18.0,2.0,31.39,9.47,2815.15,60.0,156.4,10.0,0.04,23.0,17.0,14.0,70.0,67.27,21.0,Y
10.0,11.0,0.12,1.0,10.0,22.0,2.0,39.66,11.08,4871.43,81.0,270.63,9.0,0.06,28.0,24.0,19.0,47.0,38.89,25.0,Y
8.0,19.0,0.14,1.0,10.0,20.0,1.0,31.51,10.5,3474.19,64.0,193.01,9.0,0.06,21.0,18.0,18.0,50.0,51.22,22.0,Y
0.0,0.0,0.2,1.0,12.0,13.0,2.0,22.4,7.33,1204.38,38.0,66.91,11.0,0.19,12.0,9.0,11.0,16.0,13.33,15.0,Y
0.0,0.0,0.23,1.0,10.0,13.0,1.0,33.1,7.26,1746.71,49.0,97.04,9.0,0.21,19.0,17.0,13.0,14.0,0.0,13.0,N
